year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1964-65,18,0,0,1,0,OHA-Jr.,3,St. Catharines Black Hawks,1
1965-66,19,7,42,10,0,OHA-Jr.,45,St. Catharines Black Hawks,17
1966-67,20,32,53,19,0,OHA-Jr.,45,London Nationals,51
1967-68,21,5,6,5,0,CPHL,24,Dallas Black Hawks,10
1968-69,22,24,16,15,0,CHL,66,Dallas Black Hawks,39
1969-70,23,18,8,11,0,CHL,55,Dallas Black Hawks,29
1969-70,23,11,2,5,0,AHL,18,Springfield Kings,16
1970-71,24,7,22,19,0,AHL,45,Springfield Kings,26
1971-72,25,30,11,26,0,AHL,64,Springfield Kings,56
1972-73,26,24,11,22,0,WHL,68,2 Teams,46
1972-73,26,9,4,14,0,WHL,21,San Diego Gulls,23
1972-73,26,15,7,8,0,WHL,47,Portland Buckaroos,23
1973-74,27,19,6,35,0,WHL,67,2 Teams,54
1973-74,27,4,2,14,0,WHL,32,San Diego Gulls,18
1973-74,27,15,4,21,0,WHL,35,Denver Spurs,36
1974-75,28,45,6,57,0,WIHL,47,Spokane Flyers,102
1975-76,29,33,2,21,0,WIHL,33,Spokane Jets,54
1975-76,29,10,0,19,0,NAPro,27,Buffalo Norsemen,29
1976-77,30,10,4,16,0,WIHL,56,Spokane Flyers,26
