year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1952-53,17,0,2,3,0,OHA-Jr.,18,Kitchener Greenshirts,3
1953-54,18,0,0,6,0,OHA-Jr.,19,Barrie Flyers,6
1954-55,19,8,52,10,0,OHA-Jr.,40,Kitchener/Galt Kists,18
1955-56,20,16,76,10,0,IHL,54,Toledo/Indianapolis,26
1956-57,21,16,52,16,0,IHL,58,Toledo/Indianapolis,32
1957-58,22,25,58,36,0,IHL,63,Indianapolis Chiefs,61
1958-59,23,4,19,11,0,WHL,35,Edmonton Flyers,15
1958-59,23,4,6,2,0,QHL,20,Quebec Aces,6
1959-60,24,10,66,11,0,AHL,62,Quebec Aces,21
1960-61,25,9,27,10,0,EPHL,37,Sudbury Wolves,19
1960-61,25,2,39,11,0,AHL,33,Hershey Bears,13
1961-62,26,20,66,33,0,AHL,70,Hershey Bears,53
1962-63,27,21,30,43,0,AHL,68,Hershey Bears,64
1963-64,28,25,65,41,0,AHL,72,Hershey Bears,66
1964-65,29,28,59,36,0,AHL,72,Hershey Bears,64
1965-66,30,28,53,30,0,AHL,72,Hershey Bears,58
1966-67,31,8,42,23,0,AHL,70,Hershey Bears,31
1967-68,32,23,49,27,0,AHL,65,Hershey Bears,50
1968-69,33,1,8,2,0,CHL,5,Omaha Knights,3
1968-69,33,6,5,6,0,AHL,15,Quebec Aces,12
