year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1981-82,15,25,38,18,0,ON-Jr.B,42,Strathroy Blades,43
1982-83,16,39,99,38,0,ON-Jr.B,40,Strathroy Blades,77
1983-84,17,24,94,45,0,OHL,70,Cornwall Royals,69
1984-85,18,41,68,44,0,OHL,56,Cornwall Royals,85
1985-86,19,39,74,64,0,OHL,56,Cornwall Royals,103
1985-86,19,3,6,3,0,WJC-A,7,Canada,6
1986-87,20,2,4,4,0,Nat-Tm,21,Canada,6
1987-88,21,11,52,19,0,IHL,31,Saginaw Hawks,30
1988-89,22,21,162,47,0,IHL,69,Saginaw Hawks,68
1989-90,23,15,0,18,0,Sweden-3,30,Arvika HC,33
1989-90,23,5,6,10,0,IHL,16,Indianapolis Ice,15
1990-91,24,29,76,52,0,IHL,75,Indianapolis Ice,81
1991-92,25,18,65,40,0,IHL,59,Indianapolis Ice,58
2001-02,35,18,42,19,0,Finland,41,Blues Espoo,37
2002-03,36,5,10,5,0,Sweden,19,Leksands IF,10
2002-03,36,8,55,20,0,Finland,33,Blues Espoo,28
2003-04,37,6,26,12,0,Finland,18,Tappara Tampere,18
