year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1987-88,16,25,65,32,0,Minor-ON,21,Woolrich Regents,57
1988-89,17,38,138,50,0,ON-Jr.B,43,Elmira Sugar Kings,88
1989-90,18,43,174,95,0,ON-Jr.B,46,Elmira Sugar Kings,138
1990-91,19,8,122,24,0,CCHA,44,University of Michigan,32
1991-92,20,13,106,15,0,CCHA,44,University of Michigan,28
1992-93,21,20,69,39,0,CCHA,39,University of Michigan,59
1993-94,22,3,5,2,0,AHL,14,Providence Bruins,5
1994-95,23,13,38,11,0,AHL,31,Providence Bruins,24
1995-96,24,17,39,25,0,AHL,54,Providence Bruins,42
1996-97,25,4,37,3,0,AHL,18,Providence Bruins,7
1996-97,25,3,8,2,0,IHL,7,Cincinnati Cyclones,5
1997-98,26,18,51,27,11,IHL,63,Houston Aeros,45
1998-99,27,36,75,26,14,IHL,61,Houston Aeros,62
