year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1998-99,18,0,32,0,0,WHL,11,Seattle Thunderbirds,0
1999-00,19,3,176,1,0,BCHL,58,Chilliwack Chiefs,4
2000-01,20,7,187,8,0,BCHL,55,Chilliwack Chiefs,15
2000-01,20,0,5,0,0,WCHL,3,San Diego Gulls,0
2001-02,21,0,13,0,0,ECHL,3,Mobile Mysticks,0
2001-02,21,1,157,0,0,WCHL,44,2 Teams,1
2001-02,21,0,90,0,0,WCHL,24,San Diego Gulls,0
2001-02,21,1,67,0,0,WCHL,20,Fresno\'s Fighting Falcons,1
2002-03,22,0,7,0,0,ECHL,2,Richmond Renegades,0
2002-03,22,0,86,1,0,WHL,28,Portland Winter Hawks,1
2003-04,23,1,73,1,-2,AHL,35,Portland Pirates,2
2004-05,24,0,109,1,-3,AHL,42,Portland Pirates,1
2004-05,24,0,5,0,0,ECHL,1,South Carolina Stingrays,0
2005-06,25,1,129,4,-2,AHL,48,Providence Bruins,5
2005-06,25,1,23,1,-2,ECHL,8,Trenton Titans,2
