giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,17,0,21,0,0,9,2,0,0,302,BOS,0,0,[],11.1,1,1,-1,1,0,0,2005-06,0,17:46,0,10,0,1
0,NHL,15,0,22,0,0,4,1,0,0,156,BOS,0,0,[],0.0,0,1,7,0,0,0,2006-07,0,10:23,0,14,0,1
26,NHL,82,1,23,0,135,60,8,99,1,1261,BOS,6,0,[],6.7,4,4,2,4,0,0,2007-08,74,15:22,0,81,0,3
16,NHL,82,1,24,0,164,61,17,91,1,1264,BOS,6,0,[],8.2,5,12,20,5,0,0,2008-09,103,15:25,0,76,0,11
18,NHL,56,0,25,0,122,53,7,103,0,953,BOS,4,0,[],3.8,2,5,1,2,0,0,2009-10,82,17:01,0,80,0,5
23,NHL,54,1,26,0,109,41,6,107,0,845,TOT,12,100.0,[],4.9,2,4,0,2,1,0,2010-11,96,15:39,0,47,0,4
14,NHL,31,1,26,0,58,20,5,56,0,504,BOS,4,100.0,[],5.0,1,4,8,1,1,0,2010-11,51,16:15,0,23,0,4
9,NHL,23,0,26,0,51,21,1,51,0,342,ATL,8,0,[],4.8,1,0,-8,1,0,0,2010-11,45,14:51,0,24,0,0
43,NHL,80,1,27,0,169,60,14,198,0,1376,WPG,7,0,[],5.0,2,11,-4,3,0,1,2011-12,182,17:12,0,98,0,11
16,NHL,42,0,28,0,115,40,4,111,0,702,WPG,5,0,[],5.0,2,2,5,2,0,0,2012-13,81,16:42,0,53,0,2
32,NHL,69,0,29,0,152,73,13,229,0,1286,WPG,6,0,[],2.7,2,11,11,2,0,0,2013-14,160,18:38,0,101,0,11
48,NHL,70,1,30,1,153,51,14,166,0,1345,WPG,13,0.0,[],3.9,2,12,5,2,0,0,2014-15,142,19:13,0,69,2,10
43,NHL,64,0,31,0,105,39,3,162,0,1046,WPG,3,0,[],2.6,1,2,-7,1,0,0,2015-16,120,16:21,0,66,1,1
23,NHL,42,1,32,0,52,24,4,68,0,523,WPG,3,0,[],8.3,2,2,4,2,0,0,2016-17,79,12:27,0,27,0,2
