year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1945-46,16,6,0,1,0,High-ON,9,DeLasalle Oaklands,7
1947-48,18,1,16,4,0,OHA-Jr.,6,Oshawa Generals,5
1948-49,19,1,2,3,0,OHA-Jr.,2,Oshawa Generals,4
1949-50,20,6,14,10,0,OHA-Sr.,14,Toronto Marlboros,16
1949-50,20,6,22,18,0,Al-Cup,16,Toronto Marlboros,24
1950-51,21,0,24,7,0,OMHL,8,St. Michael\'s Monarchs,7
1951-52,22,0,4,9,0,AHL,11,Pittsburgh Hornets,9
1952-53,23,0,4,2,0,AHL,10,Pittsburgh Hornets,2
1953-54,24,1,10,1,0,AHL,5,Pittsburgh Hornets,2
1954-55,25,2,6,6,0,AHL,10,Buffalo Bisons,8
1955-56,26,1,4,1,0,AHL,5,Buffalo Bisons,2
