league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,74,5,21,156,46,2,,VAN,[],14.7,17,23,-20,23,0,1982-83,,6,30,0,21
NHL,78,7,22,216,91,16,,VAN,[],17.6,31,53,-11,38,0,1983-84,,7,37,1,36
NHL,71,2,23,186,68,14,,VAN,[],13.4,20,43,-17,25,0,1984-85,,5,46,0,29
NHL,79,0,24,155,66,17,,VAN,[],11.6,11,48,-8,18,1,1985-86,,6,28,1,30
NHL,72,0,25,141,71,11,,VAN,[],20.6,16,42,9,29,1,1986-87,,12,40,0,31
NHL,78,0,26,126,51,13,,NJD,"[{'link': '/awards/voting-1988.html#selke', 'name': 'Selke-13'}]",11.9,5,36,-16,15,1,1987-88,,9,42,1,22
NHL,65,4,27,156,69,14,,NJD,"[{'link': '/awards/voting-1989.html#selke', 'name': 'Selke-16'}]",17.9,15,41,22,28,1,1988-89,,12,36,0,27
NHL,74,0,28,142,76,10,,NJD,"[{'link': '/awards/voting-1990.html#selke', 'name': 'Selke-9'}]",19.0,18,49,15,27,1,1989-90,,8,34,2,37
NHL,71,1,29,96,46,9,,NJD,[],15.6,10,31,7,15,1,1990-91,,4,48,1,21
NHL,17,0,30,16,4,0,,NJD,[],6.3,0,3,-5,1,0,1991-92,,1,8,0,3
