age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
22,,11.1,1,0,0,NHL,5,0,2006-07,0,9,1,117,0,8,,NSH,1
23,,16.7,1,1,-2,NHL,6,0,2007-08,0,6,1,127,0,4,15,NSH,2
25,,0.0,0,0,-1,NHL,6,0,2009-10,0,16,0,145,0,0,33,NSH,0
26,,4.3,1,5,2,NHL,12,0,2010-11,0,23,1,346,0,6,54,NSH,6
27,,3.3,0,3,-3,NHL,10,0,2011-12,0,30,1,288,1,4,45,NSH,4
28,,0.0,0,0,-5,NHL,5,0,2012-13,0,5,0,158,0,4,21,MIN,0
29,,3.4,0,6,-5,NHL,13,0,2013-14,0,29,1,380,1,4,71,MIN,7
30,,0.0,0,3,-8,NHL,10,0,2014-15,0,13,0,270,0,0,40,MIN,3
31,,0.0,0,3,3,NHL,6,0,2015-16,0,10,0,176,0,4,27,MIN,3
32,,6.7,0,2,-3,NHL,5,0,2016-17,0,15,1,146,1,10,32,MIN,3
