league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,36,0,22,35,8,1,,BOS,[],8.6,3,5,-6,3,0,1988-89,,0,20,0,4
NHL,58,0,23,49,8,0,,BOS,[],6.1,3,5,11,3,0,1989-90,,0,58,0,5
NHL,77,3,24,102,21,1,,BOS,[],7.8,7,13,2,8,1,1990-91,,0,67,0,12
NHL,75,1,25,92,14,0,,BOS,[],3.3,3,11,-9,3,0,1991-92,,0,74,1,10
NHL,84,0,26,107,34,0,,BOS,"[{'link': '/awards/voting-1993.html#AS', 'name': 'AS-13'}]",6.5,6,27,34,7,1,1992-93,,0,68,0,27
NHL,75,2,27,136,21,0,,BOS,[],4.4,3,15,29,6,2,1993-94,,1,50,0,15
NHL,47,2,28,102,22,6,,BOS,[],2.9,2,19,6,3,0,1994-95,,1,24,0,13
NHL,77,3,29,142,28,6,,BOS,[],2.8,2,24,-4,4,0,1995-96,,2,42,2,16
NHL,0,0,30,113,26,3,,BOS,[],2.7,3,23,-5,3,0,1996-97,,0,39,1,19
NHL,59,0,31,55,16,1,,BOS,[],1.8,1,15,12,1,0,1997-98,,0,24,0,14
NHL,81,0,32,79,12,2,1581,BOS,[],2.5,2,10,14,2,0,1998-99,19:31,0,64,1,7
NHL,81,0,33,82,14,1,1712,BOS,[],1.2,1,13,-14,1,0,1999-00,21:08,0,48,0,12
NHL,72,1,34,60,12,3,1387,BOS,[],3.3,1,10,-1,2,0,2000-01,19:16,1,26,0,7
NHL,81,0,35,70,18,0,1632,BOS,[],4.3,2,15,22,3,0,2001-02,20:09,1,35,0,15
NHL,67,0,36,55,8,0,885,BOS,[],5.5,3,5,-1,3,0,2002-03,13:13,0,24,0,5
NHL,63,0,37,39,11,0,1001,DAL,[],0.0,0,11,22,0,0,2003-04,15:53,0,18,1,10
