year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1999-00,15,19,32,21,0,QAAA,42,College Antoine-Girouard,40
2000-01,16,15,138,22,9,QMJHL,64,2 Teams,37
2000-01,16,9,78,15,7,QMJHL,40,Rouyn-Noranda Huskies,24
2000-01,16,6,60,7,2,QMJHL,24,Hull Olympiques,13
2001-02,17,24,174,36,16,QMJHL,65,Hull Olympiques,60
2002-03,18,46,130,58,40,QMJHL,69,Hull Olympiques,104
2003-04,19,25,41,73,33,QMJHL,51,Gatineau Olympiques,98
2003-04,19,0,2,3,2,WJC-A,6,Canada,3
2004-05,20,7,62,12,7,AHL,75,Wilkes-Barre Penguins,19
2005-06,21,12,80,20,12,AHL,42,Wilkes-Barre Penguins,32
2006-07,22,4,2,0,2,AHL,5,Wilkes-Barre Penguins,4
2012-13,28,3,34,3,0,Finland,12,Ilves Tampere,6
