league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,78,1,20,232,56,11,,VAN,"[{'link': '/awards/voting-1971.html#calder', 'name': 'Calder-5'}]",6.0,9,42,-25,14,0,1970-71,,5,58,0,31
NHL,69,1,21,240,44,4,,VAN,[],7.1,6,27,-24,17,0,1971-72,,11,78,0,23
NHL,75,1,22,170,37,9,,VAN,[],7.6,8,24,-30,13,0,1972-73,,5,83,0,15
NHL,65,3,23,98,34,4,,CBH,[],15.3,12,19,12,15,0,1973-74,,3,36,0,15
NHL,35,0,24,34,15,3,,CBH,[],14.7,5,10,4,5,0,1974-75,,0,28,0,7
NHL,0,5,25,161,62,21,,CBH,[],9.3,7,47,-11,15,1,1975-76,,7,101,3,23
NHL,70,0,26,107,21,4,,CBH,[],4.7,4,16,-21,5,0,1976-77,,1,65,0,12
NHL,75,2,27,93,24,0,,CBH,[],4.3,1,20,3,4,1,1977-78,,2,66,0,20
NHL,63,3,28,91,29,6,,PIT,[],5.5,3,24,-15,5,0,1978-79,,2,35,1,17
NHL,32,1,29,46,14,6,,PIT,[],10.9,1,9,-4,5,0,1979-80,,4,18,0,3
