bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
0,Swe-Jr.,23,Djurgardens IF Stockholm Jr.,1380,18,0,0,0,55,0,0,0,0,0,0,0,0,0,0,1997-98,0,2.39,0,0
0,Sweden,3,Djurgardens IF Stockholm,124,19,2,0,0,8,0,0,0,0,1,0,0,0,0,0,1998-99,0,3.87,0,0
0,EuroHL,3,Djurgardens IF Stockholm,180,19,1,0,0,8,0,0,0,0,2,0,0,0,0,0,1998-99,0,2.67,0,0
0,Sweden-2,11,Huddinge IK,660,20,7,0,0,33,0,0,0,0,4,0,0,0,0,0,1999-00,0,3.00,0,0
0,Sweden,30,Djurgardens IF Stockholm,1909,20,0,0,0,66,0,0,0,2,0,0,0,0,0,0,1999-00,0,2.07,0,0
0,WC-A,1,Sweden,60,20,0,0,0,4,0,0,0,0,0,0,0,0,0,.852,1999-00,27,4.00,0,23
0,Sweden,43,Djurgardens IF Stockholm,2622,21,0,0,0,91,0,0,0,5,0,0,0,0,0,0,2000-01,0,2.08,2,0
0,WC-A,1,Sweden,60,21,0,0,0,2,0,0,0,0,1,0,0,0,0,.938,2000-01,32,2.00,0,30
0,AHL,28,St. John\'s Maple Leafs,1521,22,11,0,1,79,0,0,6,0,8,1,0,0,0,.909,2001-02,867,3.12,0,788
0,AHL,47,St. John\'s Maple Leafs,2651,23,25,0,0,148,0,0,3,1,17,0,0,0,0,.910,2002-03,1643,3.35,4,1495
0,WC-A,7,Sweden,393,23,0,0,0,9,0,0,0,0,0,0,0,0,0,.940,2002-03,150,1.37,0,141
0,AHL,23,St. John\'s Maple Leafs,1343,24,11,0,0,59,0,0,1,1,10,0,0,0,0,.921,2003-04,743,2.64,0,684
0,W-Cup,3,Sweden,179,25,1,0,0,12,0,0,1,0,1,0,0,0,0,.875,2004-05,96,4.02,0,84
0,AHL,45,St. John\'s Maple Leafs,2600,25,16,0,4,115,0,0,4,0,24,4,0,0,0,.921,2004-05,1458,2.65,4,1343
0,Olympics,1,Sweden,60,26,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2005-06,0,3.00,2,0
0,AHL,3,Toronto Marlies,182,27,1,0,0,12,0,0,0,0,2,0,0,0,0,.882,2006-07,102,3.96,0,90
0,WC-A,2,Sweden,79,28,0,0,0,5,0,0,0,0,0,0,0,0,0,.857,2007-08,35,3.80,0,30
0,KHL,11,Ak Bars Kazan,588,30,0,0,0,24,0,0,0,0,0,0,0,0,0,0,2009-10,0,2.45,2,0
0,Finland,26,Lukko Rauma,1588,30,10,0,0,62,0,0,5,0,11,0,0,0,0,0,2009-10,0,2.34,0,0
0,KHL,20,Dynamo Riga,1140,31,0,0,0,50,0,0,0,1,0,0,0,0,0,0,2010-11,0,2.63,4,0
0,Sweden,45,MODO Hockey Ornskoldsvik,2578,32,0,0,1,102,0,0,0,2,0,1,0,0,0,0,2011-12,0,2.37,0,0
0,KHL,35,Dynamo Riga,1972,33,19,0,0,86,0,0,0,1,12,0,0,0,0,0,2012-13,0,2.62,2,0
