year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2003-04,14,39,0,50,0,GTHL,66,Markham Islanders,89
2004-05,15,42,113,53,0,GTHL,60,Markham Islanders,95
2005-06,16,9,72,19,-4,OHL,64,Plymouth Whalers,28
2006-07,17,22,98,44,18,OHL,68,Plymouth Whalers,66
2007-08,18,44,107,57,12,OHL,68,Plymouth Whalers,101
2007-08,18,0,0,0,0,AHL,1,Albany River Rats,0
2008-09,19,39,75,55,25,OHL,53,Plymouth Whalers,94
2009-10,20,17,47,30,12,AHL,80,Albany River Rats,47
2010-11,21,34,52,30,-4,AHL,80,Charlotte Checkers,64
2011-12,22,16,67,43,-15,AHL,74,Charlotte Checkers,59
2012-13,23,25,40,35,1,AHL,70,Charlotte Checkers,60
2013-14,24,28,62,41,-13,AHL,70,Charlotte Checkers,69
2014-15,25,1,4,1,-2,AHL,5,Charlotte Checkers,2
2016-17,27,30,36,38,0,AHL,58,St. John\'s IceCaps,68
