year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1999-00,16,3,10,2,0,Fin-U18,14,KalPa Kuopio U18,5
1999-00,16,1,6,0,0,Fin-Jr.,19,KalPa Kuopio Jr.,1
2000-01,17,1,10,4,0,Fin-U18,4,KalPa Kuopio U18,5
2000-01,17,6,22,7,0,Fin-Jr.,38,KalPa Kuopio Jr.,13
2000-01,17,0,2,1,0,Finland-3,7,KalPa Kuopio,1
2000-01,17,0,2,2,0,WJ18-A,6,Finland,2
2001-02,18,1,10,1,0,Fin-Jr.,10,KalPa Kuopio Jr.,2
2001-02,18,3,10,8,0,Finland-2,41,KalPa Kuopio,11
2002-03,19,0,0,0,0,Fin-Jr.,2,TPS Turku Jr.,0
2002-03,19,0,0,0,0,Finland-2,3,TuTo Turku,0
2002-03,19,1,10,0,0,Finland,39,TPS Turku,1
2002-03,19,1,6,1,0,WJC-A,7,Finland,2
2003-04,20,0,4,0,0,Finland,20,TPS Turku,0
2003-04,20,7,10,9,0,Finland-2,25,Jukurit Mikkeli,16
2004-05,21,1,53,5,0,Finland,54,SaiPa Lappeenranta,6
2005-06,22,0,30,7,0,Finland,52,SaiPa Lappeenranta,7
2006-07,23,2,18,15,-3,AHL,46,Philadelphia Phantoms,17
2007-08,24,0,26,18,-11,AHL,47,2 Teams,18
2007-08,24,0,14,7,-3,AHL,14,Philadelphia Phantoms,7
2007-08,24,0,12,11,-8,AHL,33,Iowa Stars,11
2008-09,25,0,14,3,0,Finland,24,KalPa Kuopio,3
2009-10,26,2,34,7,0,Finland,56,KalPa Kuopio,9
2010-11,27,1,24,1,0,Finland,30,KalPa Kuopio,2
2011-12,28,2,40,10,0,Finland,50,KalPa Kuopio,12
2012-13,29,1,34,19,0,Finland,57,KalPa Kuopio,20
