year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1934-35,17,3,0,2,0,RJrHL,6,Regina Wares,5
1935-36,18,4,4,0,0,RJrHL,3,Regina Christies,4
1935-36,18,1,6,1,0,S-SJHL,3,Regina Jr. Aces,2
1936-37,19,6,0,0,0,S-SJHL,5,Regina Jr. Aces,6
1937-38,20,15,23,8,0,S-SSHL,24,Regina Aces,23
1938-39,21,0,0,0,0,PCHL,7,Seattle Seahawks,0
1938-39,21,2,36,9,0,IAHL,45,Philadelphia Ramblers,11
1939-40,22,0,6,2,0,AHA,11,Kansas City Greyhounds,2
1939-40,22,2,2,3,0,IAHL,22,Springfield Indians,5
1940-41,23,16,55,15,0,PCHL,40,Seattle Olympics,31
1941-42,24,6,41,12,0,SSHL,27,Regina Rangers,18
1942-43,25,8,41,10,0,VNDHL,18,Victoria Navy,18
1943-44,26,5,22,4,0,PCHL,16,Victoria Navy,9
1945-46,28,16,65,22,0,PCHL,53,New Westminster Royals,38
1946-47,29,28,98,21,0,PCHL,57,New Westminster Royals,49
1947-48,30,14,84,23,0,PCHL,54,New Westminster Royals,37
1948-49,31,12,31,20,0,PCHL,69,Seattle Ironmen,32
1949-50,32,5,25,8,0,OkMHL,24,Kerrisdale Monarchs,13
