giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,70,0,20,0,0,92,8,0,1,594,NSH,0,0,[],4.3,2,4,-6,4,0,0,2003-04,0,8:29,2,137,0,3
0,NHL,34,0,22,0,0,61,10,0,0,315,NSH,0,0,[],6.6,4,6,9,4,0,0,2005-06,0,9:15,0,55,0,6
0,NHL,65,0,23,0,0,77,9,0,0,546,NSH,0,0,[],3.9,3,6,-11,3,0,0,2006-07,0,8:24,0,116,0,6
16,NHL,63,1,24,2,191,98,18,64,0,624,NSH,16,50.0,[],11.2,11,7,-8,11,2,0,2007-08,5,9:54,0,100,0,7
31,NHL,72,1,25,7,246,138,16,129,1,870,NSH,31,56.3,[],2.9,4,12,-15,4,9,0,2008-09,14,12:05,0,124,0,11
34,NHL,51,1,26,6,181,101,16,72,0,553,NSH,13,25.0,[],5.9,6,10,2,6,2,0,2009-10,7,10:50,0,40,0,10
35,NHL,54,1,27,1,151,85,18,95,0,641,NSH,25,66.7,[],9.4,8,10,8,8,2,0,2010-11,17,11:53,0,61,0,10
44,NHL,77,1,28,8,237,136,30,151,1,1013,NSH,42,33.3,[],4.4,5,24,-5,6,4,0,2011-12,17,13:09,1,92,0,23
8,NHL,42,1,29,0,79,45,8,68,1,381,DET,11,0,[],6.7,3,5,0,3,0,0,2012-13,7,9:05,0,78,0,4
0,NHL,11,0,30,0,20,11,1,27,0,77,DET,0,0,[],0.0,0,1,-3,0,0,0,2013-14,1,6:59,0,5,0,1
30,NHL,68,1,31,0,118,75,15,132,0,711,NJD,17,100.0,[],13.3,9,5,1,10,1,0,2014-15,8,10:27,1,72,0,5
23,NHL,66,0,32,2,141,90,9,99,3,761,NJD,17,0.0,[],4.4,2,5,-26,4,0,0,2015-16,18,11:32,2,102,0,2
9,NHL,50,0,33,0,81,43,3,52,0,337,CHI,9,100.0,[],4.7,2,1,-6,2,1,0,2016-17,8,6:45,0,28,0,1
