year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1932-33,19,1,0,1,0,N-SJHL,4,Saskatoon Tigers,2
1933-34,20,0,2,2,0,S-SJHL,2,Regina Pats,2
1934-35,21,3,35,6,0,EAHL,21,Hershey B\'ars,9
1935-36,22,9,64,5,0,EAHL,40,Hershey B\'ars,14
1936-37,23,7,82,8,0,EAHL,46,Hershey B\'ars,15
1937-38,24,6,62,9,0,EAHL,43,Hershey B\'ars,15
1938-39,25,13,109,9,0,EAHL,53,Baltimore Orioles,22
1939-40,26,10,104,15,0,AHA,48,Kansas City Greyhounds,25
1940-41,27,11,75,16,0,AHA,47,Kansas City Americans,27
1941-42,28,13,72,17,0,AHA,45,Kansas City Americans,30
1946-47,33,2,4,3,0,USHL,10,Kansas City Pla-Mors,5
1946-47,33,23,41,22,0,PCHL,45,Oakland Oaks,45
1948-49,35,2,33,5,0,PCHL,24,Los Angeles/San Diego,7
