year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1991-92,18,2,6,7,0,Germany,5,ESV Kaufbeuren,9
1992-93,19,1,10,0,0,Germany,3,ESV Kaufbeuren,1
1993-94,20,0,4,0,0,Germany,3,ESV Kaufbeuren,0
1994-95,21,1,7,6,0,AHL,7,Portland Pirates,7
1998-99,25,4,2,7,0,IHL,11,Detroit Vipers,11
1999-00,26,1,10,4,0,IHL,11,Cincinnati Cyclones,5
2000-01,27,0,4,6,0,IHL,5,Cincinnati Cyclones,6
2001-02,28,2,10,2,0,Germany,12,Adler Mannheim,4
2002-03,29,1,2,1,0,Germany,4,Adler Mannheim,2
2004-05,31,2,0,10,0,Germany,12,Eisbaren Berlin,12
2005-06,32,2,6,11,0,Germany,11,Eisbaren Berlin,13
2007-08,34,4,14,3,0,Germany,14,Eisbaren Berlin,7
2008-09,35,2,2,5,0,Germany,9,Eisbaren Berlin,7
2009-10,36,2,4,2,0,Germany,5,Eisbaren Berlin,4
2010-11,37,5,4,13,0,Germany,12,Eisbaren Berlin,18
