year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2003-04,16,19,0,24,0,High-MN,29,Moorhead Spuds,43
2004-05,17,35,28,32,0,High-MN,30,Moorhead Spuds,67
2004-05,17,1,0,4,1,USHL,7,Lincoln Stars,5
2005-06,18,16,70,20,-1,USHL,56,Lincoln Stars,36
2006-07,19,3,37,6,0,WCHA,38,University of North Dakota,9
2007-08,20,15,38,17,0,WCHA,43,University of North Dakota,32
2008-09,21,18,69,17,0,WCHA,43,University of North Dakota,35
2009-10,22,16,22,25,0,WCHA,42,University of North Dakota,41
2010-11,23,12,45,4,-17,AHL,67,Oklahoma City Barons,16
2011-12,24,7,33,16,-4,AHL,68,Oklahoma City Barons,23
2012-13,25,7,27,13,-3,AHL,57,Oklahoma City Barons,20
2013-14,26,10,27,14,1,AHL,41,Adirondack Phantoms,24
2014-15,27,2,0,0,0,AHL,1,Lehigh Valley Phantoms,2
