year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1984-85,17,5,0,18,0,High-MN,22,Armstrong High School,23
1985-86,18,9,0,13,0,High-MN,20,Armstrong High School,22
1986-87,19,0,40,2,0,WCHA,33,U. of Minnesota-Duluth,2
1987-88,20,1,90,6,0,WCHA,39,U. of Minnesota-Duluth,7
1988-89,21,9,86,19,0,WCHA,37,U. of Minnesota-Duluth,28
1989-90,22,5,72,24,0,WCHA,37,U. of Minnesota-Duluth,29
1990-91,23,10,65,10,0,AHL,67,Capital District Islanders,20
1991-92,24,1,59,11,0,AHL,31,Capital District Islanders,12
1991-92,24,0,6,0,0,WC-A,6,United States,0
1992-93,25,4,70,15,0,AHL,42,Capital District Islanders,19
1998-99,31,2,56,13,6,AHL,43,Providence Bruins,15
