year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1938-39,17,0,2,0,0,S-SJHL,4,Regina Abbotts,0
1939-40,18,0,0,0,0,S-SJHL,11,Regina Abbotts,0
1940-41,19,14,16,18,0,SSHL,31,Regina Rangers,32
1949-50,28,19,33,28,0,AHL,37,Buffalo Bisons,47
1950-51,29,34,43,65,0,AHL,65,Buffalo Bisons,99
1951-52,30,24,35,41,0,AHL,55,Buffalo Bisons,65
1952-53,31,19,49,27,0,OSHL,31,Penticton Vees,46
1953-54,32,36,79,43,0,OSHL,54,Penticton Vees,79
1954-55,33,22,62,34,0,OSHL,38,Penticton Vees,56
1954-55,33,6,5,11,0,WEC-A,8,Canada,17
1955-56,34,54,44,59,0,OSHL,54,Penticton Vees,113
1956-57,35,18,70,30,0,WIHL,43,Trail Smoke Eaters,48
1957-58,36,9,45,31,0,OSHL,49,Kamloops Chiefs,40
