league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,24,0,21,0,2,0,,NYR,[],0,0,2,0,0,0,1935-36,,0,24,0,0
NHL,48,0,22,0,28,0,,NYR,[],0,0,17,0,11,0,1936-37,,0,22,0,0
NHL,48,0,23,0,32,0,,NYR,[],0,0,25,0,7,0,1937-38,,0,52,0,0
NHL,0,0,24,0,37,0,,NYR,[],0,0,22,0,15,0,1938-39,,0,42,0,0
NHL,48,0,25,0,35,0,,NYR,[],0,0,28,0,7,0,1939-40,,0,42,0,0
NHL,40,0,26,0,36,0,,NYR,[],0,0,25,0,11,0,1940-41,,0,49,0,0
NHL,48,0,27,0,52,0,,NYR,"[{'link': '/awards/nhl_all_star.html#1942', 'name': None}]",0,0,0,0,15,0,1941-42,,0,58,0,0
NHL,46,0,28,0,42,0,,NYR,[],0,0,28,0,14,0,1942-43,,0,44,0,0
NHL,44,0,29,0,49,0,,MTL,[],0,0,32,0,17,0,1943-44,,0,61,0,0
NHL,45,0,30,0,19,0,,NYR,[],0,0,8,0,11,0,1944-45,,0,24,0,0
NHL,49,0,31,0,26,0,,NYR,[],0,0,14,0,12,0,1945-46,,0,43,0,0
NHL,48,0,32,0,18,0,,NYR,[],0,0,12,0,6,0,1946-47,,0,17,0,0
NHL,54,0,33,0,33,0,,NYR,[],0,0,15,0,18,0,1947-48,,0,54,0,0
