goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
0.8,0,NHL,3,TOR,165,19,1,0,0,14,0,0,1,0,1,0,0,0,0,.891,1983-84,128,5.09,0,[],114
3.4,0,NHL,23,TOR,1278,20,15,109,1,103,0,-8.68,3,0,2,1,0,0,0,.863,1984-85,752,4.84,10,[],649
4.8,0,NHL,30,TOR,1566,21,13,100,0,113,0,0.28,4,0,9,0,0,0,0,.875,1985-86,901,4.33,16,[],788
8.1,0,NHL,56,TOR,3026,22,0,104,4,200,0,-8.30,3,0,22,4,0,0,0,.875,1986-87,1598,3.97,20,[],1398
8.0,0,NHL,56,TOR,3000,23,0,108,5,222,0,-16.28,4,2,12,5,0,0,0,.870,1987-88,1712,4.44,40,[],1490
4.6,0,NHL,35,TOT,2018,24,21,114,3,152,0,-18.14,2,0,10,3,0,0,0,.863,1988-89,1110,4.52,20,[],958
4.5,0,NHL,32,TOR,1888,24,20,111,3,139,0,-13.94,2,0,9,3,0,0,0,.866,1988-89,1037,4.42,20,[],898
0.1,0,NHL,3,PHI,130,24,1,0,0,13,0,0,0,0,1,0,0,0,0,.822,1988-89,73,6.00,0,[],60
9.7,0,NHL,51,PHI,2961,25,24,91,2,169,0,16.43,3,0,22,2,0,0,0,.892,1989-90,1560,3.42,12,[],1391
2.6,0,NHL,30,PHI,1484,26,14,117,0,88,0,-12.77,3,0,10,0,0,0,0,.867,1990-91,660,3.56,6,[],572
2.3,0,NHL,32,TOT,1707,27,11,125,2,106,0,-21.11,3,0,14,2,0,0,0,.860,1991-92,759,3.73,2,[],653
1.9,0,NHL,23,PHI,1259,27,8,120,2,75,0,-12.70,3,0,9,2,0,0,0,.865,1991-92,557,3.57,0,[],482
0.4,0,NHL,9,PIT,448,27,3,0,0,31,0,0,0,0,5,0,0,0,0,.847,1991-92,202,4.15,2,[],171
3.8,0,NHL,25,PIT,1368,28,7,98,1,78,0,1.64,2,0,13,1,0,0,0,.887,1992-93,692,3.42,6,[],614
6.7,0,NHL,42,PIT,2456,29,12,102,1,138,0,-2.54,7,1,21,1,0,0,0,.893,1993-94,1291,3.37,8,[],1153
7.1,0,NHL,38,PIT,2208,30,9,97,0,118,0,3.19,2,0,0,0,0,0,0,.903,1994-95,1219,3.21,14,"[{'link': '/awards/voting-1995.html#vezina', 'name': 'Vezina-5'}]",1101
7.2,0,NHL,37,PIT,2132,31,13,94,2,115,0,7.40,2,3,20,2,0,0,0,.905,1995-96,1205,3.24,8,[],1090
7.1,0,NHL,46,PIT,2514,32,17,103,1,136,0,-4.23,6,2,17,1,0,0,0,.902,1996-97,1383,3.25,6,[],1247
1.7,0,NHL,15,PIT,611,33,6,0,0,28,0,0,2,0,3,0,0,0,0,.904,1997-98,293,2.75,6,[],265
4.0,0,NHL,27,CGY,1590,34,12,102,1,67,0,-1.35,4,1,10,1,0,0,0,.906,1998-99,712,2.53,8,[],645
3.9,0,NHL,29,DET,1579,35,10,105,1,70,0,-3.07,2,0,14,1,0,0,0,.900,1999-00,700,2.66,0,[],630
