year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1993-94,17,2,10,1,0,OHL,8,Guelph Storm,3
1994-95,18,6,6,8,0,OHL,14,Guelph Storm,14
1995-96,19,10,35,12,0,OHL,16,Guelph Storm,22
1996-97,20,0,0,0,0,IHL,1,Michigan K-Wings,0
1998-99,22,0,2,0,0,IHL,2,Michigan K-Wings,0
2005-06,29,4,2,2,0,Swiss,6,HC Geneve-Servette,6
2006-07,30,1,8,0,0,Swiss,5,HC Geneve-Servette,1
2007-08,31,3,24,6,0,Germany,13,DEG Metro Stars Dusseldorf,9
2008-09,32,0,0,0,0,Germany,5,Frankfurt Lions,0
2009-10,33,0,0,3,0,Germany,4,Frankfurt Lions,3
