year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1986-87,16,6,86,13,0,ON-Jr.A,46,Smiths Falls Bears,19
1987-88,17,4,110,9,0,OHL,58,Hamilton Steelhawks,13
1988-89,18,19,105,44,0,OHL,65,Windsor Spitfires,63
1989-90,19,20,55,55,0,OHL,64,2 Teams,75
1989-90,19,9,38,30,0,OHL,39,Windsor Spitfires,39
1989-90,19,11,17,25,0,OHL,25,Kitchener Rangers,36
1990-91,20,13,40,80,0,OHL,66,Windsor Spitfires,93
1991-92,21,4,32,20,0,AHL,49,Adirondack Red Wings,24
1992-93,22,15,86,40,0,AHL,77,Adirondack Red Wings,55
1993-94,23,10,98,56,0,AHL,74,Adirondack Red Wings,66
1994-95,24,1,4,3,0,AHL,5,Adirondack Red Wings,4
2002-03,32,3,8,2,0,AHL,4,Cincinnati Mighty Ducks,5
2005-06,35,3,122,18,0,Swiss,34,HC Lugano,21
