age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
18,,33.3,2,3,1,NHL,4,0,1983-84,1,9,3,,1,0,,DET,6
19,,18.2,2,1,-5,NHL,3,0,1984-85,0,11,2,,0,2,,DET,3
21,,12.2,4,13,-2,NHL,16,0,1986-87,0,41,5,,1,8,,DET,18
22,,8.3,1,3,-3,NHL,3,0,1987-88,0,12,1,,0,6,,DET,4
23,,14.3,3,5,-7,NHL,6,0,1988-89,0,35,5,,2,2,,DET,10
25,,11.1,2,3,-1,NHL,7,0,1990-91,0,27,3,,1,4,,DET,6
26,,6.3,2,5,-3,NHL,11,1,1991-92,1,48,3,,0,12,,DET,8
27,,16.7,2,3,-4,NHL,7,1,1992-93,1,24,4,,1,4,,DET,7
28,,12.5,1,3,4,NHL,3,0,1993-94,0,8,1,,0,0,,DET,4
29,,10.8,2,8,-2,NHL,15,0,1994-95,1,37,4,,2,0,,DET,12
30,,15.4,4,12,-1,NHL,18,0,1995-96,1,52,8,,4,4,,DET,20
31,SC,10.8,4,6,3,NHL,0,0,1996-97,2,65,7,,3,4,,DET,13
32,SC,9.2,2,0,10,NHL,0,1,1997-98,0,65,6,,3,22,,DET,0
33,,22.0,5,4,2,NHL,10,0,1998-99,2,41,9,21:49,0,0,218,DET,13
34,,0.0,0,4,-4,NHL,8,0,1999-00,0,20,0,22:39,0,0,181,DET,4
35,,0,0,0,0,NHL,1,0,2000-01,0,0,0,5:58,0,0,6,DET,0
36,SC,11.5,2,17,4,NHL,0,0,2001-02,2,52,6,21:22,0,10,491,DET,23
37,,0.0,0,1,0,NHL,4,0,2002-03,0,10,0,20:33,0,2,82,DET,1
38,,16.7,3,2,-1,NHL,11,0,2003-04,1,18,3,17:02,0,0,187,DET,5
40,,0.0,0,4,-2,NHL,4,0,2005-06,0,10,0,16:39,0,4,67,DET,4
