giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,4,0,25,0,0,3,2,0,0,69,NSH,0,0,[],0.0,0,2,0,0,0,0,2005-06,0,17:19,0,6,1,1
0,NHL,66,0,26,0,0,43,8,0,0,1144,NSH,0,0,[],7.0,3,5,16,3,0,0,2006-07,0,17:20,0,32,0,5
25,NHL,78,0,27,0,95,38,5,160,0,1440,NSH,36,0,[],0.0,0,5,-5,0,0,0,2007-08,176,18:28,0,24,0,5
31,NHL,82,1,28,0,132,54,11,153,0,1710,NSH,40,0,[],7.4,4,7,8,4,0,0,2008-09,237,20:51,0,38,1,6
39,NHL,81,0,29,1,146,59,15,183,0,1812,MIN,25,0.0,[],3.4,2,13,-10,2,0,0,2009-10,196,22:22,0,36,0,13
28,NHL,82,0,30,0,142,55,7,169,1,1767,MIN,21,0,[],0.0,0,7,-5,0,0,0,2010-11,212,21:33,0,48,1,5
13,NHL,56,2,31,0,96,41,8,116,0,997,TOT,11,0,[],7.3,3,5,3,3,0,0,2011-12,136,17:48,0,18,0,5
10,NHL,39,1,31,0,57,27,6,77,0,726,MIN,10,0,[],7.4,2,4,-1,2,0,0,2011-12,104,18:37,0,14,0,4
3,NHL,17,1,31,0,39,14,2,39,0,270,BOS,1,0,[],7.1,1,1,4,1,0,0,2011-12,32,15:54,0,4,0,1
16,NHL,44,0,32,0,86,40,6,65,0,851,COL,14,0,[],0.0,0,6,-16,0,0,0,2012-13,124,19:20,0,28,1,5
