shorthanded_goals,average_ice_time,positions,shotsPercentage,even_strength_assists,shots,even_strength_goals,shorthanded_assists,age,game_winning_goals,goals,assists,name,overall_point_share,defensive_point_share,points,power_play_goals,pim,total_ice_time,games_played,plus_minus,offensive_point_share,power_play_assists,link
0,19:53,RW,12.9,29,202,19,1,21,4,26,41,Dany Heatley,6.8,0.9,67,7,56,1631,82,-19,5.9,11,/players/h/heatlda01.html
0,18:32,LW,15.8,14,184,22,0,18,4,29,22,Ilya Kovalchuk,6.1,0.5,51,7,28,1205,65,-19,5.6,8,/players/k/kovalil01.html
1,17:29,LW,17.8,15,101,12,0,35,2,18,26,Tony Hrkac,4.0,1.0,44,5,12,1398,80,-12,3.1,11,/players/h/hrkacto01.html
0,14:28,LW,13.5,13,96,12,0,25,0,13,14,Lubos Bartecko,2.1,0.5,27,1,30,1028,71,-15,1.6,1,/players/b/bartelu01.html
0,15:59,C,11.1,13,72,6,0,37,0,8,19,Ray Ferraro,0.9,-0.3,27,2,66,975,61,-32,1.2,6,/players/f/ferrara01.html
0,21:35,D,6.1,11,82,4,0,28,0,5,20,Frantisek Kaberle,3.6,1.6,25,1,24,1316,61,-11,2.0,9,/players/k/kaberfr01.html
0,21:50,D,7.8,6,115,8,0,26,1,9,15,Yannick Tremblay,3.8,1.6,24,1,47,1441,66,-15,2.2,9,/players/t/trembya01.html
1,15:58,C,10.4,14,67,6,0,21,0,7,16,Patrik Stefan,1.6,0.8,23,0,22,942,59,-4,0.8,2,/players/s/stefapa01.html
0,14:45,RW,7.8,13,102,7,0,25,0,8,14,Tomi Kallio,1.5,0.6,22,1,12,885,60,-8,0.9,1,/players/k/kallito01.html
0,14:27,C,18.0,7,61,5,0,28,2,11,9,Pascal Rheaume,2.3,0.5,20,6,25,607,42,-3,1.8,2,/players/r/rheaupa01.html
0,14:51,RW,9.2,10,87,7,0,25,1,8,11,Hnat Domenichelli,1.3,-0.1,19,1,34,594,40,-18,1.4,1,/players/d/domenhn01.html
0,21:32,D,2.9,14,68,1,0,25,0,2,16,Daniel Tjarnqvist,1.9,1.3,18,1,14,1614,75,-22,0.6,2,/players/t/tjarnda01.html
0,13:22,C,3.8,11,80,3,1,26,0,3,12,Per Svartvadet,-0.3,0.6,15,0,24,1043,78,-12,-0.9,0,/players/s/svartpe01.html
0,13:30,RW,9.4,6,64,5,0,27,2,6,6,Shean Donovan,0.2,0.0,12,1,40,648,48,-16,0.2,0,/players/d/donovsh01.html
