assists,game_winning_goals,goals,age,average_ice_time,offensive_point_share,defensive_point_share,even_strength_goals,total_ice_time,power_play_assists,positions,overall_point_share,even_strength_assists,team,link,shorthanded_assists,pim,power_play_goals,plus_minus,name,shotsPercentage,year,points,shorthanded_goals,games_played,shots
46,0,36,31,,5.7,0.4,0,,0,LW,6.2,0,BOS,/players/c/cainhe01.html,0,4,0,0,Herb Cain,,1944,82,0,48,0
41,0,30,31,,5.2,0.3,0,,0,C,5.5,0,BOS,/players/c/cowlebi01.html,0,12,0,0,Bill Cowley,,1944,71,0,36,0
41,0,28,28,,4.2,0.4,0,,0,RW,4.6,0,BOS,/players/j/jacksar01.html,0,8,0,0,Art Jackson,,1944,69,0,49,0
25,0,19,32,,2.3,0.4,0,,0,LW,2.7,0,BOS,/players/b/bollbu01.html,0,2,0,0,Buzz Boll,,1944,44,0,39,0
27,0,16,27,,1.5,0.4,0,,0,C,1.9,0,BOS,/players/c/callano01.html,0,8,0,0,Norm Calladine,,1944,43,0,49,0
25,0,17,18,,1.6,0.4,0,,0,RW,2.0,0,BOS,/players/g/guidobe01.html,0,58,0,0,Bep Guidolin,,1944,42,0,47,0
21,0,11,33,,0.7,0.4,0,,0,LW,1.1,0,BOS,/players/j/jacksbu01.html,0,25,0,0,Busher Jackson,,1944,32,0,42,0
25,0,6,36,,1.3,1.8,0,,0,D,3.1,0,BOS,/players/c/clappdi01.html,0,13,0,0,Dit Clapper,,1944,31,0,50,0
13,0,11,25,,1.8,0.9,0,,0,D,2.7,0,BOS,/players/e/eganpa01.html,0,55,0,0,Pat Egan,,1944,24,0,25,0
16,0,4,27,,0.8,1.2,0,,0,D,2.0,0,BOS,/players/c/crawfja01.html,0,8,0,0,Jack Crawford,,1944,20,0,34,0
5,0,13,18,,0.9,0.2,0,,0,C,1.1,0,BOS,/players/g/gallido01.html,0,6,0,0,Don Gallinger,,1944,18,0,23,0
7,0,9,31,,1.1,0.9,0,,0,D,2.0,0,BOS,/players/h/hollefl01.html,0,4,0,0,Flash Hollett,,1944,16,0,25,0
9,0,7,19,,0.3,0.2,0,,0,C,0.5,0,BOS,/players/k/kopakru01.html,0,0,0,0,Russ Kopak,,1944,16,0,24,0
7,0,3,19,,-0.1,0.2,0,,0,RW,0.0,0,BOS,/players/r/rittial01.html,0,0,0,0,Alan Rittinger,,1944,10,0,19,0
3,0,6,25,,-0.3,0.2,0,,0,RW,0.0,0,BOS,/players/p/palazal01.html,0,4,0,0,Aldo Palazzari,,1944,9,0,24,0
7,0,2,23,,0.4,0.5,0,,0,D,0.9,0,BOS,/players/l/labrigu01.html,0,2,0,0,Guy Labrie,,1944,9,0,15,0
1,0,2,22,,-0.3,0.1,0,,0,RW,-0.2,0,BOS,/players/b/brennto01.html,0,2,0,0,Tom Brennan,,1944,3,0,11,0
1,0,1,20,,-0.3,0.1,0,,0,LW,-0.2,0,BOS,/players/s/scherch01.html,0,6,0,0,Chuck Scherza,,1944,2,0,9,0
0,0,1,27,,-0.4,0.1,0,,0,LW,-0.3,0,BOS,/players/a/aubucos01.html,0,0,0,0,Ossie Aubuchon,,1944,1,0,9,0
0,0,1,18,,-0.2,0.1,0,,0,LW,-0.2,0,BOS,/players/s/schmicl01.html,0,2,0,0,Clarence Schmidt,,1944,1,0,7,0
1,0,0,35,,-0.2,0.0,0,,0,RW,-0.2,0,BOS,/players/b/boydir01.html,0,0,0,0,Irwin Boyd,,1944,1,0,5,0
1,0,0,30,,0.0,0.0,0,,0,G,3.7,0,BOS,/players/g/gardibe01.html,0,0,0,0,Bert Gardiner,,1944,1,0,41,0
0,0,0,32,,0.0,0.0,0,,0,G,0.0,0,BOS,/players/a/abbotge01.html,0,0,0,0,George Abbott,,1944,0,0,1,0
0,0,0,23,,0.0,0.0,0,,0,G,0.4,0,BOS,/players/c/courtma01.html,0,0,0,0,Maurice Courteau,,1944,0,0,6,0
0,0,0,27,,-0.2,0.0,0,,0,C,-0.1,0,BOS,/players/d/demarab01.html,0,0,0,0,Ab DeMarco,,1944,0,0,3,0
0,0,0,29,,0.0,0.0,0,,0,G,0.0,0,BOS,/players/f/frankji01.html,0,0,0,0,Jimmy Franks,,1944,0,0,1,0
0,0,0,35,,0.0,0.0,0,,0,G,-0.2,0,BOS,/players/g/grantbe01.html,0,0,0,0,Benny Grant,,1944,0,0,1,0
0,0,0,17,,-0.1,0.1,0,,0,D,0.0,0,BOS,/players/s/schmiot01.html,0,0,0,0,Otto Schmidt,,1944,0,0,2,0
0,0,0,32,,-0.2,0.3,0,,0,D,0.1,0,BOS,/players/w/wilkijo01.html,0,6,0,0,John Wilkinson,,1944,0,0,9,0
