offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
7.1,Rick Middleton,31,0,31,17.9,26,223,52,RW,8.8,92,80,22,1.7,4,9,,2,40,28,,24
6.2,Peter McNab,29,0,24,20.7,27,193,38,C,7.7,78,74,3,1.5,9,11,,0,40,35,,10
5.2,Jean Ratelle,14,0,11,19.3,39,145,45,C,6.2,73,67,11,1.0,1,14,,0,28,34,,8
4.7,Ray Bourque,12,2,52,9.2,19,185,48,D,11.8,65,80,23,7.1,1,3,,0,17,25,,73
3.3,Terry O'Reilly,16,0,17,18.1,28,105,42,RW,4.6,61,71,7,1.2,5,3,,0,19,35,,265
3.2,Dick Redmond,8,0,37,8.4,30,166,33,D,9.2,47,76,16,6.0,5,6,,1,14,16,,39
1.2,Bob Miller,15,1,9,11.7,23,137,25,C,2.3,41,80,0,1.1,2,0,,1,16,24,,53
1.5,Stan Jonathan,21,0,20,19.4,24,108,19,LW,2.9,40,79,1,1.4,3,0,,1,21,17,,208
1.7,Al Secord,22,0,20,14.8,21,155,16,LW,3.1,39,77,1,1.4,2,1,,0,23,15,,170
1.4,Dwight Foster,8,1,23,14.7,22,68,28,C,2.7,38,57,3,1.3,2,1,,0,10,25,,42
0.6,Bobby Lalonde,7,2,14,11.0,28,91,25,C,1.8,35,71,1,1.2,0,1,,1,10,23,,28
1.6,Wayne Cashman,7,1,-3,18.3,34,60,21,LW,1.9,32,44,11,0.4,2,3,,1,11,9,,19
1.2,Craig MacTavish,11,0,16,18.0,21,61,17,C,2.1,28,46,2,1.0,2,0,,0,11,15,,8
1.0,Rick Smith,8,0,22,9.4,31,85,18,D,6.2,26,78,0,5.2,2,0,,0,8,18,,62
1.1,Mike Milbury,9,0,7,9.9,27,101,13,D,5.1,23,72,1,4.0,0,1,,0,10,12,,59
1.4,Brad Park,3,0,11,7.5,31,67,16,D,3.6,21,32,7,2.3,2,2,,0,5,9,,27
-0.6,John Wensink,9,0,7,12.7,26,71,11,LW,0.4,20,69,0,0.9,2,0,,0,9,11,,110
0.1,Brad McCrimmon,4,0,-3,5.6,20,89,11,D,3.6,16,72,0,3.5,1,1,,0,5,11,,94
0.2,Don Marcotte,3,1,4,10.3,32,39,11,LW,0.6,15,32,0,0.5,1,0,,0,4,11,,0
0.9,Bobby Schmautz,4,0,-1,20.0,34,40,6,RW,1.1,14,20,3,0.2,0,4,,1,8,2,,8
-0.7,Gary Doak,0,0,14,0.0,33,29,5,D,2.7,5,52,0,3.4,0,0,,0,0,5,,45
-0.3,Tom Songin,1,0,0,7.1,26,14,3,RW,-0.1,4,17,0,0.2,0,0,,0,1,3,,16
0.0,Gilles Gilbert,0,0,0,,30,0,1,G,7.1,1,33,0,0.0,0,0,,0,0,0,,10
0.0,Marco Baron,0,0,0,,20,0,0,G,0.1,0,1,0,0.0,0,0,,0,0,0,,0
0.0,Yves Belanger,0,0,0,,27,0,0,G,0.9,0,8,0,0.0,0,0,,0,0,0,,0
0.0,Gerry Cheevers,0,0,0,,39,0,0,G,8.9,0,42,0,0.0,0,0,,0,0,0,,62
0.0,Doug Morrison,0,0,0,0.0,19,1,0,RW,0.0,0,1,0,0.0,0,0,,0,0,0,,0
-0.1,Dennis O'Brien,0,0,-4,0.0,30,2,0,D,-0.1,0,3,0,-0.1,0,0,,0,0,0,,2
0.0,Jim Stewart,0,0,0,,22,0,0,G,-0.3,0,1,0,0.0,0,0,,0,0,0,,0
