assists,game_winning_goals,goals,age,average_ice_time,offensive_point_share,defensive_point_share,even_strength_goals,total_ice_time,power_play_assists,positions,overall_point_share,even_strength_assists,team,link,shorthanded_assists,pim,power_play_goals,plus_minus,name,shotsPercentage,year,points,shorthanded_goals,games_played,shots
54,5,34,19,,5.7,1.0,15,,20,C,6.7,33,BUF,/players/t/turgepi01.html,1,26,19,-2,Pierre Turgeon,18.7,1989,88,0,80,182
44,3,26,24,,5.5,3.9,21,,26,D,9.4,17,BUF,/players/h/houslph01.html,1,47,5,6,Phil Housley,14.6,1989,70,0,72,178
46,1,14,24,,2.8,1.2,9,,13,C,4.0,32,BUF,/players/r/ruuttch01.html,1,98,5,13,Christian Ruuttu,9.4,1989,60,0,67,149
24,3,28,25,,3.6,0.7,21,,12,LW,4.4,12,BUF,/players/a/andreda01.html,0,40,7,0,Dave Andreychuk,19.3,1989,52,0,56,145
22,5,27,30,,2.6,0.8,16,,4,RW,3.4,17,BUF,/players/f/foligmi01.html,1,156,11,-7,Mike Foligno,18.8,1989,49,0,75,144
40,1,7,22,,2.7,3.6,1,,23,D,6.2,16,BUF,/players/b/bodgedo01.html,1,52,6,9,Doug Bodger,5.2,1989,47,0,61,134
30,0,14,22,,1.5,0.8,11,,4,LW,2.3,25,BUF,/players/h/hoguebe01.html,1,120,1,-5,Benoit Hogue,12.3,1989,44,2,69,114
31,1,13,24,,1.8,0.7,10,,8,C,2.4,23,BUF,/players/t/tuckejo01.html,0,31,3,-5,John Tucker,13.8,1989,44,0,60,94
21,4,22,22,,2.1,0.7,15,,8,RW,2.8,13,BUF,/players/s/sheppra01.html,0,15,7,-7,Ray Sheppard,15.0,1989,43,0,67,147
23,3,18,26,,1.2,1.3,16,,2,LW,2.5,21,BUF,/players/a/arniesc01.html,0,46,0,10,Scott Arniel,14.8,1989,41,2,80,122
13,3,19,29,,2.6,0.6,12,,6,RW,3.2,7,BUF,/players/v/vaiveri01.html,0,64,7,7,Rick Vaive,23.5,1989,32,0,28,81
17,1,11,32,,0.3,0.8,9,,0,LW,1.0,17,BUF,/players/n/napiema01.html,0,33,0,-3,Mark Napier,12.0,1989,28,2,66,92
9,2,9,24,,-0.3,0.8,9,,0,RW,0.6,7,BUF,/players/p/parkeje01.html,2,82,0,3,Jeff Parker,11.5,1989,18,0,57,78
10,2,8,26,,-0.4,1.0,8,,0,C,0.6,10,BUF,/players/m/maguike01.html,0,241,0,9,Kevin Maguire,22.9,1989,18,0,60,35
13,0,5,23,,0.3,3.5,4,,0,D,3.8,12,BUF,/players/k/kruppuw01.html,1,55,0,0,Uwe Krupp,9.8,1989,18,1,70,51
9,0,8,21,,-0.9,1.2,7,,0,LW,0.3,9,BUF,/players/h/hartmmi01.html,0,316,1,9,Mike Hartman,8.8,1989,17,0,70,91
10,1,7,23,,0.8,0.2,4,,5,LW,1.0,5,BUF,/players/c/creigad01.html,0,44,3,-5,Adam Creighton,16.7,1989,17,0,24,42
11,0,6,28,,-0.8,0.4,6,,1,LW,-0.4,10,BUF,/players/r/ruffli01.html,0,86,0,-17,Lindy Ruff,8.7,1989,17,0,63,69
14,1,2,28,,0.2,3.1,2,,3,D,3.3,10,BUF,/players/r/ramsemi01.html,1,84,0,5,Mike Ramsey,3.2,1989,16,0,56,63
11,1,2,21,,0.1,2.0,2,,4,D,2.1,7,BUF,/players/j/johanca01.html,0,33,0,-7,Calle Johansson,3.8,1989,13,0,47,53
10,0,2,20,,0.4,1.8,0,,1,D,2.2,8,BUF,/players/a/andersh01.html,1,18,2,3,Shawn Anderson,7.7,1989,12,0,33,26
6,0,4,25,,0.2,0.3,4,,2,LW,0.4,4,BUF,/players/d/donnemi01.html,0,10,0,-1,Mike Donnelly,16.0,1989,10,0,22,25
5,1,1,27,,0.2,0.7,1,,1,D,1.0,4,BUF,/players/l/ledyagr01.html,0,8,0,1,Grant Ledyard,4.0,1989,6,0,13,25
3,0,1,23,,0.1,1.1,0,,0,D,1.1,3,BUF,/players/r/reekijo01.html,0,26,1,6,Joe Reekie,7.1,1989,4,0,15,14
4,0,0,23,,0.0,0.0,0,,0,G,5.8,0,BUF,/players/p/puppada01.html,0,12,0,0,Daren Puppa,,1989,4,0,37,0
3,0,0,23,,0.0,0.0,0,,0,G,0.7,0,BUF,/players/b/barrato01.html,0,21,0,0,Tom Barrasso,,1989,3,0,10,0
3,0,0,30,,-0.6,1.6,0,,0,D,0.9,3,BUF,/players/p/playfla01.html,0,110,0,-10,Larry Playfair,0.0,1989,3,0,42,6
