shorthanded_goals,average_ice_time,positions,shotsPercentage,even_strength_assists,shots,even_strength_goals,shorthanded_assists,age,game_winning_goals,goals,assists,name,overall_point_share,defensive_point_share,points,power_play_goals,pim,total_ice_time,games_played,plus_minus,offensive_point_share,power_play_assists,link
0,,C,16.0,36,194,19,0,27,1,31,58,Dale Hawerchuk,7.8,1.1,89,12,32,,80,2,6.7,22,/players/h/hawerda01.html
2,,C,18.4,38,174,17,1,21,3,32,47,Pierre Turgeon,7.5,1.4,79,13,26,,78,14,6.1,8,/players/t/turgepi01.html
0,,LW,15.4,19,234,23,0,27,4,36,33,Dave Andreychuk,6.8,1.3,69,13,32,,80,11,5.5,14,/players/a/andreda01.html
3,,RW,14.9,27,201,24,2,21,5,30,34,Alexander Mogilny,6.5,1.2,64,3,16,,62,14,5.3,5,/players/m/mogilal01.html
0,,RW,16.1,19,155,16,0,31,3,25,27,Rick Vaive,4.8,1.2,52,9,74,,71,11,3.6,8,/players/v/vaiveri01.html
3,,C,10.3,20,155,11,1,26,1,16,34,Christian Ruuttu,3.2,0.8,50,2,96,,77,-6,2.4,13,/players/r/ruuttch01.html
0,,LW,14.2,18,134,18,0,24,2,19,28,Benoit Hogue,3.2,0.7,47,1,76,,76,-8,2.5,10,/players/h/hoguebe01.html
0,,D,8.7,17,138,6,1,25,0,12,32,Uwe Krupp,7.4,4.4,44,6,66,,74,14,3.0,14,/players/k/kruppuw01.html
1,,D,6.8,12,118,5,1,29,1,8,23,Grant Ledyard,5.5,3.7,31,2,46,,60,13,1.9,10,/players/l/ledyagr01.html
0,,D,3.6,6,139,3,2,24,0,5,23,Doug Bodger,3.8,2.3,28,2,54,,58,-8,1.4,15,/players/b/bodgedo01.html
4,,C,7.0,11,128,5,2,24,2,9,15,Dave Snuggerud,0.3,0.6,24,0,32,,80,-13,-0.3,2,/players/s/snuggda01.html
2,,LW,24.2,7,62,11,0,25,1,15,7,Mikko Makela,1.4,0.7,22,2,25,,60,-2,0.7,0,/players/m/makelmi01.html
0,,D,6.9,13,87,6,1,30,1,6,14,Mike Ramsey,4.8,4.2,20,0,46,,71,14,0.6,0,/players/r/ramsemi01.html
0,,LW,14.8,7,54,8,0,22,1,8,8,Rob Ray,0.0,0.5,16,0,350,,66,-11,-0.5,1,/players/r/rayro01.html
0,,LW,14.3,5,56,7,1,21,0,8,6,Darrin Shannon,0.6,0.1,14,1,12,,34,-11,0.5,0,/players/s/shannda02.html
