assists,game_winning_goals,goals,age,average_ice_time,offensive_point_share,defensive_point_share,even_strength_goals,total_ice_time,power_play_assists,positions,overall_point_share,even_strength_assists,team,link,shorthanded_assists,pim,power_play_goals,plus_minus,name,shotsPercentage,year,points,shorthanded_goals,games_played,shots
32,5,30,27,21:21,5.1,2.0,20,1665,6,C,7.1,26,CAR,/players/p/primeke02.html,0,75,9,8,Keith Primeau,16.9,1999,62,1,78,178
35,7,24,25,19:25,4.5,1.6,19,1573,12,LW,6.0,23,CAR,/players/k/kapansa01.html,0,10,5,-1,Sami Kapanen,9.4,1999,59,0,81,254
33,4,25,32,18:12,5.1,1.5,20,1347,8,RW,6.6,25,CAR,/players/s/sheppra01.html,0,16,5,4,Ray Sheppard,13.3,1999,58,0,74,188
31,2,21,35,21:55,2.8,1.7,13,1797,10,C,4.6,21,CAR,/players/f/francro01.html,0,34,8,-2,Ron Francis,15.8,1999,52,0,82,133
28,4,14,32,19:36,1.8,1.6,12,1509,4,LW,3.4,24,CAR,/players/r/roberga01.html,0,178,1,2,Gary Roberts,10.1,1999,42,1,77,138
15,2,16,22,16:44,1.6,1.4,12,1255,6,C,2.9,9,CAR,/players/o/oneilje01.html,0,66,4,3,Jeff O'Neill,13.2,1999,31,0,75,121
15,2,13,28,13:13,1.6,1.1,13,1004,0,LW,2.7,15,CAR,/players/g/gelinma01.html,0,67,0,3,Martin Gelinas,11.7,1999,28,0,76,111
16,2,9,31,16:14,0.3,0.7,5,1218,3,LW,1.0,13,CAR,/players/k/kronro01.html,0,10,3,-13,Robert Kron,6.7,1999,25,1,75,134
17,2,7,30,22:31,1.5,4.1,7,1666,5,D,5.6,12,CAR,/players/w/weslegl01.html,0,44,0,14,Glen Wesley,6.3,1999,24,0,74,112
13,0,8,31,14:30,1.7,0.6,5,508,5,RW,2.2,8,CAR,/players/e/emersne01.html,0,36,3,1,Nelson Emerson,9.5,1999,21,0,35,84
10,1,9,33,9:02,1.0,0.9,7,705,0,LW,1.9,10,CAR,/players/r/ranhepa01.html,0,39,0,4,Paul Ranheim,13.4,1999,19,2,78,67
10,1,8,35,9:58,0.9,0.9,8,668,1,RW,1.8,9,CAR,/players/d/dineeke01.html,0,97,0,5,Kevin Dineen,9.3,1999,18,0,67,86
11,0,7,23,9:53,1.0,0.9,7,593,0,LW,1.9,11,CAR,/players/b/battaba01.html,0,22,0,7,Bates Battaglia,13.5,1999,18,0,60,52
11,0,5,27,8:07,0.4,1.0,5,657,0,LW,1.5,11,CAR,/players/m/mandeke01.html,0,38,0,9,Kent Manderville,7.0,1999,16,0,81,71
14,1,1,23,16:45,0.6,3.0,1,1022,1,D,3.6,13,CAR,/players/p/prattno01.html,0,95,0,15,Nolan Pratt,2.2,1999,15,0,61,46
6,1,6,28,13:53,1.2,0.4,5,250,1,RW,1.6,5,CAR,/players/k/kovalan01.html,0,0,1,3,Andrei Kovalenko,28.6,1999,12,0,18,21
9,0,2,23,21:14,0.2,1.5,1,1104,1,D,1.8,7,CAR,/players/m/malikma01.html,1,36,1,-6,Marek Malik,5.6,1999,11,0,52,36
8,0,2,37,19:41,0.4,1.5,1,866,3,D,1.9,5,CAR,/players/c/coffepa01.html,0,28,1,-1,Paul Coffey,2.5,1999,10,0,44,79
10,0,0,28,19:02,0.0,2.6,0,1028,0,D,2.6,10,CAR,/players/h/hillse01.html,0,48,0,9,Sean Hill,0.0,1999,10,0,54,44
7,0,2,29,19:18,-0.1,2.2,2,1255,1,D,2.1,5,CAR,/players/l/leschcu01.html,1,50,0,-1,Curtis Leschyshyn,5.7,1999,9,0,65,35
8,0,1,31,23:11,0.4,1.7,0,649,4,D,2.1,4,CAR,/players/c/chiasst01.html,0,16,1,7,Steve Chiasson,1.4,1999,9,0,28,74
3,0,0,30,18:39,-0.6,1.9,0,951,0,D,1.3,3,CAR,/players/b/burtad01.html,0,46,0,3,Adam Burt,0.0,1999,3,0,51,37
3,0,0,24,15:57,0.0,1.0,0,319,0,D,1.0,3,CAR,/players/h/halkost01.html,0,24,0,5,Steven Halko,0.0,1999,3,0,20,6
2,0,0,27,16:55,-0.4,1.1,0,558,1,D,0.7,1,CAR,/players/k/karpada01.html,0,55,0,1,Dave Karpa,0.0,1999,2,0,33,21
1,0,0,23,10:29,-0.1,0.4,0,157,0,D,0.3,1,CAR,/players/r/rucinmi02.html,0,8,0,1,Mike Rucinski,0.0,1999,1,0,15,8
0,0,0,31,58:46,0.0,0.0,0,3643,0,G,13.1,0,CAR,/players/i/irbear01.html,0,10,0,0,Arturs Irbe,,1999,0,0,62,0
0,0,0,26,54:20,0.0,0.0,0,1358,0,G,3.5,0,CAR,/players/k/kiddtr01.html,0,0,0,0,Trevor Kidd,,1999,0,0,25,0
0,0,0,21,2:29,-0.1,0.0,0,27,0,C,0.0,0,CAR,/players/m/macdocr01.html,0,0,0,0,Craig MacDonald,0.0,1999,0,0,11,5
0,0,0,21,3:25,0.0,0.0,0,10,0,C,0.0,0,CAR,/players/r/ritchby01.html,0,0,0,0,Byron Ritchie,,1999,0,0,3,0
0,0,0,21,2:14,0.0,-0.1,0,16,0,RW,-0.1,0,CAR,/players/w/willish01.html,0,0,0,-2,Shane Willis,0.0,1999,0,0,7,1
