offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
5.2,Eric Staal,14,1,5,11.8,28,152,35,C,6.4,53,48,6,1.2,4,3,1008,0,18,29,21:00,54
3.9,Alexander Semin,9,0,14,8.7,28,150,31,LW,5.4,44,44,5,1.5,1,4,921,1,13,25,20:57,46
4.5,Jiri Tlusty,19,0,15,19.7,24,117,15,C,5.9,38,48,4,1.5,3,4,876,0,23,11,18:15,18
1.9,Jordan Staal,9,0,-18,8.8,24,114,21,C,2.1,31,48,6,0.1,1,1,965,1,10,14,20:06,32
2.0,Jeff Skinner,8,0,-21,8.2,20,159,11,RW,1.9,24,42,4,-0.2,0,5,775,0,13,7,18:28,26
1.7,Joe Corvo,3,0,-3,8.5,35,71,11,D,2.7,17,40,5,1.0,2,3,750,0,6,6,18:46,14
0.7,Patrick Dwyer,6,1,-7,8.6,29,93,8,RW,1.1,16,46,0,0.4,0,1,710,0,8,8,15:26,12
1.2,Justin Faulk,3,1,1,6.6,20,76,10,D,2.8,15,38,2,1.7,0,1,912,0,5,8,24:00,15
0.5,Jussi Jokinen,4,0,-8,9.8,29,61,5,LW,0.6,11,33,1,0.1,3,2,514,0,6,4,15:35,18
0.4,Jay Harrison,3,0,-10,5.6,30,54,7,D,1.1,10,47,1,0.8,2,0,936,0,3,6,19:54,51
0.3,Riley Nash,4,0,-4,11.1,23,36,5,C,0.5,9,32,0,0.2,0,0,410,0,4,5,12:48,8
0.7,Tuomo Ruutu,4,0,-6,13.3,29,30,5,C,0.7,9,17,0,0.0,0,0,259,0,4,5,15:14,8
0.5,Joni Pitkanen,1,0,2,2.9,29,34,8,D,1.6,9,22,2,1.0,0,0,502,0,1,6,22:49,12
0.0,Tim Gleason,0,0,-3,0.0,30,36,9,D,1.2,9,42,1,1.2,0,0,822,0,0,8,19:34,40
0.1,Jamie McBain,1,0,0,2.2,24,46,7,D,1.4,8,40,0,1.3,0,0,737,0,1,7,18:25,12
0.3,Bobby Sanguinetti,2,0,-6,4.2,24,48,4,D,0.7,6,37,1,0.4,1,0,546,0,2,3,14:45,4
-0.3,Drayson Bowman,3,0,-7,4.4,23,68,2,C,-0.2,5,37,0,0.1,0,0,433,0,3,2,11:42,17
-0.6,Chad Larose,2,0,-8,3.1,30,65,2,RW,-0.5,4,35,0,0.1,0,0,450,0,2,2,12:51,29
0.2,Kevin Westgarth,2,0,1,12.5,28,16,2,RW,0.4,4,31,0,0.2,0,0,177,0,2,2,5:43,45
0.2,Marc-Andre Bergeron,0,0,-7,0.0,32,21,4,D,0.0,4,13,3,-0.3,0,0,196,0,0,1,15:04,5
0.1,Zac Dalpe,1,0,-7,5.6,23,18,2,C,-0.1,3,10,0,-0.2,0,0,123,0,1,2,12:18,0
-0.5,Tim Brent,0,0,-3,0.0,28,23,3,C,-0.3,3,30,2,0.2,0,0,294,0,0,1,9:48,8
-0.5,Tim Wallace,1,0,-9,5.0,28,20,1,RW,-0.6,2,28,0,-0.1,0,0,281,0,1,1,10:02,17
0.1,Brett Bellemore,0,0,-2,0.0,24,3,2,D,0.1,2,8,0,0.0,0,0,110,0,0,2,13:46,7
0.0,Dan Ellis,0,0,0,,32,0,2,G,3.0,2,19,0,0.0,0,0,997,0,0,0,52:29,0
0.1,Chris Terry,1,0,0,100.0,23,1,0,LW,0.2,1,3,0,0.0,1,0,29,0,1,0,9:36,0
-0.1,Andreas Nodl,0,0,-1,0.0,25,6,1,RW,-0.1,1,8,0,0.0,0,0,68,0,0,1,8:28,2
0.0,Jeremy Welsh,0,0,1,0.0,24,4,1,LW,0.1,1,5,0,0.1,0,0,29,0,0,1,5:51,0
-0.2,Nicolas Blanchard,0,0,-2,0.0,25,6,0,C,-0.2,0,9,0,0.0,0,0,78,0,0,0,8:41,20
0.0,Zach Boychuk,0,0,0,,23,0,0,C,0.0,0,1,0,0.0,0,0,10,0,0,0,10:13,0
0.0,Marc-Andre Gragnani,0,0,0,,25,0,0,LW,0.0,0,1,0,0.0,0,0,8,0,0,0,7:53,0
-0.2,Adam Hall,0,0,-2,0.0,32,3,0,RW,-0.2,0,6,0,0.0,0,0,63,0,0,0,10:31,0
-0.1,Michal Jordan,0,0,-2,0.0,22,2,0,D,-0.1,0,5,0,-0.1,0,0,53,0,0,0,10:41,2
-0.1,Ryan Murphy,0,0,-4,0.0,19,7,0,D,-0.3,0,4,0,-0.2,0,0,84,0,0,0,21:04,2
0.0,Justin Peters,0,0,0,,26,0,0,G,1.9,0,19,0,0.0,0,0,954,0,0,0,50:14,0
-0.1,Jared Staal,0,0,-2,0.0,22,3,0,RW,-0.1,0,2,0,-0.1,0,0,27,0,0,0,13:23,2
-0.1,Brett Sutter,0,0,-1,0.0,25,2,0,C,-0.1,0,3,0,0.0,0,0,25,0,0,0,8:21,4
0.0,Cam Ward,0,0,0,,28,0,0,G,2.7,0,17,0,0.0,0,0,929,0,0,0,54:40,0
