shorthanded_goals,average_ice_time,positions,shotsPercentage,even_strength_assists,shots,even_strength_goals,shorthanded_assists,age,game_winning_goals,goals,assists,name,overall_point_share,defensive_point_share,points,power_play_goals,pim,total_ice_time,games_played,plus_minus,offensive_point_share,power_play_assists,link
0,20:13,LW,10.0,19,210,15,0,29,3,21,40,Ray Whitney,6.2,1.1,61,6,12,1355,67,-22,5.2,21,/players/w/whitnra01.html
0,20:51,C,13.3,15,150,12,0,30,5,20,23,Mike Sillinger,3.2,1.0,43,8,54,1668,80,-35,2.2,8,/players/s/sillimi01.html
2,20:15,RW,10.8,15,102,4,1,30,1,11,31,Espen Knutsen,2.6,1.1,42,5,47,1559,77,-28,1.4,15,/players/k/knutses01.html
0,15:27,RW,9.9,15,152,9,0,28,4,15,18,Grant Marshall,2.7,1.0,33,6,86,1252,81,-20,1.7,3,/players/m/marshgr01.html
0,15:27,LW,12.6,15,103,7,0,27,2,13,18,David Vyborny,2.7,1.1,31,6,6,1159,75,-14,1.6,3,/players/v/vyborda01.html
0,22:01,D,4.1,7,169,4,0,25,1,7,18,Deron Quint,3.7,1.9,25,3,26,1651,75,-34,1.8,11,/players/q/quintde01.html
0,17:12,C,10.8,8,120,9,0,28,1,13,11,Tyler Wright,0.6,0.3,24,4,100,1325,77,-40,0.3,3,/players/w/wrighty01.html
0,16:50,LW,9.8,4,112,6,0,29,2,11,5,Geoff Sanderson,1.4,0.4,16,5,12,707,42,-15,1.0,1,/players/s/sandege01.html
0,15:30,C,9.3,8,86,7,0,26,1,8,8,Serge Aubin,0.3,0.8,16,1,32,1100,71,-20,-0.4,0,/players/a/aubinse01.html
0,18:52,D,7.8,6,102,7,0,19,0,8,8,Rostislav Klesla,4.7,3.6,16,1,74,1415,75,-6,1.1,2,/players/k/kleslro01.html
0,22:12,D,2.6,8,76,2,0,33,0,2,14,Lyle Odelein,2.3,1.8,16,0,89,1443,65,-28,0.5,6,/players/o/odelely01.html
0,15:59,C,4.3,7,92,3,1,34,0,4,11,Robert Kron,0.2,0.8,15,1,4,943,59,-14,-0.6,3,/players/k/kronro01.html
0,12:38,C,22.2,3,9,0,0,31,0,2,12,Brett Harkins,1.1,0.3,14,2,8,316,25,-5,0.9,9,/players/h/harkibr01.html
0,10:07,RW,6.8,7,73,5,0,38,0,5,8,Kevin Dineen,0.9,0.6,13,0,62,597,59,-6,0.3,1,/players/d/dineeke01.html
0,19:52,D,5.9,7,68,3,0,27,0,4,7,Mattias Timander,1.7,1.6,11,1,44,1549,78,-34,0.0,0,/players/t/timanma01.html
0,10:56,LW,4.1,7,49,2,0,26,0,2,7,Blake Sloan,-0.4,0.2,9,0,46,656,60,-18,-0.6,0,/players/s/sloanbl01.html
0,15:20,D,3.2,6,62,2,0,24,0,2,6,Jean-Luc Grand-Pierre,1.0,1.3,8,0,90,1243,81,-28,-0.2,0,/players/g/grandje01.html
0,6:32,LW,8.6,2,35,3,0,25,0,3,3,Jody Shelley,0.6,0.5,6,0,206,339,52,1,0.0,1,/players/s/shelljo01.html
0,13:32,D,2.3,4,43,1,0,27,0,1,5,Radim Bicanek,1.0,1.1,6,0,34,812,60,-15,-0.1,1,/players/b/bicanra01.html
0,17:06,D,0.0,5,46,0,1,28,0,0,6,Jamie Pushor,1.7,2.2,6,0,54,1043,61,-10,-0.4,0,/players/p/pushoja01.html
0,10:47,RW,7.1,3,28,2,0,21,1,2,3,Chris Nielsen,0.3,0.2,5,0,4,248,23,-3,0.1,0,/players/n/nielsch01.html
1,23:35,D,6.9,0,29,0,0,27,1,2,3,Jaroslav Spacek,0.6,0.2,5,1,24,330,14,-9,0.4,3,/players/s/spaceja01.html
0,11:26,C,12.0,1,25,3,0,29,0,3,1,Sean Pronger,0.2,0.3,4,0,4,297,26,-4,-0.1,0,/players/p/prongse01.html
0,14:34,RW,5.6,2,18,1,0,24,0,1,2,Matt Davidson,-0.3,-0.1,3,0,10,248,17,-11,-0.3,0,/players/d/davidma01.html
0,14:04,D,2.6,1,38,1,0,30,0,1,2,Jamie Heward,0.4,0.4,3,0,7,394,28,-9,0.0,1,/players/h/hewarja01.html
0,9:49,LW,6.7,1,15,1,0,25,0,1,1,Mathieu Darche,-0.1,0.0,2,0,6,138,14,-5,-0.1,0,/players/d/darchma01.html
0,12:56,C,0.0,2,12,0,0,21,0,0,2,Andrej Nedorost,0.0,0.0,2,0,2,91,7,-3,0.0,0,/players/n/nedoran01.html
0,11:12,LW,16.7,0,6,1,0,24,0,1,0,Martin Spanhel,0.1,0.0,1,0,2,45,4,-2,0.1,0,/players/s/spanhma01.html
0,16:18,D,50.0,0,2,1,0,23,0,1,0,Derrick Walser,0.1,-0.1,1,0,0,33,2,-2,0.2,0,/players/w/walsede01.html
0,8:21,C,0.0,1,2,0,0,24,0,0,1,Blake Bellefeuille,0.1,0.1,1,0,0,17,2,1,0.1,0,/players/b/bellebl01.html
0,55:36,G,,0,0,0,0,24,0,0,1,Marc Denis,6.2,0.0,1,0,2,2335,42,0,0.0,0,/players/d/denisma01.html
0,56:51,G,,0,0,0,0,34,0,0,1,Ron Tugnutt,6.4,0.0,1,0,0,2502,44,0,0.0,0,/players/t/tugnuro01.html
0,11:23,D,0.0,0,2,0,0,26,0,0,0,Jamie Allison,-0.2,-0.1,0,0,28,80,7,-4,-0.1,0,/players/a/allisja01.html
0,39:04,G,,0,0,0,0,29,0,0,0,Jean-Francois Labbe,0.5,0.0,0,0,0,117,3,0,0.0,0,/players/l/labbeje01.html
0,9:47,RW,0.0,0,5,0,0,27,0,0,0,David Ling,-0.1,0.0,0,0,7,49,5,-1,-0.1,0,/players/l/lingda01.html
0,7:39,C,0.0,0,2,0,0,22,0,0,0,Brad Moran,0.0,0.0,0,0,0,23,3,0,-0.1,0,/players/m/moranbr01.html
0,15:08,D,0.0,0,3,0,0,24,0,0,0,Duvie Westcott,-0.1,0.0,0,0,2,61,4,-2,-0.1,0,/players/w/westcdu01.html
