name,age,game_winning_goals,pim,shorthanded_assists,power_play_assists,even_strength_goals,overall_point_share,games_played,shotsPercentage,positions,goals,assists,even_strength_assists,points,plus_minus,average_ice_time,shorthanded_goals,defensive_point_share,offensive_point_share,shots,power_play_goals,total_ice_time
Ryan Johansen,21,5,43,0,13,26,8.6,82,13.9,C,33,30,17,63,3,17:39,0,1.7,6.8,237,7,1447
James Wisniewski,29,1,61,0,25,4,8.3,75,4.2,D,7,44,19,51,0,22:37,0,3.8,4.5,166,3,1697
Brandon Dubinsky,27,2,98,2,6,10,5.3,76,8.5,C,16,34,26,50,5,18:47,2,1.8,3.5,189,4,1427
Cam Atkinson,24,5,18,0,5,16,4.6,79,9.7,RW,21,19,14,40,-4,15:47,1,1.2,3.4,216,4,1247
Artem Anisimov,25,5,20,0,3,17,4.6,81,13.6,C,22,17,14,39,-2,16:36,2,1.4,3.1,162,3,1344
Nick Foligno,26,5,96,0,3,15,4.8,70,16.2,LW,18,21,18,39,5,16:04,0,1.5,3.3,111,3,1124
R.J. Umberger,31,3,26,1,4,9,3.7,74,13.2,LW,18,16,11,34,-3,16:11,1,1.2,2.5,136,8,1197
Mark Letestu,28,1,20,2,6,6,3.2,82,9.8,C,12,22,14,34,1,14:41,1,1.4,1.8,122,5,1205
Jack Johnson,27,0,48,0,14,1,5.7,82,3.4,D,5,28,14,33,-7,24:41,0,3.9,1.8,147,4,2024
Boone Jenner,20,5,45,0,3,12,3.6,72,12.6,C,16,13,10,29,6,14:05,0,1.4,2.3,127,4,1014
Fedor Tyutin,30,0,44,2,8,3,5.4,69,4.6,D,4,22,12,26,6,21:25,0,3.8,1.6,87,1,1477
Matt Calvert,24,1,53,0,2,7,2.2,56,10.0,LW,9,15,13,24,-1,16:06,0,1.0,1.2,90,2,902
Ryan Murray,20,0,10,1,4,1,4.5,66,6.5,D,4,17,12,21,4,19:52,0,3.3,1.2,62,3,1311
Nathan Horton,28,2,24,0,2,3,1.6,36,10.4,RW,5,14,12,19,-3,15:27,0,0.5,1.2,48,2,556
Derek MacKenzie,32,0,47,1,0,7,1.7,71,12.9,C,9,9,8,18,0,11:16,2,0.9,0.8,70,0,800
Blake Comeau,27,0,36,0,0,5,1.0,61,4.7,LW,5,11,11,16,-2,12:04,0,0.7,0.3,107,0,736
David Savard,23,1,28,0,3,4,3.7,70,7.9,D,5,10,7,15,2,17:50,0,2.9,0.7,63,1,1248
Nikita Nikitin,27,1,20,0,0,2,3.8,66,2.1,D,2,13,13,15,9,17:07,0,3.3,0.5,95,0,1130
Marian Gaborik,31,0,6,0,2,6,1.7,22,12.8,RW,6,8,6,14,0,16:25,0,0.4,1.3,47,0,361
Corey Tropp,24,0,37,0,0,2,1.2,44,7.1,RW,2,8,8,10,11,8:37,0,0.9,0.3,28,0,379
Dalton Prout,23,0,37,0,0,2,1.1,49,3.6,D,2,4,4,6,-7,17:12,0,1.3,-0.1,56,0,843
Jack Skille,26,1,6,0,0,4,0.8,16,17.4,RW,4,0,0,4,2,8:40,0,0.2,0.5,23,0,139
Jared Boll,27,0,62,0,0,1,-0.3,28,8.3,RW,1,1,1,2,-6,7:38,0,0.0,-0.3,12,0,214
Sergei Bobrovsky,25,0,2,0,0,0,12.1,58,,G,0,1,1,1,0,56:53,0,0.0,0.0,0,0,3299
Michael Chaput,21,0,2,0,0,0,-0.1,17,0.0,C,0,1,1,1,0,8:54,0,0.2,-0.3,6,0,151
Sean Collins,25,0,0,0,0,0,0.1,6,0.0,C,0,1,1,1,1,8:11,0,0.1,0.0,6,0,49
Matt Frattin,26,0,0,0,0,0,0.1,4,0.0,RW,0,1,1,1,2,12:22,0,0.1,0.0,1,0,49
Curtis McElhinney,30,0,0,0,0,0,3.8,28,,G,0,1,1,1,0,50:50,0,0.0,0.0,0,0,1423
Nick Schultz,31,0,4,0,0,0,0.0,9,0.0,D,0,1,1,1,-2,11:54,0,0.1,0.0,8,0,107
Cody Bass,27,0,5,0,0,0,0.0,1,,C,0,0,0,0,0,2:43,0,0.0,0.0,0,0,3
Ryan Craig,32,0,0,0,0,0,-0.2,6,0.0,C,0,0,0,0,-3,7:01,0,-0.1,-0.1,4,0,42
Tim Erixon,22,0,2,0,0,0,0.2,2,0.0,D,0,0,0,0,2,14:21,0,0.2,0.0,1,0,29
Cody Goloubef,24,0,2,0,0,0,0.0,5,0.0,D,0,0,0,0,0,9:49,0,0.1,-0.1,4,0,49
Mike McKenna,30,0,0,0,0,0,0.5,4,,G,0,0,0,0,0,54:45,0,0.0,0.0,0,0,219
