offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
8.0,Theoren Fleury,22,2,0,9.6,29,282,51,RW,8.9,78,82,19,0.9,4,3,,5,27,27,,197
5.3,Cory Stillman,14,4,-9,15.2,24,178,22,LW,5.8,49,72,6,0.4,1,9,,1,27,15,,40
3.8,Marty McInnis,10,4,1,14.8,27,128,25,LW,4.7,44,75,5,0.9,0,5,,1,19,19,,34
3.4,Andrew Cassels,10,1,-7,12.3,28,138,27,C,4.0,44,81,6,0.6,2,6,,4,17,17,,32
3.6,German Titov,11,1,-1,13.5,32,133,22,C,4.3,40,68,3,0.7,2,6,,1,18,18,,38
2.7,Michael Nylander,13,0,10,11.1,25,117,23,C,3.8,36,65,6,1.1,2,0,,0,13,17,,24
2.1,Jarome Iginla,11,2,-10,8.4,20,154,19,RW,2.5,32,70,5,0.4,1,0,,1,13,13,,29
2.3,Derek Morris,3,1,1,7.5,19,120,20,D,5.4,29,82,7,3.1,1,5,,2,9,11,,88
1.7,Cale Hulse,3,1,1,4.3,24,117,22,D,4.7,27,79,6,3.0,0,1,,0,5,16,,169
0.8,Tommy Albelin,1,0,9,2.3,33,88,17,D,4.0,19,69,3,3.2,2,1,,3,2,11,,32
1.2,James Patrick,5,0,-2,10.5,34,57,11,D,3.2,17,60,3,2.1,1,1,,2,6,6,,26
1.5,Hnat Domenichelli,8,0,4,12.9,21,70,7,LW,2.0,16,31,0,0.5,1,1,,0,9,7,,6
0.3,Jim Dowd,5,1,10,10.3,29,58,8,C,1.2,14,48,1,0.9,0,0,,0,6,7,,12
0.2,Jonas Hoglund,6,0,-9,4.8,25,124,8,LW,0.4,14,50,0,0.2,0,0,,0,6,8,,16
0.2,Sandy McCarthy,7,0,-18,11.8,25,68,5,RW,0.1,13,52,3,-0.1,1,1,,0,8,2,,170
0.9,Joel Bouchard,4,1,0,9.8,24,51,7,D,2.5,12,44,1,1.6,1,0,,1,5,5,,57
0.6,Jamie Allison,3,0,3,11.1,22,27,8,D,2.4,11,43,0,1.8,1,0,,2,3,6,,104
0.9,Valeri Bure,5,0,0,11.1,23,45,4,RW,1.1,9,16,1,0.2,1,0,,0,5,3,,2
-1.1,Ed Ward,4,0,-1,7.7,28,52,5,LW,-0.4,9,64,0,0.7,0,0,,0,4,5,,122
0.4,Zarley Zalapski,0,0,-12,4.3,29,46,7,D,0.8,9,35,3,0.4,1,2,,0,2,4,,41
-1.7,Chris Dingman,2,0,-11,6.4,21,47,3,LW,-1.4,6,70,0,0.3,0,1,,0,3,3,,149
-0.4,Todd Simpson,1,0,-10,2.0,24,51,5,D,0.8,6,53,0,1.2,1,0,,1,1,4,,109
0.5,Jason Wiemer,3,0,-1,25.0,21,16,1,LW,0.6,5,12,0,0.1,2,1,,0,4,1,,28
-0.2,Aaron Gavey,2,0,-5,7.4,23,27,3,C,-0.2,5,26,0,0.1,1,0,,0,2,3,,24
0.0,Dwayne Roloson,0,0,0,,28,0,4,G,4.1,4,39,0,0.0,0,0,,0,0,0,,10
0.1,Erik Andersson,2,0,-4,18.2,26,11,1,C,0.1,3,12,0,0.0,0,0,,0,2,1,,8
0.0,Chris O'Sullivan,0,0,4,0.0,23,12,2,D,0.7,2,12,1,0.8,0,0,,0,0,1,,10
-0.2,Eric Landry,1,0,-2,14.3,23,7,0,C,-0.2,1,12,0,0.1,0,0,,0,1,0,,4
-0.3,Kevin Dahl,0,0,-3,0.0,29,17,1,D,0.2,1,19,0,0.5,0,0,,0,0,1,,6
-0.4,Todd Hlushko,0,0,0,0.0,27,7,1,LW,-0.2,1,13,0,0.1,0,0,,0,0,1,,27
0.0,Ladislav Kohn,0,0,2,0.0,22,2,1,RW,0.1,1,4,0,0.1,0,0,,0,0,1,,0
0.0,Rick Tabaracci,0,0,0,,29,0,1,G,4.9,1,42,0,0.0,0,0,,0,0,0,,14
-0.2,Steve Begin,0,0,0,0.0,19,2,0,C,-0.1,0,5,0,0.1,0,0,,0,0,0,,23
-0.1,Travis Brigley,0,0,0,0.0,20,1,0,LW,-0.1,0,2,0,0.0,0,0,,0,0,0,,2
0.0,Eric Charron,0,0,0,0.0,28,1,0,D,0.0,0,2,0,0.1,0,0,,0,0,0,,4
-0.2,Denis Gauthier,0,0,-5,0.0,21,3,0,D,-0.2,0,10,0,0.0,0,0,,0,0,0,,16
0.0,Tyler Moss,0,0,0,,22,0,0,G,0.8,0,6,0,0.0,0,0,,0,0,0,,0
-0.1,Marty Murray,0,0,1,0.0,22,2,0,C,0.0,0,2,0,0.1,0,0,,0,0,0,,2
-0.9,Mike Peluso,0,0,-6,0.0,32,8,0,LW,-0.9,0,23,0,0.0,0,0,,0,0,0,,113
-0.3,Rocky Thompson,0,0,0,0.0,20,3,0,D,0.2,0,12,0,0.4,0,0,,0,0,0,,61
0.0,Sergei Varlamov,0,0,0,,19,0,0,LW,0.0,0,1,0,0.0,0,0,,0,0,0,,0
