assists,game_winning_goals,goals,age,average_ice_time,offensive_point_share,defensive_point_share,even_strength_goals,total_ice_time,power_play_assists,positions,overall_point_share,even_strength_assists,team,link,shorthanded_assists,pim,power_play_goals,plus_minus,name,shotsPercentage,year,points,shorthanded_goals,games_played,shots
39,3,30,30,23:33,6.6,2.0,20,1413,13,RW,8.5,24,CGY,/players/f/fleurth01.html,2,68,7,18,Theoren Fleury,12.0,1999,69,3,60,250
30,5,27,25,16:19,5.5,1.4,15,1240,10,C,6.9,20,CGY,/players/s/stillco01.html,0,38,9,7,Cory Stillman,15.4,1999,57,3,76,175
43,1,11,34,20:52,5.1,3.8,7,1648,20,D,8.9,23,CGY,/players/h/houslph01.html,0,52,4,14,Phil Housley,5.7,1999,54,0,79,193
27,4,26,24,16:11,4.8,1.2,19,1295,13,RW,6.0,14,CGY,/players/b/bureva01.html,0,22,7,0,Valeri Bure,10.0,1999,53,0,80,260
23,4,28,21,16:30,4.6,1.3,21,1353,9,RW,5.9,14,CGY,/players/i/iginlja01.html,0,58,7,1,Jarome Iginla,13.3,1999,51,0,82,211
25,3,12,29,18:58,1.6,0.7,7,1328,11,C,2.3,11,CGY,/players/c/cassean01.html,3,18,4,-12,Andrew Cassels,12.4,1999,37,1,70,97
27,2,7,20,20:44,2.8,2.7,4,1472,7,D,5.5,20,CGY,/players/m/morride01.html,0,73,3,4,Derek Morris,4.7,1999,34,0,71,150
17,3,12,25,16:47,1.2,1.6,10,1158,0,C,2.8,16,CGY,/players/s/shantje01.html,1,40,1,15,Jeff Shantz,15.6,1999,29,1,69,77
13,1,8,22,13:17,0.3,0.5,7,1036,3,C,0.7,10,CGY,/players/w/wiemeja01.html,0,177,1,-12,Jason Wiemer,6.3,1999,21,0,78,128
8,0,10,22,11:32,0.5,1.2,6,900,0,C,1.8,8,CGY,/players/w/wilmcl01.html,0,53,2,11,Clarke Wilm,10.6,1999,18,2,78,94
14,0,1,35,22:33,0.1,2.8,1,1556,2,D,2.9,12,CGY,/players/s/smithst05.html,0,80,0,3,Steve Smith,2.4,1999,15,0,69,42
9,2,5,24,14:31,0.6,0.5,5,523,3,LW,1.1,6,CGY,/players/n/nazaran01.html,0,30,0,1,Andrei Nazarov,9.4,1999,14,0,36,53
10,0,4,28,14:38,-0.5,0.5,2,893,0,C,0.0,9,CGY,/players/d/dubinst01.html,1,14,0,-7,Steve Dubinsky,5.8,1999,14,2,61,69
9,0,3,25,16:38,0.3,1.4,3,1214,1,D,1.7,8,CGY,/players/h/hulseca01.html,0,117,0,-8,Cale Hulse,3.6,1999,12,0,73,83
5,0,5,22,12:59,0.8,0.1,2,299,1,C,0.9,4,CGY,/players/d/domenhn01.html,0,11,3,-4,Hnat Domenichelli,11.1,1999,10,0,23,45
8,0,2,25,17:19,0.0,3.5,2,1264,0,D,3.4,7,CGY,/players/s/simpsto01.html,1,151,0,18,Todd Simpson,3.8,1999,10,0,73,52
4,0,5,25,18:05,0.5,0.2,4,362,1,LW,0.8,3,CGY,/players/c/corbere01.html,0,10,1,-2,Rene Corbet,11.1,1999,9,0,20,45
5,0,3,29,8:02,-0.3,0.3,3,546,0,RW,0.0,5,CGY,/players/w/warded01.html,0,67,0,-4,Ed Ward,5.4,1999,8,0,68,56
4,0,3,22,12:41,0.3,1.4,3,698,0,D,1.7,3,CGY,/players/g/gauthde01.html,1,68,0,3,Denis Gauthier,7.5,1999,7,0,55,40
3,2,3,23,7:15,0.2,0.2,2,261,0,C,0.4,3,CGY,/players/r/rocheda02.html,0,44,1,-1,Dave Roche,10.0,1999,6,0,36,30
5,0,1,34,19:08,-0.4,1.0,1,1148,0,D,0.6,4,CGY,/players/a/albelto01.html,1,8,0,-11,Tommy Albelin,1.9,1999,6,0,60,54
3,0,2,26,11:10,0.5,0.1,1,101,1,C,0.6,2,CGY,/players/n/nylanmi01.html,0,2,1,1,Michael Nylander,28.6,1999,5,0,9,7
2,0,1,33,12:36,-1.0,0.0,1,517,0,C,-1.0,2,CGY,/players/b/bassebo01.html,0,35,0,-13,Bob Bassen,2.1,1999,3,0,41,47
3,0,0,28,7:26,0.0,0.1,0,134,0,RW,0.1,3,CGY,/players/p/pankegr01.html,0,20,0,0,Greg Pankewicz,0.0,1999,3,0,18,10
1,0,1,28,13:51,0.1,0.0,1,83,0,C,0.1,1,CGY,/players/m/mcinnma01.html,0,6,0,-1,Marty McInnis,14.3,1999,2,0,6,7
1,0,1,23,8:15,0.0,0.0,1,107,1,C,0.0,0,CGY,/players/s/stlouma01.html,0,10,0,-2,Martin St. Louis,7.1,1999,2,0,13,14
2,0,0,26,59:24,0.0,0.0,0,1663,0,G,5.2,0,CGY,/players/b/brathfr01.html,0,2,0,0,Fred Brathwaite,,1999,2,0,28,0
1,0,0,22,10:46,0.0,0.4,0,97,0,D,0.4,1,CGY,/players/b/belakwa01.html,0,23,0,3,Wade Belak,0.0,1999,1,0,9,2
1,0,0,29,13:45,-0.1,-0.2,0,165,0,D,-0.3,1,CGY,/players/c/charrer01.html,0,14,0,-6,Eric Charron,0.0,1999,1,0,12,9
1,0,0,18,7:36,-0.3,0.1,0,152,0,C,-0.2,1,CGY,/players/f/fatari01.html,0,4,0,0,Rico Fata,0.0,1999,1,0,20,13
