offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
7.5,Eric Daze,26,0,17,14.4,26,264,32,LW,9.7,70,82,13,2.2,5,12,1404,0,38,19,17:07,36
4.7,Alex Zhamnov,16,0,8,12.7,31,173,45,C,6.8,67,77,19,2.1,3,6,1718,1,22,25,22:19,67
5.0,Tony Amonte,20,1,11,11.6,31,232,39,RW,7.3,66,82,8,2.3,4,6,1746,0,27,31,21:18,67
4.5,Michael Nylander,9,0,28,9.5,29,158,46,C,7.0,61,82,14,2.5,2,6,1275,0,15,32,15:33,50
4.4,Steve Sullivan,18,0,23,13.5,27,155,39,RW,6.9,60,78,9,2.5,8,3,1495,1,21,29,19:10,67
3.7,Kyle Calder,11,0,8,12.8,23,133,36,LW,5.4,53,81,8,1.7,3,6,1341,0,17,28,16:33,47
3.9,Phil Housley,7,0,-3,6.9,37,218,24,D,7.1,39,80,14,3.2,6,8,1741,0,15,10,21:46,34
0.2,Igor Korolev,8,1,-5,11.5,31,78,20,C,1.4,29,82,3,1.2,1,0,1380,1,9,16,16:49,20
1.4,Mark Bell,11,0,-6,10.0,21,120,16,LW,2.2,28,80,2,0.8,1,1,1012,0,12,14,12:39,124
0.5,Jon Klemm,2,0,-3,3.6,32,111,16,D,4.1,20,82,5,3.6,1,2,1955,0,4,11,23:50,42
0.8,Boris Mironov,4,0,15,3.1,29,129,14,D,4.9,18,64,4,4.1,1,0,1454,0,4,10,22:43,68
1.1,Steve Thomas,8,0,0,16.7,38,66,4,RW,1.7,15,34,0,0.6,0,3,590,0,11,4,17:21,17
0.7,Jaroslav Spacek,3,0,5,4.7,27,64,10,D,3.0,13,60,2,2.4,1,0,985,0,3,8,16:25,29
-0.2,Alexander Karpovtsev,0,1,10,2.5,31,40,9,D,3.3,10,65,0,3.5,0,0,1343,0,1,9,20:40,40
0.1,Steve Poapst,1,0,6,2.1,33,48,7,D,2.2,8,56,0,2.1,0,0,833,0,1,7,14:52,30
0.1,Mike Peluso,4,0,-3,8.9,27,45,2,RW,0.3,6,37,0,0.2,1,0,343,0,4,2,9:17,19
-0.5,Peter White,2,0,-8,14.3,32,21,3,C,-0.2,6,48,1,0.2,1,1,505,0,3,2,10:31,10
0.2,Tyler Arnason,3,0,-3,15.8,22,19,1,C,0.3,4,21,0,0.1,0,0,199,0,3,1,9:28,4
-0.1,Tom Fitzgerald,0,1,-3,4.2,33,24,3,RW,0.0,4,15,0,0.1,0,0,244,0,1,3,16:16,6
-0.6,Bob Probert,1,0,-9,3.0,36,33,3,LW,-0.6,4,61,0,0.1,1,0,411,0,1,3,6:44,176
-0.5,Ryan VandenBussche,1,0,-10,4.5,28,22,2,RW,-0.5,3,50,0,-0.1,0,0,316,0,1,2,6:19,103
-0.3,Chris McAlpine,0,0,8,0.0,30,40,3,D,1.6,3,40,0,1.9,0,0,614,0,0,3,15:22,36
0.0,Jim Campbell,1,0,-3,8.3,28,12,1,RW,0.0,2,9,1,0.0,0,0,120,0,1,0,13:21,4
0.0,Vladimir Chebaturkin,0,0,0,0.0,26,8,2,D,0.4,2,13,0,0.3,0,0,165,0,0,2,12:42,6
-0.1,Lyle Odelein,0,0,0,0.0,33,10,2,D,0.5,2,12,0,0.6,0,0,293,0,0,2,24:23,4
0.0,Joe Reekie,0,0,2,0.0,36,7,2,D,0.6,2,17,0,0.6,0,0,238,0,0,2,14:00,28
-0.3,Pascal Rheaume,0,0,-1,0.0,28,19,2,C,-0.1,2,19,0,0.1,0,0,178,0,0,2,9:22,4
-0.3,Aaron Downey,1,0,-2,10.0,27,10,0,RW,-0.2,1,36,0,0.1,1,0,184,0,1,0,5:06,76
0.1,Steve Dubinsky,1,0,1,16.7,31,6,0,LW,0.2,1,3,0,0.1,1,0,35,0,1,0,11:50,4
0.0,Matt Henderson,0,0,-1,0.0,27,3,1,RW,0.0,1,4,0,0.0,0,0,29,0,0,1,7:08,0
0.0,Steve Passmore,0,0,0,,29,0,1,G,2.5,1,23,0,0.0,0,0,1142,0,0,0,49:40,2
-0.1,Casey Hankinson,0,0,-2,0.0,25,1,0,LW,-0.1,0,3,0,-0.1,0,0,26,0,0,0,8:38,0
0.0,Steve McCarthy,0,0,-1,0.0,20,2,0,D,0.0,0,3,0,0.0,0,0,35,0,0,0,11:48,2
0.0,Jocelyn Thibault,0,0,0,,27,0,0,G,9.0,0,67,0,0.0,0,0,3838,0,0,0,57:17,2
