shorthanded_goals,average_ice_time,positions,shotsPercentage,even_strength_assists,shots,even_strength_goals,shorthanded_assists,age,game_winning_goals,goals,assists,name,overall_point_share,defensive_point_share,points,power_play_goals,pim,total_ice_time,games_played,plus_minus,offensive_point_share,power_play_assists,link
2,18:23,LW,14.2,26,183,18,0,27,6,26,33,Kyle Calder,5.6,1.5,59,6,52,1452,79,-4,4.2,7,/players/c/caldeky01.html
1,17:37,LW,11.0,13,227,13,0,25,1,25,23,Mark Bell,4.1,1.1,48,11,107,1444,82,-14,3.0,10,/players/b/bellma01.html
0,14:58,C,8.1,19,161,8,0,26,1,13,28,Tyler Arnason,3.9,1.2,41,5,40,898,60,5,2.7,9,/players/a/arnasty01.html
0,15:20,RW,8.9,13,180,12,0,24,2,16,18,Rene Bourque,2.9,1.4,34,4,56,1181,77,3,1.5,5,/players/b/bourqre01.html
0,15:43,RW,8.8,10,147,8,1,24,0,13,21,Radim Vrbata,3.5,0.9,34,5,16,707,45,4,2.6,10,/players/v/vrbatra01.html
0,20:02,D,4.4,12,114,4,0,20,2,5,27,Brent Seabrook,5.5,3.4,32,1,60,1382,69,5,2.0,15,/players/s/seabrbr01.html
0,14:46,RW,10.4,13,135,8,0,32,3,14,17,Martin Lapointe,1.1,0.2,31,6,106,1211,82,-30,0.9,4,/players/l/lapoima01.html
0,13:26,LW,9.4,19,85,8,1,32,1,8,20,Matthew Barnaby,1.2,0.8,28,0,178,1101,82,-11,0.3,0,/players/b/barnama01.html
0,23:00,D,8.8,6,80,6,0,31,0,7,17,Jaroslav Spacek,4.7,2.9,24,1,72,1035,45,8,1.8,11,/players/s/spaceja01.html
0,21:47,D,6.5,18,93,4,0,25,1,6,18,Jim Vandermeer,4.5,3.5,24,2,116,1655,76,-2,1.0,0,/players/v/vandeji01.html
1,16:19,C,8.1,10,111,8,0,24,2,9,14,Patrick Sharp,1.7,0.9,23,0,36,816,50,1,0.8,4,/players/s/sharppa01.html
1,23:26,D,6.7,11,134,7,0,22,0,9,12,Duncan Keith,4.1,3.4,21,1,79,1898,81,-11,0.7,1,/players/k/keithdu01.html
0,14:18,RW,10.3,5,87,7,1,23,0,9,12,Pavel Vorobiev,1.9,0.5,21,2,34,558,39,-2,1.3,6,/players/v/vorobpa01.html
0,13:32,C,9.4,8,106,8,1,26,1,10,10,Michael Holmqvist,0.7,0.6,20,2,16,975,72,-14,0.1,1,/players/h/holmqmi01.html
0,13:15,C,15.6,8,45,7,0,27,0,7,9,Mark Cullen,1.8,0.7,16,0,2,384,29,7,1.2,1,/players/c/cullema02.html
1,13:39,C,6.0,6,84,4,1,29,0,5,10,Curtis Brown,-0.1,0.7,15,0,38,969,71,-9,-0.9,3,/players/b/browncu01.html
0,12:43,C,5.5,12,55,3,0,37,0,3,12,Jim Dowd,0.2,0.7,15,0,38,763,60,-5,-0.5,0,/players/d/dowdji01.html
0,14:45,RW,6.4,5,47,2,0,22,0,3,9,Matt Ellison,0.6,0.3,12,1,17,383,26,-4,0.4,4,/players/e/ellisma02.html
0,10:05,C,10.0,4,50,5,0,24,1,5,4,Andy Hilbert,0.7,0.2,9,0,22,282,28,-4,0.6,0,/players/h/hilbean01.html
0,15:52,D,8.0,4,25,2,0,21,0,2,5,James Wisniewski,1.2,0.7,7,0,36,302,19,0,0.5,1,/players/w/wisnija01.html
0,8:50,RW,2.9,6,35,1,0,24,0,1,6,Milan Bartovic,0.4,0.2,7,0,8,212,24,0,0.2,0,/players/b/bartomi01.html
0,16:58,D,4.3,5,23,0,0,33,1,1,6,Jassen Cullimore,-0.1,0.2,7,1,53,916,54,-24,-0.3,1,/players/c/cullija01.html
0,22:58,D,1.7,1,59,0,0,32,0,1,5,Adrian Aucoin,0.5,0.7,6,1,38,758,33,-13,-0.2,4,/players/a/aucoiad01.html
0,17:19,D,6.7,2,45,3,0,20,1,3,2,Dustin Byfuglien,0.8,0.5,5,0,24,433,25,-6,0.3,0,/players/b/byfugdu01.html
0,16:38,D,8.3,1,24,1,0,21,0,2,3,Anton Babchuk,0.6,0.2,5,1,16,283,17,-5,0.4,2,/players/b/babchan01.html
0,14:43,C,6.7,3,30,1,0,22,0,2,3,Tuomo Ruutu,0.0,0.0,5,1,31,221,15,-7,0.0,0,/players/r/ruututu01.html
0,8:53,RW,8.7,2,23,2,0,23,0,2,2,Brandon Bochenski,-0.1,-0.1,4,0,8,178,20,-9,0.1,0,/players/b/bochebr01.html
0,12:00,C,9.1,2,11,1,0,23,1,1,2,Mikhail Yakubov,0.2,0.1,3,0,8,120,10,0,0.0,0,/players/y/yakubmi01.html
0,13:05,D,0.0,3,25,0,0,32,0,0,3,Todd Simpson,0.7,1.1,3,0,116,589,45,-2,-0.4,0,/players/s/simpsto01.html
0,10:06,C,16.7,1,6,1,0,29,0,1,1,Jason Morgan,0.2,0.1,2,0,6,71,7,1,0.1,0,/players/m/morgaja01.html
0,53:34,G,,0,0,0,0,24,0,0,1,Craig Anderson,3.4,0.0,1,0,14,1553,29,0,0.0,0,/players/a/andercr01.html
0,14:38,D,0.0,1,19,0,0,21,0,0,1,Michal Barinka,-0.1,0.3,1,0,20,366,25,-7,-0.3,0,/players/b/barinmi01.html
0,5:52,LW,0.0,1,1,0,0,26,0,0,1,Mike Brown,0.1,0.0,1,0,9,12,2,0,0.1,0,/players/b/brownmi01.html
0,56:17,G,,0,0,0,0,33,0,0,1,Nikolai Khabibulin,6.2,0.0,1,0,10,2815,50,0,0.0,0,/players/k/khabini01.html
0,50:04,G,,0,0,0,0,23,0,0,1,Adam Munro,1.2,0.0,1,0,0,501,10,0,0.0,0,/players/m/munroad01.html
0,11:02,D,0.0,0,1,0,0,19,0,0,0,Cam Barker,0.0,0.0,0,0,0,11,1,0,0.0,0,/players/b/barkeca01.html
0,43:14,G,,0,0,0,0,21,0,0,0,Corey Crawford,0.1,0.0,0,0,0,86,2,0,0.0,0,/players/c/crawfco01.html
0,11:56,LW,,0,0,0,0,30,0,0,0,Eric Daze,-0.1,-0.1,0,0,2,12,1,-2,0.0,0,/players/d/dazeer01.html
0,11:42,RW,0.0,0,6,0,0,22,0,0,0,Matt Keith,0.0,0.0,0,0,0,23,2,0,-0.1,0,/players/k/keithma01.html
0,13:36,D,0.0,0,6,0,0,21,0,0,0,Danny Richmond,-0.1,0.1,0,0,18,136,10,-3,-0.2,0,/players/r/richmda01.html
0,12:02,C,0.0,0,1,0,0,22,0,0,0,Martin St. Pierre,-0.1,0.0,0,0,0,24,2,-1,-0.1,0,/players/s/stpiema01.html
0,7:18,D,0.0,0,16,0,0,28,0,0,0,Shawn Thornton,-0.3,-0.2,0,0,16,73,10,-5,-0.1,0,/players/t/thornsh01.html
