assists,game_winning_goals,goals,age,average_ice_time,offensive_point_share,defensive_point_share,even_strength_goals,total_ice_time,power_play_assists,positions,overall_point_share,even_strength_assists,team,link,shorthanded_assists,pim,power_play_goals,plus_minus,name,shotsPercentage,year,points,shorthanded_goals,games_played,shots
58,6,30,21,19:12,8.1,2.2,21,1574,20,RW,10.3,37,CHI,/players/k/kanepa01.html,1,20,9,16,Patrick Kane,11.5,2010,88,0,82,261
55,1,14,26,26:36,6.3,6.2,10,2181,13,D,12.6,38,CHI,/players/k/keithdu01.html,4,51,3,21,Duncan Keith,6.6,2010,69,1,82,213
43,3,25,21,20:00,5.6,2.4,15,1520,13,C,8.0,27,CHI,/players/t/toewsjo01.html,3,47,9,22,Jonathan Toews,12.4,2010,68,1,76,202
41,4,25,28,18:07,5.5,2.4,19,1486,12,C,7.9,28,CHI,/players/s/sharppa01.html,1,28,4,24,Patrick Sharp,9.4,2010,66,2,82,266
27,2,24,31,18:44,5.0,2.0,17,1067,5,RW,7.0,21,CHI,/players/h/hossama01.html,1,18,2,24,Marian Hossa,12.1,2010,51,5,57,199
24,4,20,23,15:44,3.3,1.5,13,1242,7,RW,4.8,16,CHI,/players/v/verstkr01.html,1,35,4,8,Kris Versteeg,10.9,2010,44,3,79,184
18,7,22,24,16:22,3.0,1.6,14,1277,6,RW,4.6,12,CHI,/players/b/brouwtr01.html,0,66,7,9,Troy Brouwer,19.0,2010,40,1,78,116
21,1,17,24,13:42,2.7,1.2,17,1123,1,LW,3.8,20,CHI,/players/l/laddan01.html,0,67,0,2,Andrew Ladd,11.5,2010,38,0,82,148
31,2,7,30,23:13,3.0,4.7,4,1579,8,D,7.7,22,CHI,/players/c/campbbr02.html,1,18,3,18,Brian Campbell,5.3,2010,38,0,68,131
17,3,17,24,16:25,3.9,2.2,11,1346,5,D,6.1,12,CHI,/players/b/byfugdu01.html,0,94,6,-7,Dustin Byfuglien,8.1,2010,34,0,82,211
26,2,4,24,23:13,1.5,5.4,4,1811,6,D,6.9,18,CHI,/players/s/seabrbr01.html,2,59,0,20,Brent Seabrook,3.1,2010,30,0,78,129
13,0,10,36,15:25,0.0,1.1,10,1217,0,C,1.1,12,CHI,/players/m/maddejo01.html,1,12,0,-2,John Madden,7.9,2010,23,0,79,127
11,2,10,27,9:29,1.3,0.7,9,701,1,RW,2.0,10,CHI,/players/k/kopecto01.html,0,28,1,0,Tomas Kopecky,10.5,2010,21,0,74,95
12,0,7,25,9:36,0.9,0.9,7,672,0,C,1.8,12,CHI,/players/f/fraseco01.html,0,44,0,6,Colin Fraser,7.6,2010,19,0,70,92
15,1,2,22,19:40,0.2,3.9,2,1514,0,D,4.1,14,CHI,/players/h/hjalmni01.html,1,20,0,9,Niklas Hjalmarsson,3.2,2010,17,0,77,62
9,2,7,26,8:20,1.0,0.9,7,500,0,LW,1.9,9,CHI,/players/e/eagerbe01.html,0,120,0,9,Ben Eager,10.3,2010,16,0,60,68
10,0,6,23,17:22,0.4,0.9,5,677,1,C,1.3,9,CHI,/players/b/bollada01.html,0,28,1,5,Dave Bolland,11.5,2010,16,0,39,52
10,1,4,23,13:06,1.1,2.0,1,668,3,D,3.1,7,CHI,/players/b/barkeca01.html,0,58,3,7,Cam Barker,5.4,2010,14,0,51,74
6,1,2,25,11:51,0.5,1.5,2,510,0,D,1.9,6,CHI,/players/h/hendrjo02.html,0,10,0,5,Jordan Hendry,4.8,2010,8,0,43,42
7,0,1,33,14:52,-0.3,2.5,1,1085,0,D,2.2,7,CHI,/players/s/sopelbr01.html,0,34,0,3,Brent Sopel,2.1,2010,8,0,73,48
1,1,3,23,9:36,0.3,0.3,3,154,0,LW,0.6,1,CHI,/players/b/bickebr01.html,0,5,0,4,Bryan Bickell,15.0,2010,4,0,16,20
3,0,1,27,8:46,0.2,0.2,1,114,0,C,0.4,3,CHI,/players/b/burisad01.html,0,14,0,2,Adam Burish,11.1,2010,4,0,13,9
2,0,1,33,16:24,0.3,0.9,1,131,0,D,1.1,2,CHI,/players/j/johnski01.html,0,4,0,7,Kim Johnsson,10.0,2010,3,0,8,10
1,0,1,24,6:56,0.3,0.1,1,21,0,C,0.3,1,CHI,/players/d/dowelja01.html,0,5,0,1,Jake Dowell,25.0,2010,2,0,3,4
1,0,1,22,7:40,0.2,-0.1,1,46,0,RW,0.1,1,CHI,/players/s/skillja01.html,0,0,0,-3,Jack Skille,11.1,2010,2,0,6,9
0,0,1,27,10:43,-0.1,0.1,1,107,0,C,0.1,0,CHI,/players/e/ebbetan01.html,0,2,0,1,Andrew Ebbett,7.1,2010,1,0,10,14
1,0,0,31,15:56,0.0,0.6,0,112,0,D,0.5,1,CHI,/players/b/boyntni01.html,0,12,0,4,Nick Boynton,0.0,2010,1,0,7,11
1,0,0,26,56:10,0.0,0.0,0,2190,0,G,5.7,0,CHI,/players/n/niemian02.html,0,0,0,0,Antti Niemi,,2010,1,0,39,0
0,0,0,25,59:13,0.0,0.0,0,59,0,G,0.2,0,CHI,/players/c/crawfco01.html,0,0,0,0,Corey Crawford,,2010,0,0,1,0
0,0,0,34,56:54,0.0,0.0,0,2731,0,G,4.4,0,CHI,/players/h/huetcr01.html,0,4,0,0,Cristobal Huet,,2010,0,0,48,0
0,0,0,23,4:41,0.0,0.0,0,5,0,LW,0.0,0,CHI,/players/s/smolera01.html,0,5,0,0,Radek Smolenak,0.0,2010,0,0,1,1
