offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
6.1,Paul Stastny,21,0,22,17.4,22,138,47,C,8.5,71,66,18,2.4,4,3,1391,1,24,28,21:05,24
4.7,Andrew Brunette,12,0,5,15.2,34,125,40,LW,6.2,59,82,9,1.6,2,7,1275,0,19,31,15:33,14
4.6,Milan Hejduk,20,1,8,14.1,31,205,25,RW,6.5,54,77,7,1.9,4,8,1490,0,29,18,19:21,36
3.5,Wojtek Wolski,14,0,10,11.4,21,158,30,LW,5.2,48,77,1,1.7,6,4,1227,0,18,29,15:56,14
3.1,Joe Sakic,8,0,-4,10.5,38,124,27,C,3.9,40,44,14,0.8,1,5,879,0,13,13,19:59,20
4.3,Marek Svatos,23,0,13,18.6,25,140,11,RW,5.7,37,62,3,1.4,6,3,847,0,26,8,13:39,32
2.3,Ryan Smyth,12,0,-4,8.3,31,168,23,LW,3.3,37,55,6,1.0,3,2,1079,0,14,17,19:37,50
2.2,John-Michael Liles,1,0,2,3.7,27,163,26,D,5.7,32,81,15,3.5,1,5,1593,0,6,11,19:40,26
1.3,Tyler Arnason,7,0,-1,5.6,28,179,21,C,2.4,31,70,7,1.1,1,3,1068,0,10,14,15:16,16
1.3,Jaroslav Hlinka,8,0,6,8.9,31,90,20,LW,2.5,28,63,1,1.2,1,0,877,0,8,19,13:56,16
0.5,Ben Guite,11,0,1,10.7,29,103,11,RW,1.7,22,79,1,1.1,2,0,1033,1,11,9,13:05,47
1.3,Brett Clark,4,0,5,5.7,31,87,16,D,4.4,21,57,5,3.2,0,1,1320,0,5,11,23:09,33
0.3,Scott Hannan,2,0,-5,2.5,29,79,19,D,3.8,21,82,1,3.5,0,0,1860,1,2,17,22:41,55
1.2,Jeff Finger,6,1,12,8.6,28,93,11,D,5.2,19,72,1,4.0,1,1,1437,0,8,10,19:57,40
-0.3,Ian Laperriere,4,0,-5,5.9,34,68,15,RW,0.5,19,70,0,0.8,1,0,956,0,4,15,13:39,140
1.1,Peter Forsberg,1,0,7,6.7,34,15,13,C,1.6,14,9,4,0.5,0,0,173,0,1,9,19:15,8
1.1,Jordan Leopold,3,0,5,14.3,27,35,8,D,3.0,13,43,0,1.8,1,2,687,0,5,8,15:59,20
0.7,T.J. Hensick,2,0,-4,11.5,22,52,5,C,1.0,11,31,2,0.2,1,4,372,0,6,3,11:59,2
0.0,Cody McLeod,4,0,-6,6.7,23,60,5,LW,0.2,9,49,0,0.3,0,0,496,0,4,5,10:07,120
0.7,Ruslan Salei,3,0,1,10.0,33,30,4,D,1.5,7,17,0,0.8,1,0,328,0,3,4,19:17,23
0.0,David Jones,1,0,-5,5.4,23,37,4,RW,0.1,6,27,1,0.1,0,1,307,0,2,3,11:22,8
-0.4,Kurt Sauer,1,0,17,3.6,27,28,5,D,3.1,6,54,0,3.5,0,0,1009,0,1,5,18:41,41
-0.1,Brad Richardson,2,0,-3,6.3,22,32,3,RW,0.1,5,22,0,0.2,0,0,297,0,2,3,13:29,8
0.0,Kyle Cumiskey,0,0,-3,0.0,21,19,5,D,0.7,5,38,0,0.7,0,0,461,0,0,5,12:08,16
-0.6,Cody McCormick,2,0,5,4.4,24,45,2,C,0.0,4,40,0,0.7,1,0,439,0,2,2,10:58,50
-0.4,Karlis Skrastins,1,0,-2,2.9,33,34,3,D,1.1,4,43,0,1.4,0,0,776,0,1,3,18:02,20
-0.5,Wyatt Smith,0,0,-4,0.0,30,25,3,C,-0.4,3,25,0,0.1,0,0,291,1,0,2,11:38,8
0.0,Jose Theodore,0,0,0,,31,0,2,G,8.6,2,53,0,0.0,0,0,3028,0,0,0,57:08,2
0.0,Peter Budaj,0,0,0,,25,0,1,G,4.7,1,35,0,0.0,0,0,1912,0,0,0,54:37,2
-0.2,Adam Foote,0,0,-1,0.0,36,9,1,D,0.2,1,12,0,0.4,0,0,240,0,0,1,20:01,12
0.0,Johnny Boychuk,0,0,1,0.0,24,3,0,D,0.1,0,4,0,0.2,0,0,36,0,0,0,8:57,0
-0.3,Scott Parker,0,0,0,0.0,30,5,0,RW,-0.2,0,25,0,0.1,0,0,92,0,0,0,3:42,70
0.0,Tyler Weiman,0,0,0,,23,0,0,G,0.2,0,1,0,0.0,0,0,16,0,0,0,15:46,0
