shorthanded_goals,average_ice_time,positions,shotsPercentage,even_strength_assists,shots,even_strength_goals,shorthanded_assists,age,game_winning_goals,goals,assists,name,overall_point_share,defensive_point_share,points,power_play_goals,pim,total_ice_time,games_played,plus_minus,offensive_point_share,power_play_assists,link
0,18:30,C,10.6,35,217,18,0,23,6,23,47,Matt Duchene,8.1,1.5,70,5,19,1313,71,8,6.6,12,/players/d/duchema01.html
0,18:41,LW,11.7,34,222,21,0,21,4,26,39,Gabriel Landeskog,8.1,2.2,65,5,71,1513,81,21,5.9,5,/players/l/landega01.html
0,19:49,C,13.9,23,201,19,0,22,6,28,36,Ryan O'Reilly,7.1,1.3,64,9,2,1586,80,-1,5.8,13,/players/o/oreilry01.html
0,17:21,C,10.0,30,241,16,0,18,5,24,39,Nathan MacKinnon,7.7,2.1,63,8,26,1422,82,20,5.7,9,/players/m/mackina01.html
0,18:24,C,16.7,23,150,21,1,28,4,25,35,Paul Stastny,7.3,1.5,60,4,22,1306,71,9,5.8,11,/players/s/stastpa01.html
0,23:00,D,5.7,18,157,7,0,25,2,9,30,Erik Johnson,6.5,3.5,39,2,61,1841,80,5,3.0,12,/players/j/johnser01.html
0,15:47,LW,11.4,15,167,14,0,25,3,19,19,Jamie McGinn,3.8,0.9,38,5,30,1247,79,-3,2.8,4,/players/m/mcginja01.html
0,18:33,D,12.9,19,101,9,0,22,5,13,25,Tyson Barrie,7.6,3.4,38,4,20,1187,64,17,4.2,6,/players/b/barrity01.html
0,16:57,RW,12.7,17,110,13,0,30,1,14,19,P.A. Parenteau,3.5,0.9,33,1,30,932,55,3,2.6,2,/players/p/parenpi01.html
0,16:16,C,10.3,20,107,8,1,29,2,11,21,John Mitchell,2.9,1.6,32,3,36,1220,75,13,1.3,0,/players/m/mitchjo01.html
0,20:13,D,6.2,13,113,6,1,30,2,7,21,Andre Benoit,4.7,2.8,28,1,26,1597,79,2,1.9,7,/players/b/benoian01.html
0,18:41,D,15.2,9,66,8,1,26,2,10,15,Nick Holden,5.3,2.7,25,2,22,1009,54,12,2.6,5,/players/h/holdeni01.html
1,16:19,C,6.4,17,110,6,0,29,1,7,18,Maxime Talbot,1.5,1.2,25,0,43,1142,70,4,0.3,1,/players/t/talboma01.html
0,22:20,D,8.0,11,75,6,0,35,0,6,11,Jan Hejda,4.0,3.6,17,0,40,1741,78,8,0.4,0,/players/h/hejdaja01.html
1,10:20,LW,6.6,8,76,4,0,29,0,5,8,Cody McLeod,0.6,0.7,13,0,122,733,71,2,-0.1,0,/players/m/mcleoco01.html
0,6:53,LW,16.2,5,37,6,0,27,1,6,5,Patrick Bordeleau,0.7,0.4,11,0,115,565,82,-1,0.3,0,/players/b/bordepa02.html
1,17:17,LW,16.7,5,24,3,0,34,2,4,7,Alex Tanguay,1.4,0.5,11,0,4,276,16,7,0.9,2,/players/t/tangual01.html
0,17:05,D,2.1,9,48,1,0,35,0,1,9,Cory Sarich,2.2,2.1,10,0,38,923,54,7,0.1,0,/players/s/saricco01.html
0,17:17,D,1.9,8,52,1,0,31,0,1,8,Nate Guenin,1.9,2.2,9,0,46,1175,68,3,-0.4,0,/players/g/guenina01.html
0,10:34,C,1.4,5,69,1,1,26,0,1,6,Marc-Andre Cliche,-1.2,0.2,7,0,17,803,76,-11,-1.4,0,/players/c/clichma01.html
0,16:43,RW,3.8,5,26,0,0,26,1,1,6,Steve Downie,0.7,0.3,7,1,36,184,11,4,0.4,1,/players/d/downist01.html
0,14:40,D,0.0,6,23,0,0,26,0,0,6,Ryan Wilson,0.9,0.8,6,0,12,411,28,1,0.2,0,/players/w/wilsory01.html
0,6:46,C,18.8,2,16,3,0,24,0,3,2,Brad Malone,0.3,0.0,5,0,23,217,32,-4,0.3,0,/players/m/malonbr01.html
0,57:46,G,,1,0,0,0,25,0,0,3,Semyon Varlamov,15.5,0.0,3,0,2,3640,63,0,0.0,2,/players/v/varlasi01.html
0,16:51,D,100.0,0,1,1,0,23,0,1,0,Stefan Elliott,0.2,0.0,1,0,0,17,1,0,0.2,0,/players/e/elliost01.html
0,40:00,G,,0,0,0,0,21,0,0,0,Sami Aittokallio,-0.1,0.0,0,0,0,40,1,0,0.0,0,/players/a/aittosa01.html
0,35:56,G,,0,0,0,0,27,0,0,0,Reto Berra,-0.3,0.0,0,0,0,72,2,0,0.0,0,/players/b/berrare01.html
0,6:26,C,0.0,0,6,0,0,25,0,0,0,Paul Carey,-0.1,0.2,0,0,0,77,12,2,-0.2,0,/players/c/careypa01.html
0,55:05,G,,0,0,0,0,36,0,0,0,Jean-Sebastien Giguere,3.6,0.0,0,0,4,1212,22,0,0.0,0,/players/g/gigueje01.html
0,17:27,D,0.0,0,1,0,0,28,0,0,0,Matt Hunwick,0.0,0.0,0,0,0,17,1,0,0.0,0,/players/h/hunwima01.html
0,6:31,D,0.0,0,1,0,0,26,0,0,0,Karl Stollery,0.1,0.1,0,0,2,13,2,1,0.0,0,/players/s/stollka01.html
0,5:41,LW,0.0,0,3,0,0,30,0,0,0,David Van Der Gulik,0.0,0.0,0,0,0,11,2,0,0.0,0,/players/v/vandeda01.html
