points,coaches,leage,code,season,wins,loses,overtime_loses,team_name,points_percentage,playoff_result,ties,games_played,finishing_position
0,"[{'link': '/coaches/bednaja99c.html', 'name': 'J. Bednar'}]",NHL,COL,2017-18,0,0,0,Colorado Avalanche,0,,0,0,
48,"[{'link': '/coaches/bednaja99c.html', 'name': 'J. Bednar'}]",NHL,COL,2016-17,22,56,4,Colorado Avalanche,.293,,0,82,7th
82,"[{'link': '/coaches/roypa01c.html', 'name': 'P. Roy'}]",NHL,COL,2015-16,39,39,4,Colorado Avalanche,.500,,0,82,6th
90,"[{'link': '/coaches/roypa01c.html', 'name': 'P. Roy'}]",NHL,COL,2014-15,39,31,12,Colorado Avalanche,.549,,0,82,7th
112,"[{'link': '/coaches/roypa01c.html', 'name': 'P. Roy'}]",NHL,COL,2013-14,52,22,8,Colorado Avalanche,.683,Lost NHL First Round,0,82,1st
39,"[{'link': '/coaches/saccojo01c.html', 'name': 'J. Sacco'}]",NHL,COL,2012-13,16,25,7,Colorado Avalanche,.406,,0,48,5th
88,"[{'link': '/coaches/saccojo01c.html', 'name': 'J. Sacco'}]",NHL,COL,2011-12,41,35,6,Colorado Avalanche,.537,,0,82,3rd
68,"[{'link': '/coaches/saccojo01c.html', 'name': 'J. Sacco'}]",NHL,COL,2010-11,30,44,8,Colorado Avalanche,.415,,0,82,4th
95,"[{'link': '/coaches/saccojo01c.html', 'name': 'J. Sacco'}]",NHL,COL,2009-10,43,30,9,Colorado Avalanche,.579,Lost NHL Conference Quarter-Finals,0,82,2nd
69,"[{'link': '/coaches/granato01c.html', 'name': 'T. Granato'}]",NHL,COL,2008-09,32,45,5,Colorado Avalanche,.421,,0,82,5th
95,"[{'link': '/coaches/quennjo01c.html', 'name': 'J. Quenneville'}]",NHL,COL,2007-08,44,31,7,Colorado Avalanche,.579,Lost NHL Conference Semi-Finals,0,82,2nd
95,"[{'link': '/coaches/quennjo01c.html', 'name': 'J. Quenneville'}]",NHL,COL,2006-07,44,31,7,Colorado Avalanche,.579,,0,82,4th
95,"[{'link': '/coaches/quennjo01c.html', 'name': 'J. Quenneville'}]",NHL,COL,2005-06,43,30,9,Colorado Avalanche,.579,Lost NHL Conference Semi-Finals,0,82,2nd
100,"[{'link': '/coaches/granato01c.html', 'name': 'T. Granato'}]",NHL,COL,2003-04,40,22,7,Colorado Avalanche,.610,Lost NHL Conference Semi-Finals,13,82,2nd
105,"[{'link': '/coaches/hartlbo99c.html', 'name': 'B. Hartley'}, {'link': '/coaches/granato01c.html', 'name': 'T. Granato'}]",NHL,COL,2002-03,42,19,8,Colorado Avalanche,.640,Lost NHL Conference Quarter-Finals,13,82,1st
99,"[{'link': '/coaches/hartlbo99c.html', 'name': 'B. Hartley'}]",NHL,COL,2001-02,45,28,1,Colorado Avalanche,.604,Lost NHL Conference Finals,8,82,1st
