assists,game_winning_goals,goals,age,average_ice_time,offensive_point_share,defensive_point_share,even_strength_goals,total_ice_time,power_play_assists,positions,overall_point_share,even_strength_assists,team,link,shorthanded_assists,pim,power_play_goals,plus_minus,name,shotsPercentage,year,points,shorthanded_goals,games_played,shots
48,9,35,26,,7.8,2.4,21,,8,C,10.2,38,DAL,/players/m/modanmi01.html,2,42,9,43,Mike Modano,12.0,1997,83,5,80,291
36,4,17,32,,3.3,1.0,12,,9,RW,4.3,27,DAL,/players/v/verbepa01.html,0,128,5,3,Pat Verbeek,9.9,1997,53,0,81,172
21,2,30,30,,4.9,0.6,22,,10,C,5.5,11,DAL,/players/n/nieuwjo01.html,0,32,8,-5,Joe Nieuwendyk,17.3,1997,51,0,66,173
40,2,8,24,,3.6,6.8,6,,21,D,10.3,19,DAL,/players/s/sydorda01.html,0,51,2,37,Darryl Sydor,5.6,1997,48,0,82,142
24,5,19,30,,2.9,1.1,14,,6,LW,4.0,18,DAL,/players/h/hoguebe01.html,0,54,5,8,Benoit Hogue,14.5,1997,43,0,73,131
27,2,16,23,,3.0,1.6,12,,3,RW,4.6,21,DAL,/players/l/lehtije01.html,3,2,3,26,Jere Lehtinen,11.9,1997,43,1,63,134
30,3,13,26,,3.6,5.3,12,,9,D,9.0,19,DAL,/players/z/zubovse01.html,2,24,1,19,Sergei Zubov,9.8,1997,43,0,78,133
20,4,19,32,,2.2,1.3,17,,1,LW,3.5,17,DAL,/players/r/reidda02.html,2,10,1,12,Dave Reid,14.1,1997,39,1,82,135
26,3,13,21,,1.9,0.8,10,,6,C,2.6,20,DAL,/players/l/langeja01.html,0,51,3,-2,Jamie Langenbrunner,11.6,1997,39,0,76,112
15,4,21,33,,3.3,1.5,16,,6,LW,4.8,9,DAL,/players/a/adamsgr02.html,0,2,5,27,Greg Adams,18.6,1997,36,0,50,113
22,2,9,21,,0.9,1.5,8,,1,RW,2.4,21,DAL,/players/h/harveto01.html,0,142,1,19,Todd Harvey,9.1,1997,31,0,71,99
20,2,10,29,,1.1,1.0,8,,3,LW,2.1,17,DAL,/players/g/gilchbr01.html,0,24,2,6,Brent Gilchrist,8.6,1997,30,0,67,116
19,0,3,24,,1.1,3.8,3,,1,D,4.8,17,DAL,/players/h/hatchde01.html,1,97,0,8,Derian Hatcher,3.1,1997,22,0,63,96
16,0,5,36,,-0.4,1.1,4,,0,C,0.7,16,DAL,/players/c/carbogu01.html,0,36,0,9,Guy Carbonneau,5.1,1997,21,1,73,99
15,0,1,35,,0.3,5.6,1,,4,D,5.8,11,DAL,/players/l/ledyagr01.html,0,61,0,31,Grant Ledyard,1.0,1997,16,0,67,99
7,2,8,37,,1.3,0.4,6,,0,C,1.8,7,DAL,/players/b/brotene01.html,0,12,1,6,Neal Broten,22.9,1997,15,1,20,35
11,1,2,35,,-0.1,5.1,2,,0,D,5.0,10,DAL,/players/l/ludwicr01.html,1,62,0,17,Craig Ludwig,3.4,1997,13,0,77,59
7,2,5,31,,-0.2,0.7,5,,0,C,0.5,7,DAL,/players/b/bassebo01.html,0,41,0,5,Bob Bassen,10.0,1997,12,0,46,50
7,0,5,23,,0.4,3.0,3,,1,D,3.4,6,DAL,/players/m/matviri01.html,0,87,0,1,Richard Matvichuk,6.0,1997,12,2,57,83
6,0,5,29,,-0.1,0.6,5,,0,LW,0.5,6,DAL,/players/h/huardbi01.html,0,105,0,5,Bill Huard,14.7,1997,11,0,40,34
4,0,6,23,,-0.7,0.8,6,,0,RW,0.1,4,DAL,/players/m/marshgr01.html,0,98,0,5,Grant Marshall,9.7,1997,10,0,56,62
6,1,1,24,,-0.2,0.4,1,,0,RW,0.2,6,DAL,/players/k/kennemi01.html,0,13,0,3,Mike Kennedy,3.8,1997,7,0,24,26
1,0,1,33,,-0.8,3.0,1,,0,D,2.2,0,DAL,/players/l/lalormi01.html,1,42,0,3,Mike Lalor,3.1,1997,2,0,55,32
2,0,0,29,,0.0,0.0,0,,0,G,3.6,0,DAL,/players/i/irbear01.html,0,8,0,0,Arturs Irbe,,1997,2,0,35,0
1,0,0,28,,-0.2,0.9,0,,0,D,0.7,1,DAL,/players/k/keczmda01.html,0,6,0,3,Dan Keczmer,0.0,1997,1,0,13,10
1,0,0,36,,0.0,0.0,0,,0,G,7.0,0,DAL,/players/m/moogan01.html,0,12,0,0,Andy Moog,,1997,1,0,48,0
0,0,0,22,,-0.1,0.0,0,,0,LW,-0.1,0,DAL,/players/c/cotepa01.html,0,27,0,0,Patrick Cote,0.0,1997,0,0,3,1
0,0,0,27,,-0.3,0.0,0,,0,LW,-0.4,0,DAL,/players/l/labelma01.html,0,46,0,-4,Marc Labelle,0.0,1997,0,0,9,2
0,0,0,38,,-0.2,0.0,0,,0,RW,-0.2,0,DAL,/players/m/makarse01.html,0,0,0,-2,Sergei Makarov,,1997,0,0,4,0
0,0,0,26,,0.0,0.0,0,,0,G,1.0,0,DAL,/players/t/turekro01.html,0,0,0,0,Roman Turek,,1997,0,0,6,0
