offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
10.3,Jamie Benn,22,2,7,16.6,26,247,48,LW,12.1,89,82,13,1.7,5,17,1642,3,41,32,20:01,64
8.2,Tyler Seguin,26,0,2,11.9,24,278,40,C,9.6,73,72,17,1.3,6,7,1400,0,33,23,19:27,16
7.5,Jason Spezza,24,0,4,16.3,32,202,30,C,8.8,63,75,15,1.3,7,9,1239,0,33,15,16:31,22
5.6,John Klingberg,8,0,22,5.8,23,171,48,D,10.2,58,76,20,4.6,4,2,1724,0,10,28,22:41,30
4.9,Patrick Sharp,13,0,-3,8.8,34,226,35,LW,5.9,55,76,17,1.0,6,7,1339,0,20,18,17:37,27
3.2,Ales Hemsky,12,0,3,8.4,32,155,26,RW,4.2,39,75,4,1.0,0,1,983,0,13,22,13:06,20
2.4,Alex Goligoski,4,0,21,3.9,30,127,32,D,7.2,37,82,4,4.9,1,1,1954,1,5,27,23:50,34
2.1,Cody Eakin,11,3,3,12.1,24,132,19,C,3.4,35,82,2,1.3,1,2,1342,1,16,16,16:22,42
2.2,Mattias Janmark,14,1,12,13.9,23,108,14,C,3.6,29,73,1,1.4,3,0,1035,0,15,13,14:10,16
1.7,Antoine Roussel,13,0,11,11.7,26,111,16,LW,3.2,29,80,1,1.4,6,0,1109,1,13,14,13:51,123
1.3,Valeri Nichushkin,8,0,2,6.5,20,139,20,RW,2.3,29,79,1,1.1,1,1,1101,0,9,19,13:56,12
1.4,Colton Sceviour,10,0,6,8.8,26,125,12,C,2.4,23,71,2,1.0,1,1,900,1,11,9,12:40,21
1.8,Jason Demers,3,1,16,7.4,27,94,16,D,5.2,23,62,2,3.4,1,3,1294,0,7,14,20:52,72
1.2,Vernon Fiddler,9,2,5,12.2,35,98,10,C,2.3,22,82,1,1.1,0,1,954,2,12,7,11:38,31
0.8,Johnny Oduya,3,1,8,6.3,34,63,17,D,4.1,21,82,0,3.3,0,0,1671,1,4,16,20:23,26
1.3,Patrick Eaves,6,0,-5,12.8,31,86,6,RW,1.7,17,54,2,0.4,2,5,700,0,11,4,12:58,27
0.4,Radek Faksa,5,0,9,7.5,22,67,7,C,1.3,12,45,1,0.9,1,0,556,0,5,6,12:21,16
0.5,Jordie Benn,2,0,2,5.2,28,58,9,D,2.2,12,64,0,1.8,2,1,1001,1,3,8,15:39,21
0.2,Patrik Nemeth,0,0,-1,0.0,23,36,8,D,1.0,8,38,1,0.9,0,0,594,0,0,7,15:37,14
0.2,Jyrki Jokipakka,2,0,1,7.7,24,26,4,D,1.2,6,40,0,1.0,1,0,580,0,2,4,14:30,6
0.1,Kris Russell,0,0,-1,0.0,28,14,4,D,0.5,4,11,2,0.3,0,0,264,0,0,2,24:02,2
0.1,Stephen Johns,1,0,-6,7.7,23,13,2,D,0.0,3,14,0,-0.1,0,0,250,0,1,2,17:50,6
0.0,Kari Lehtonen,0,0,0,,32,0,3,G,5.5,3,43,0,0.0,0,0,2279,0,0,3,53:00,2
-0.3,Travis Moen,0,0,-3,0.0,33,12,2,LW,-0.3,2,23,0,0.0,0,0,188,1,0,1,8:12,21
0.0,Antti Niemi,0,0,0,,32,0,2,G,5.9,2,48,1,0.0,0,0,2654,0,0,1,55:17,2
-0.1,Jamie Oleksiak,0,0,-5,0.0,23,13,2,D,-0.1,2,19,0,0.0,0,0,242,0,0,2,12:43,21
0.2,Jason Dickinson,1,0,1,50.0,20,2,0,C,0.2,1,1,0,0.1,0,0,12,0,1,0,11:55,0
-0.1,Brett Ritchie,0,0,-3,0.0,22,15,1,RW,-0.2,1,8,0,0.0,0,0,93,0,0,1,11:36,7
-0.1,Esa Lindell,0,0,-3,0.0,21,2,0,D,-0.2,0,4,0,-0.2,0,0,56,0,0,0,14:03,0
-0.1,Curtis McKenzie,0,0,-1,0.0,24,3,0,LW,-0.1,0,3,0,0.0,0,0,26,0,0,0,8:48,0
-0.1,Devin Shore,0,0,2,0.0,21,1,0,C,0.0,0,3,0,0.1,0,0,36,0,0,0,12:07,0
