shorthanded_goals,average_ice_time,positions,shotsPercentage,even_strength_assists,shots,even_strength_goals,shorthanded_assists,age,game_winning_goals,goals,assists,name,overall_point_share,defensive_point_share,points,power_play_goals,pim,total_ice_time,games_played,plus_minus,offensive_point_share,power_play_assists,link
3,,C,15.1,21,219,20,0,21,5,33,39,Dale McCourt,7.2,1.4,72,10,10,,76,10,5.8,18,/players/m/mccouda01.html
0,,C,16.1,31,193,21,0,24,4,31,39,Andre St. Laurent,6.8,1.4,70,10,108,,77,7,5.4,8,/players/s/stlauan01.html
1,,D,7.9,18,240,11,1,21,4,19,41,Reed Larson,8.7,3.6,60,7,95,,75,-8,5.1,22,/players/l/larsore01.html
2,,C,18.0,27,89,12,1,34,3,16,33,Dennis Hextall,3.3,1.0,49,2,195,,78,-5,2.3,5,/players/h/hextade01.html
1,,LW,14.8,18,155,21,1,32,1,23,22,Nick Libett,3.6,1.1,45,1,46,,80,-3,2.5,3,/players/l/libetni01.html
0,,LW,9.7,22,165,13,0,27,1,16,29,Dan Maloney,3.6,1.1,45,3,151,,66,4,2.5,7,/players/m/malonda01.html
2,,LW,17.8,16,107,14,2,22,3,19,23,Paul Woods,3.6,1.8,42,3,52,,80,18,1.9,5,/players/w/woodspa01.html
0,,RW,16.1,14,124,18,0,23,4,20,16,Bill Lochead,2.9,1.3,36,2,47,,77,6,1.6,2,/players/l/lochebi01.html
0,,RW,12.5,15,128,11,0,24,0,16,19,Dennis Polonich,2.1,1.0,35,5,254,,79,-5,1.1,4,/players/p/polonde01.html
0,,RW,10.3,8,107,6,0,33,1,11,17,Vaclav Nedomansky,1.1,0.4,28,5,2,,63,-17,0.7,9,/players/n/nedomva01.html
0,,D,5.2,14,134,5,1,23,2,7,20,Greg Joly,5.3,4.1,27,2,73,,79,-4,1.2,5,/players/j/jolygr01.html
1,,D,3.3,12,122,3,0,25,1,4,17,Perry Miller,3.9,3.1,21,0,120,,62,-5,0.8,5,/players/m/millepe01.html
0,,RW,17.4,10,46,6,0,23,2,8,11,Rick Bowness,0.4,0.7,19,2,76,,61,-8,-0.2,1,/players/b/bowneri01.html
0,,D,2.6,16,76,2,1,38,0,2,17,Terry Harper,5.6,5.5,19,0,85,,80,19,0.1,0,/players/h/harpete01.html
0,,LW,6.9,7,72,3,0,33,1,5,9,Dennis Hull,-0.5,0.2,14,2,6,,55,-20,-0.7,2,/players/h/hullde01.html
0,,RW,6.5,4,46,3,0,26,0,3,6,Larry Wright,-1.1,0.6,9,0,13,,66,-12,-1.7,2,/players/w/wrighla01.html
0,,D,2.8,5,71,1,0,22,0,2,7,Al Cameron,2.3,2.7,9,1,94,,63,-12,-0.4,2,/players/c/cameral01.html
0,,D,5.4,6,37,2,0,25,0,2,6,Jean Hamel,2.1,1.9,8,0,34,,32,3,0.2,0,/players/h/hamelje01.html
0,,D,5.6,6,18,1,0,30,0,1,6,Thommie Bergman,1.2,0.8,7,0,16,,14,1,0.4,0,/players/b/bergmth01.html
0,,LW,18.5,0,27,4,0,27,0,5,1,Errol Thompson,0.4,0.1,6,1,2,,14,-4,0.4,1,/players/t/thomper01.html
0,,RW,22.2,2,9,1,0,31,0,2,2,Danny Grant,0.1,0.1,4,1,6,,13,-2,0.0,0,/players/g/grantda01.html
0,,RW,11.1,1,18,2,0,27,0,2,2,Al McDonough,0.2,0.3,4,0,4,,13,2,0.0,1,/players/m/mcdonal01.html
0,,LW,11.1,2,18,1,0,22,0,2,2,Bob Ritchie,0.2,0.1,4,1,0,,11,-1,0.1,0,/players/r/ritchbo01.html
0,,LW,28.6,1,7,1,0,20,0,2,1,Rob Plumb,0.1,0.0,3,1,0,,7,-4,0.1,0,/players/p/plumbro02.html
0,,D,0.0,1,10,0,0,26,0,0,3,Larry Giroux,0.1,0.0,3,0,4,,5,-5,0.1,2,/players/g/giroula01.html
0,,C,0.0,1,5,0,0,31,0,0,2,J.P. LeBlanc,0.1,0.1,2,0,4,,3,1,0.0,1,/players/l/leblajp01.html
0,,G,,0,0,0,0,28,0,0,2,Jim Rutherford,6.7,0.0,2,0,2,,43,0,0.0,0,/players/r/rutheji01.html
0,,RW,16.7,0,6,1,0,23,0,1,0,Michel Bergeron,0.0,0.0,1,0,0,,3,-2,0.0,0,/players/b/bergemi01.html
0,,G,,0,0,0,0,27,0,0,1,Ron Low,4.7,0.0,1,0,0,,32,0,0.0,0,/players/l/lowro01.html
0,,C,0.0,0,1,0,0,20,0,0,0,Roland Cloutier,-0.1,0.0,0,0,0,,1,-2,0.0,0,/players/c/cloutro01.html
0,,G,,0,0,0,0,38,0,0,0,Ed Giacomin,1.5,0.0,0,0,0,,9,0,0.0,0,/players/g/giacoed01.html
0,,D,,0,0,0,0,20,0,0,0,John Hilworth,0.2,0.3,0,0,12,,5,0,-0.1,0,/players/h/hilwojo01.html
0,,RW,,0,0,0,0,22,0,0,0,Fern LeBlanc,-0.1,0.0,0,0,0,,2,-2,-0.1,0,/players/l/leblafe01.html
0,,RW,0.0,0,17,0,0,29,0,0,0,Tim Sheehy,-0.8,-0.2,0,0,0,,15,-13,-0.6,0,/players/s/sheehti01.html
0,,D,0.0,0,6,0,0,21,0,0,0,Rick Vasko,0.0,0.1,0,0,7,,3,-1,-0.1,0,/players/v/vaskori01.html
