offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
2.7,Henrik Zetterberg,11,0,-15,6.1,35,214,37,LW,3.9,50,82,20,1.2,3,2,1592,0,13,17,19:25,24
3.8,Pavel Datsyuk,8,0,7,8.8,37,181,33,C,5.6,49,66,12,1.8,1,8,1297,0,16,21,19:39,14
4.0,Dylan Larkin,19,0,11,10.4,19,221,22,C,6.0,45,80,1,2.0,5,4,1324,0,23,21,16:33,34
4.2,Tomas Tatar,14,0,4,12.7,25,165,24,LW,5.8,45,81,8,1.5,3,7,1162,0,21,16,14:21,24
3.3,Gustav Nyquist,10,0,-2,10.6,26,161,26,RW,4.7,43,82,5,1.4,3,7,1244,0,17,21,15:10,34
2.7,Justin Abdelkader,13,0,-16,12.3,28,155,23,LW,3.8,42,82,7,1.1,4,6,1512,0,19,16,18:26,120
2.9,Mike Green,2,0,-6,5.6,30,124,28,D,5.9,35,74,15,2.9,0,5,1463,0,7,13,19:46,38
1.5,Brad Richards,6,0,4,6.1,35,164,18,C,2.8,28,68,10,1.3,1,4,1006,0,10,8,14:48,8
1.2,Darren Helm,13,0,-2,7.9,29,165,13,C,2.4,26,77,0,1.3,3,0,1160,0,13,13,15:04,32
1.5,Niklas Kronwall,3,0,-21,4.9,35,61,23,D,3.1,26,64,14,1.5,2,0,1409,0,3,9,22:01,30
1.0,Riley Sheahan,10,1,-8,10.9,24,128,11,C,2.1,25,81,1,1.1,2,3,1234,0,14,10,15:14,12
0.0,Luke Glendening,8,0,4,9.1,26,88,13,C,1.5,21,81,0,1.5,3,0,1181,0,8,13,14:35,46
1.0,Danny DeKeyser,8,0,2,11.1,25,72,12,D,5.2,20,78,0,4.2,3,0,1701,0,8,12,21:48,44
0.4,Jonathan Ericsson,3,0,2,4.4,31,68,12,D,3.7,15,71,0,3.3,0,0,1316,0,3,12,18:32,56
0.7,Brendan Smith,2,0,1,3.7,26,82,12,D,3.4,15,63,0,2.7,0,1,1109,0,3,12,17:36,62
1.7,Andreas Athanasiou,8,1,1,17.0,21,53,5,C,2.1,14,37,0,0.4,1,0,334,0,9,5,9:01,5
0.9,Teemu Pulkkinen,5,0,2,9.2,24,65,6,LW,1.4,12,36,2,0.6,1,1,416,0,6,4,11:34,14
0.5,Kyle Quincey,4,0,1,6.5,30,62,7,D,2.8,11,47,0,2.3,2,0,929,0,4,7,19:46,36
0.1,Alexey Marchenko,2,0,-5,5.0,24,40,9,D,2.3,11,66,0,2.2,0,0,1111,1,2,8,16:50,10
0.0,Tomas Jurco,4,0,-6,9.3,23,43,2,RW,0.2,6,44,0,0.2,0,0,404,0,4,2,9:11,16
0.4,Jakub Kindl,2,0,3,5.4,28,37,4,D,1.6,6,25,0,1.2,1,0,412,0,2,4,16:28,14
0.2,Anthony Mantha,0,0,-6,11.1,21,18,1,RW,0.1,3,10,0,-0.1,1,2,117,0,2,1,11:42,2
-0.3,Joakim Andersson,1,0,1,5.9,26,17,2,C,0.1,3,29,0,0.3,0,0,262,0,1,2,9:01,6
-0.7,Drew Miller,1,0,-5,3.7,31,27,1,LW,-0.5,2,28,0,0.2,0,0,363,0,1,1,12:58,2
0.0,Petr Mrazek,0,0,0,,23,0,2,G,9.5,2,54,0,0.0,0,0,2961,0,0,2,54:50,2
0.0,Johan Franzen,0,0,0,0.0,36,3,1,RW,0.1,1,2,1,0.0,0,0,26,0,0,0,12:57,2
0.0,Jimmy Howard,0,0,0,,31,0,1,G,4.8,1,37,0,0.0,0,0,1974,0,0,1,53:21,2
0.0,Xavier Ouellet,0,0,-2,0.0,22,4,1,D,0.0,1,5,0,0.0,0,0,81,0,0,1,16:15,2
-0.3,Landon Ferraro,0,0,-3,0.0,24,12,0,C,-0.3,0,10,0,0.0,0,0,96,0,0,0,9:33,7
-0.2,Tomas Nosek,0,0,-2,0.0,23,2,0,C,-0.2,0,6,0,0.0,0,0,61,0,0,0,10:08,2
0.0,Eric Tangradi,0,0,0,,26,0,0,LW,0.0,0,1,0,0.0,0,0,7,0,0,0,6:55,0
