shorthanded_goals,average_ice_time,positions,shotsPercentage,even_strength_assists,shots,even_strength_goals,shorthanded_assists,age,game_winning_goals,goals,assists,name,overall_point_share,defensive_point_share,points,power_play_goals,pim,total_ice_time,games_played,plus_minus,offensive_point_share,power_play_assists,link
0,,C,8.9,26,235,17,0,26,2,21,61,Doug Weight,7.8,1.1,82,4,80,,80,1,6.7,35,/players/w/weighdo01.html
0,,LW,14.7,18,265,19,0,20,4,39,22,Ryan Smyth,7.2,0.8,61,20,76,,82,-7,6.3,4,/players/s/smythry01.html
0,,RW,19.6,16,163,18,0,26,2,32,27,Andrei Kovalenko,6.6,0.8,59,14,81,,74,-5,5.8,11,/players/k/kovalan01.html
1,,C,7.7,16,248,8,0,22,2,19,38,Jason Arnott,4.8,0.1,57,10,92,,67,-21,4.6,22,/players/a/arnotja01.html
0,,LW,14.3,16,182,22,0,24,3,26,21,Mariusz Czerkawski,5.0,1.0,47,4,16,,76,0,4.0,5,/players/c/czerkma01.html
0,,RW,10.3,26,78,8,4,30,3,8,30,Kelly Buchberger,2.4,1.2,38,0,159,,81,4,1.2,0,/players/b/buchbke01.html
4,,LW,6.9,16,202,10,0,23,3,14,19,Todd Marchant,2.8,1.4,33,0,44,,79,11,1.4,3,/players/m/marchto01.html
0,,RW,16.9,16,89,11,0,22,2,15,17,Mike Grier,2.7,1.3,32,4,45,,79,7,1.4,1,/players/g/griermi01.html
0,,D,4.1,10,147,4,0,24,1,6,26,Boris Mironov,5.2,2.7,32,2,85,,55,2,2.5,16,/players/m/mironbo01.html
0,,C,12.9,16,85,10,1,24,2,11,20,Rem Murray,2.2,1.4,31,1,16,,82,9,0.8,3,/players/m/murrare01.html
0,,LW,11.3,12,106,8,0,23,6,12,17,Dean McAmmond,1.9,0.2,29,4,28,,57,-15,1.7,5,/players/m/mcammde01.html
0,,LW,18.9,7,90,12,0,22,2,17,11,Miroslav Satan,2.5,0.7,28,5,22,,64,-4,1.8,4,/players/s/satanmi01.html
3,,C,15.5,13,71,6,0,22,1,11,14,Mats Lindgren,1.4,0.7,25,2,12,,69,-7,0.7,1,/players/l/lindgma01.html
1,,D,4.3,11,139,3,0,24,2,6,16,Dan McGillis,4.7,3.5,22,2,52,,73,2,1.2,5,/players/m/mcgilda01.html
0,,D,3.4,12,89,2,1,27,0,3,13,Bryan Marchment,4.6,4.2,16,1,132,,71,13,0.4,0,/players/m/marchbr02.html
0,,D,2.2,11,46,1,1,37,0,1,13,Kevin Lowe,3.0,2.9,14,0,50,,64,-1,0.2,1,/players/l/loweke01.html
0,,D,2.9,7,68,2,0,31,0,2,11,Jeff Norton,2.6,2.4,13,0,42,,62,-7,0.2,4,/players/n/nortoje01.html
0,,D,1.5,8,67,1,1,27,0,1,11,Luke Richardson,4.0,4.4,12,0,91,,82,9,-0.4,2,/players/r/richalu01.html
0,,D,6.7,2,30,2,0,32,0,2,4,Michel Petit,0.3,-0.1,6,0,20,,18,-13,0.4,2,/players/p/petitmi01.html
0,,RW,4.5,3,22,1,0,32,0,1,5,Petr Klima,0.2,0.2,6,0,6,,16,-1,0.0,2,/players/k/klimape01.html
0,,D,0.0,4,31,0,0,24,0,0,4,Greg de Vries,1.2,1.6,4,0,52,,37,-2,-0.3,0,/players/d/devrigr01.html
0,,RW,4.5,1,22,1,0,25,0,1,2,David Oliver,-0.3,-0.1,3,0,4,,17,-8,-0.3,1,/players/o/oliveda01.html
0,,LW,20.0,0,10,2,0,25,0,2,0,Louie DeBrusk,-0.6,0.2,2,0,94,,32,-6,-0.9,0,/players/d/debrulo01.html
0,,G,,0,0,0,0,29,0,0,2,Curtis Joseph,12.1,0.0,2,0,20,,72,0,0.0,0,/players/j/josepcu01.html
0,,C,50.0,0,2,1,0,23,0,1,0,Ralph Intranuovo,0.1,0.1,1,0,0,,5,0,0.0,0,/players/i/intrara01.html
0,,C,16.7,0,6,1,0,20,1,1,0,Steve Kelly,-0.1,0.1,1,0,6,,8,-1,-0.1,0,/players/k/kellyst01.html
0,,D,0.0,1,2,0,0,22,0,0,1,Drew Bannister,0.0,-0.1,1,0,0,,1,-2,0.1,0,/players/b/bannidr01.html
0,,D,0.0,1,10,0,0,29,0,0,1,Donald Dufresne,0.6,0.9,1,0,15,,22,-1,-0.3,0,/players/d/dufredo01.html
0,,C,0.0,0,8,0,0,27,0,0,0,Jesse Belanger,-0.3,0.0,0,0,0,,6,-3,-0.2,0,/players/b/belanje01.html
0,,D,0.0,0,2,0,0,20,0,0,0,Sean Brown,0.1,0.2,0,0,4,,5,-1,-0.1,0,/players/b/brownse01.html
0,,G,,0,0,0,0,32,0,0,0,Bob Essensa,2.0,0.0,0,0,4,,19,0,0.0,0,/players/e/essenbo01.html
0,,LW,0.0,0,4,0,0,23,0,0,0,Joe Hulbig,-0.2,0.0,0,0,0,,6,-1,-0.2,0,/players/h/hulbijo01.html
0,,D,0.0,0,1,0,0,20,0,0,0,Craig Millar,0.0,0.0,0,0,2,,1,0,0.0,0,/players/m/millacr01.html
0,,LW,0.0,0,1,0,0,21,0,0,0,Barrie Moore,-0.1,0.1,0,0,0,,4,0,-0.2,0,/players/m/mooreba01.html
