assists,game_winning_goals,goals,age,average_ice_time,offensive_point_share,defensive_point_share,even_strength_goals,total_ice_time,power_play_assists,positions,overall_point_share,even_strength_assists,team,link,shorthanded_assists,pim,power_play_goals,plus_minus,name,shotsPercentage,year,points,shorthanded_goals,games_played,shots
34,3,27,26,19:21,5.9,1.5,17,1277,8,LW,7.3,26,EDM,/players/s/smythry01.html,0,67,10,5,Ryan Smyth,13.6,2003,61,0,66,199
40,3,20,29,19:54,4.3,2.0,12,1532,12,C,6.3,24,EDM,/players/m/marchto01.html,4,48,7,13,Todd Marchant,13.7,2003,60,1,77,146
30,1,25,28,19:39,4.9,0.9,15,1336,13,RW,5.7,16,EDM,/players/c/cartean01.html,1,20,10,-11,Anson Carter,14.2,2003,55,0,68,176
29,4,22,25,19:04,4.0,1.0,13,1354,14,RW,5.1,14,EDM,/players/y/yorkmi01.html,1,10,7,-8,Mike York,12.4,2003,51,2,71,177
31,6,20,22,17:51,4.2,0.5,12,1232,9,C,4.7,22,EDM,/players/c/comrimi01.html,0,90,8,-18,Mike Comrie,11.8,2003,51,0,69,170
21,3,12,24,13:30,1.9,1.4,10,1053,0,LW,3.3,20,EDM,/players/h/horcosh01.html,1,55,2,10,Shawn Horcoff,12.2,2003,33,0,78,98
17,2,14,27,13:30,1.9,0.8,9,1054,2,LW,2.6,13,EDM,/players/m/moreaet01.html,2,112,2,-7,Ethan Moreau,10.2,2003,31,3,78,137
20,0,11,25,14:50,1.6,1.8,7,1038,3,C,3.4,15,EDM,/players/r/reasoma01.html,2,28,2,19,Marty Reasoner,10.8,2003,31,2,70,102
24,1,6,19,12:04,1.9,0.9,6,712,9,RW,2.8,15,EDM,/players/h/hemskal01.html,0,14,0,5,Ales Hemsky,12.0,2003,30,0,59,50
21,1,8,23,24:56,1.9,2.7,7,1994,12,D,4.6,9,EDM,/players/b/breweer01.html,0,45,1,-11,Eric Brewer,5.4,2003,29,0,80,147
24,0,4,27,26:48,1.7,2.5,2,1688,12,D,4.2,11,EDM,/players/n/niinija01.html,1,66,2,-7,Janne Niinimaa,4.4,2003,28,0,63,90
21,0,5,29,22:17,1.6,4.1,1,1694,2,D,5.7,16,EDM,/players/s/staiost01.html,3,96,1,13,Steve Staios,4.0,2003,26,3,76,126
9,4,14,23,10:46,2.0,0.6,13,710,1,C,2.6,8,EDM,/players/c/chimeja01.html,0,36,0,-2,Jason Chimera,15.6,2003,23,1,66,90
13,1,4,24,11:58,0.3,0.9,4,682,0,RW,1.2,13,EDM,/players/c/clearda01.html,0,31,0,5,Dan Cleary,4.5,2003,17,0,57,89
5,0,8,26,10:43,1.2,0.7,7,375,0,RW,1.9,5,EDM,/players/p/pisanfe01.html,0,10,0,9,Fernando Pisani,25.0,2003,13,1,35,32
7,2,6,26,9:15,0.4,0.4,6,592,0,RW,0.8,7,EDM,/players/l/laraqge01.html,0,110,0,-4,Georges Laraque,13.0,2003,13,0,64,46
8,1,4,29,21:46,0.2,3.1,4,1480,1,D,3.3,6,EDM,/players/s/smithja01.html,1,64,0,5,Jason Smith,4.3,2003,12,0,68,93
10,1,2,26,11:55,0.0,0.2,1,524,2,C,0.3,7,EDM,/players/s/swansbr01.html,1,10,1,-7,Brian Swanson,3.0,2003,12,0,44,67
4,0,4,25,16:07,0.7,0.1,3,193,3,RW,0.8,1,EDM,/players/d/dvorara01.html,0,14,1,-3,Radek Dvorak,12.5,2003,8,0,12,32
5,0,3,30,12:18,0.2,2.6,3,959,0,D,2.8,5,EDM,/players/f/fergusc01.html,0,120,0,11,Scott Ferguson,6.7,2003,8,0,78,45
6,0,1,21,19:41,-0.1,1.1,1,906,0,D,1.0,6,EDM,/players/s/semenal01.html,0,58,0,-7,Alexei Semenov,3.0,2003,7,0,46,33
5,1,1,34,13:49,-0.1,0.1,1,290,1,C,0.1,4,EDM,/players/d/dopitji01.html,0,11,0,-4,Jiri Dopita,4.3,2003,6,0,21,23
2,1,3,25,13:14,0.4,0.2,3,172,1,LW,0.5,1,EDM,/players/i/isbisbr01.html,0,9,0,0,Brad Isbister,10.3,2003,5,0,13,29
3,1,2,32,17:51,0.5,0.6,1,196,2,D,1.1,1,EDM,/players/c/crossco01.html,0,8,1,3,Cory Cross,18.2,2003,5,0,11,11
1,0,3,21,9:32,0.4,0.2,3,114,0,LW,0.6,1,EDM,/players/r/ritaja01.html,0,0,0,2,Jani Rita,16.7,2003,4,0,12,18
3,0,1,26,12:56,-0.1,2.0,0,621,0,D,1.9,3,EDM,/players/p/pisaal01.html,0,24,1,11,Ales Pisa,2.9,2003,4,0,48,34
