offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
7.7,Olli Jokinen,23,1,14,10.8,27,351,51,C,9.8,89,82,23,2.1,9,14,1680,0,38,28,20:29,88
5.0,Joe Nieuwendyk,19,0,-2,13.3,39,195,30,C,5.9,56,65,13,0.9,3,7,1065,0,26,17,16:23,46
2.8,Jozef Stumpel,11,1,11,13.0,33,115,37,C,4.4,52,74,13,1.6,1,3,1316,0,15,24,17:47,26
3.9,Nathan Horton,25,0,8,17.3,20,162,19,C,5.4,47,71,6,1.4,1,3,1199,0,28,13,16:53,89
2.6,Jay Bouwmeester,5,0,1,2.6,22,189,41,D,6.4,46,82,16,3.8,0,0,2090,0,5,25,25:29,79
1.9,Martin Gelinas,13,0,27,9.1,35,186,24,LW,4.2,41,82,1,2.2,3,4,1311,0,17,23,15:59,80
2.5,Gary Roberts,10,0,4,11.5,39,122,26,LW,3.6,40,58,9,1.1,1,4,972,0,14,17,16:45,51
2.1,Chris Gratton,12,1,6,12.6,30,135,22,C,3.4,39,76,4,1.3,2,4,1195,0,17,18,15:43,104
2.3,Mike Van Ryn,5,0,15,5.2,26,154,29,D,6.7,37,80,13,4.4,2,3,1808,0,8,16,22:36,90
1.7,Juraj Kolnik,10,1,1,10.3,25,145,20,RW,2.8,35,77,1,1.1,3,4,1102,0,15,19,14:19,40
1.1,Stephen Weiss,4,0,-2,12.2,22,74,12,C,1.7,21,41,5,0.5,1,5,625,0,9,7,15:15,22
0.3,Rostislav Olesz,7,1,-4,7.6,20,105,13,C,1.0,21,59,1,0.7,3,0,877,0,8,12,14:52,24
0.3,Sean Hill,1,0,3,1.8,35,110,18,D,3.4,20,78,3,3.1,0,1,1572,0,2,15,20:09,80
1.6,Jon Sim,6,0,-1,10.9,28,92,8,RW,1.9,18,33,2,0.3,3,4,411,0,10,6,12:28,26
0.3,Lukas Krajicek,0,0,1,2.2,22,89,14,D,2.6,16,67,7,2.3,0,2,1240,1,2,6,18:30,50
0.2,Joel Kwiatkowski,3,0,3,4.6,28,87,8,D,2.5,12,73,2,2.4,1,1,1193,1,4,5,16:21,86
-0.4,Gregory Campbell,3,0,-11,5.1,22,59,6,C,-0.3,9,64,0,0.1,0,0,553,0,3,6,8:38,40
0.3,Kristian Huselius,3,0,-11,8.8,27,57,3,LW,0.2,8,24,2,-0.1,0,2,353,0,5,1,14:44,4
-0.4,Niklas Hagman,2,0,-8,3.8,26,52,4,RW,-0.3,6,30,0,0.1,0,0,420,0,2,4,14:00,2
-1.3,Serge Payer,2,0,-7,2.9,26,70,4,RW,-0.9,6,71,0,0.4,0,0,702,0,2,4,9:53,26
-0.2,Steve Montador,1,0,4,2.4,26,42,5,D,1.4,6,51,0,1.6,0,0,718,0,1,5,14:04,68
0.3,Anthony Stewart,1,0,2,12.5,21,16,1,C,0.4,3,10,0,0.1,0,1,72,0,2,1,7:13,2
0.0,Roberto Luongo,0,0,0,,26,0,3,G,18.5,3,75,0,0.0,0,0,4296,0,0,0,57:17,2
0.0,Ric Jackman,1,0,0,4.0,27,25,1,D,0.4,2,15,1,0.4,0,0,211,0,1,0,14:04,6
0.1,Alexei Semenov,0,0,-1,7.7,24,13,1,D,0.3,2,16,0,0.3,0,1,201,0,1,1,12:33,21
-0.2,Rob Globke,1,0,0,5.6,23,18,0,RW,-0.1,1,18,0,0.1,0,0,131,0,1,0,7:17,6
-0.1,Eric Cairns,0,0,1,0.0,31,11,1,D,0.3,1,23,0,0.4,0,0,180,0,0,1,7:48,37
-0.1,Greg Jacina,0,0,-1,0.0,23,10,1,C,-0.1,1,11,0,0.0,0,0,64,0,0,1,5:50,4
-0.3,Branislav Mezei,0,0,3,0.0,25,13,1,D,0.5,1,16,0,0.8,0,0,308,0,0,1,19:17,37
-0.2,Mikhail Yakubov,0,0,-1,0.0,23,16,1,C,-0.1,1,13,0,0.1,0,0,102,0,0,1,7:50,4
-0.1,Jamie Allison,0,0,0,0.0,30,4,0,D,0.1,0,7,0,0.1,0,0,83,0,0,0,11:48,11
-0.1,Alexander Karpovtsev,0,0,-3,0.0,35,4,0,D,-0.2,0,6,0,-0.1,0,0,66,0,0,0,11:05,4
0.0,Jamie McLennan,0,0,0,,34,0,0,G,2.3,0,17,0,0.0,0,0,715,0,0,0,42:04,0
-0.1,Petr Taticek,0,0,0,0.0,22,3,0,C,0.0,0,3,0,0.0,0,0,18,0,0,0,5:51,0
