shorthanded_goals,average_ice_time,positions,shotsPercentage,even_strength_assists,shots,even_strength_goals,shorthanded_assists,age,game_winning_goals,goals,assists,name,overall_point_share,defensive_point_share,points,power_play_goals,pim,total_ice_time,games_played,plus_minus,offensive_point_share,power_play_assists,link
2,,C,19.2,43,229,39,0,25,0,44,61,Mike Rogers,10.0,1.7,105,3,10,,80,29,8.3,18,/players/r/rogermi01.html
2,,RW,23.9,35,234,38,1,26,9,56,44,Blaine Stoughton,9.9,1.1,100,16,16,,80,9,8.8,8,/players/s/stougbl01.html
2,,D,13.5,43,178,17,2,24,3,24,56,Mark Howe,10.1,3.6,80,5,20,,74,14,6.5,11,/players/h/howema02.html
0,,C,6.8,42,146,10,2,39,0,10,52,Dave Keon,2.9,0.4,62,0,10,,76,-13,2.5,8,/players/k/keonda01.html
0,,LW,17.6,21,188,28,0,22,5,33,24,Jordy Douglas,4.3,0.5,57,5,39,,77,-11,3.8,3,/players/d/dougljo01.html
0,,LW,18.1,25,72,10,1,27,0,13,31,Pat Boutette,3.5,1.0,44,3,75,,47,17,2.5,5,/players/b/boutepa01.html
0,,RW,16.0,23,94,13,0,51,0,15,26,Gordie Howe,2.1,1.1,41,2,42,,80,9,1.1,3,/players/h/howego01.html
0,,D,7.1,24,141,8,1,26,1,10,31,Al Sims,5.7,3.4,41,2,30,,76,9,2.4,6,/players/s/simsal01.html
0,,D,7.5,26,107,7,0,22,1,8,28,Gordie Roberts,5.1,3.4,36,1,89,,80,6,1.7,2,/players/r/robergo02.html
1,,C,15.3,18,85,12,0,23,2,13,19,Greg Carroll,1.2,0.6,32,0,24,,71,-5,0.6,1,/players/c/carrogr01.html
0,,RW,20.3,12,79,16,0,20,2,16,12,Ray Allison,1.3,0.6,28,0,13,,64,-3,0.8,0,/players/a/allisra01.html
0,,C,12.5,14,96,12,0,23,1,12,14,Dave Debol,1.3,0.3,26,0,4,,48,-5,1.0,0,/players/d/debolda01.html
0,,C,14.8,13,54,8,0,23,0,8,13,Bernie Johnston,1.5,0.6,21,0,8,,32,9,0.9,0,/players/j/johnsbe01.html
0,,D,5.1,12,78,4,0,31,1,4,16,Rick Ley,3.1,2.6,20,0,92,,65,2,0.5,4,/players/l/leyri01.html
0,,LW,18.5,8,54,10,0,27,0,10,8,Nick Fotiu,-0.1,0.8,18,0,107,,74,2,-0.9,0,/players/f/fotiuni01.html
0,,D,7.5,15,40,3,0,26,1,3,15,Al Hangsleben,2.8,1.9,18,0,69,,37,9,0.9,0,/players/h/hangsal01.html
0,,C,6.7,13,45,2,0,34,0,3,14,Andre Lacroix,0.5,0.1,17,1,2,,29,-6,0.4,1,/players/l/lacroan01.html
0,,RW,14.6,4,41,5,0,23,1,6,4,Tom Rowe,0.5,0.1,10,1,30,,20,-3,0.4,0,/players/r/roweto01.html
0,,D,7.9,4,38,3,0,29,0,3,4,Ron Plumb,1.8,1.6,7,0,14,,26,10,0.2,0,/players/p/plumbro01.html
0,,D,3.2,5,63,2,0,28,0,2,5,Larry Giroux,1.5,1.8,7,0,44,,47,1,-0.3,0,/players/g/giroula01.html
0,,LW,15.4,4,13,1,0,41,0,2,5,Bobby Hull,0.3,0.0,7,1,0,,9,-3,0.3,1,/players/h/hullbo01.html
0,,LW,20.0,3,15,1,0,26,0,3,3,Bill Bennett,0.0,0.3,6,2,63,,24,1,-0.3,0,/players/b/bennebi01.html
0,,RW,13.3,1,15,2,0,31,0,2,1,Tim Sheehy,0.2,0.3,3,0,0,,12,6,-0.1,0,/players/s/sheehti01.html
0,,RW,0.0,3,26,0,0,25,0,0,3,Jim Warner,-0.9,0.2,3,0,10,,32,-6,-1.1,0,/players/w/warneji01.html
0,,LW,20.0,1,5,1,0,26,0,1,1,Steve Alley,-0.1,0.0,2,0,0,,7,-4,-0.1,0,/players/a/alleyst01.html
0,,RW,5.9,1,17,1,0,23,0,1,1,Brian Hill,-0.4,0.2,2,0,4,,19,-1,-0.6,0,/players/h/hillbr01.html
0,,G,,0,0,0,0,28,0,0,2,John Garrett,6.1,0.0,2,0,12,,52,0,0.0,0,/players/g/garrejo01.html
0,,D,0.0,2,9,0,0,20,0,0,2,Mark Renaud,0.3,0.4,2,0,4,,13,-1,-0.1,0,/players/r/renauma01.html
0,,RW,25.0,0,4,1,0,20,0,1,0,Ray Neufeld,-0.2,0.0,1,0,0,,8,-3,-0.2,0,/players/n/neufera01.html
0,,C,0.0,1,4,0,0,28,0,0,1,Mike Antonovich,-0.1,0.1,1,0,2,,5,0,-0.1,0,/players/a/antonmi01.html
0,,LW,0.0,0,2,0,0,21,0,0,1,Jeff Brubaker,-0.1,0.0,1,0,2,,3,-2,0.0,1,/players/b/brubaje01.html
0,,D,0.0,1,6,0,0,25,0,0,1,Marty Howe,0.1,0.1,1,0,4,,6,-2,-0.1,0,/players/h/howema01.html
0,,D,0.0,1,3,0,0,25,0,0,1,Charlie Luksa,0.2,0.3,1,0,4,,8,0,-0.1,0,/players/l/luksach01.html
0,,G,,0,0,0,0,34,0,0,1,Al Smith,4.3,0.0,1,0,10,,30,0,0.0,0,/players/s/smithal03.html
0,,RW,0.0,1,3,0,0,25,0,0,1,Bob Stephenson,0.0,0.1,1,0,0,,4,2,-0.1,0,/players/s/stephbo01.html
0,,D,0.0,0,1,0,0,23,0,0,0,Rick Hodgson,-0.2,-0.1,0,0,6,,6,-5,-0.1,0,/players/h/hodgsri01.html
0,,C,0.0,0,1,0,0,22,0,0,0,Jean Savard,0.0,0.0,0,0,0,,1,0,0.0,0,/players/s/savarje01.html
0,,LW,0.0,0,5,0,0,22,0,0,0,Maynard Schurman,-0.2,0.0,0,0,0,,7,-1,-0.3,0,/players/s/schurma01.html
0,,D,0.0,0,3,0,0,19,0,0,0,Stu Smith,0.0,0.1,0,0,0,,4,-1,-0.1,0,/players/s/smithst03.html
