assists,game_winning_goals,goals,age,average_ice_time,offensive_point_share,defensive_point_share,even_strength_goals,total_ice_time,power_play_assists,positions,overall_point_share,even_strength_assists,team,link,shorthanded_assists,pim,power_play_goals,plus_minus,name,shotsPercentage,year,points,shorthanded_goals,games_played,shots
43,4,46,20,,7.0,0.4,23,,20,LW,7.4,22,HAR,/players/s/sandege01.html,1,28,21,-21,Geoff Sanderson,17.0,1993,89,2,82,271
64,1,21,23,,4.7,0.8,10,,30,C,5.5,30,HAR,/players/c/cassean01.html,4,62,8,-11,Andrew Cassels,15.7,1993,85,3,84,134
43,6,39,28,,5.8,0.9,23,,15,RW,6.7,28,HAR,/players/v/verbepa01.html,0,197,16,-7,Pat Verbeek,16.6,1993,82,0,84,235
42,2,25,28,,4.3,0.7,16,,16,C,5.1,23,HAR,/players/c/cravemu01.html,3,20,6,-4,Murray Craven,18.0,1993,67,3,67,139
51,0,14,24,,4.2,1.6,5,,31,D,5.8,16,HAR,/players/z/zalapza01.html,4,94,8,-34,Zarley Zalapski,7.3,1993,65,1,83,192
31,2,22,24,,3.1,0.9,17,,10,RW,4.0,19,HAR,/players/y/yakete01.html,2,46,4,3,Terry Yake,22.4,1993,53,1,66,98
31,2,20,19,,2.2,0.5,16,,6,LW,2.7,25,HAR,/players/p/poulipa01.html,0,37,4,-19,Patrick Poulin,12.5,1993,51,0,81,160
29,2,7,26,,1.6,2.7,5,,8,D,4.3,20,HAR,/players/w/weinrer01.html,1,76,0,-11,Eric Weinrich,6.7,1993,36,2,79,104
22,1,11,20,,1.0,0.5,8,,4,C,1.6,18,HAR,/players/n/nylanmi01.html,0,36,3,-7,Michael Nylander,12.9,1993,33,0,59,85
17,1,12,24,,0.2,0.5,12,,0,C,0.7,17,HAR,/players/j/janssma01.html,0,237,0,-15,Mark Janssens,19.0,1993,29,0,76,63
10,2,17,26,,0.4,0.8,17,,0,LW,1.2,10,HAR,/players/k/kypreni01.html,0,325,0,-5,Nick Kypreos,21.0,1993,27,0,75,81
14,0,6,24,,0.6,2.1,6,,2,D,2.7,12,HAR,/players/b/burtad01.html,0,116,0,-11,Adam Burt,7.4,1993,20,0,65,81
11,0,3,31,,0.0,1.6,3,,2,D,1.6,9,HAR,/players/k/konrost01.html,0,63,0,-16,Steve Konroyd,4.8,1993,14,0,59,62
5,1,5,25,,-0.3,0.1,4,,0,RW,-0.2,5,HAR,/players/c/corriyv01.html,0,14,1,-13,Yvon Corriveau,11.1,1993,10,0,37,45
4,0,5,28,,0.3,-0.2,2,,1,C,0.1,3,HAR,/players/c/cullejo01.html,0,58,3,-15,John Cullen,13.2,1993,9,0,19,38
4,1,5,31,,-0.4,0.5,5,,0,LW,0.0,4,HAR,/players/c/cunnera01.html,0,63,0,-1,Randy Cunneyworth,10.6,1993,9,0,39,47
6,0,3,23,,-1.6,0.5,3,,0,LW,-1.0,6,HAR,/players/m/mckenji02.html,0,202,0,-10,Jim McKenzie,8.3,1993,9,0,64,36
6,0,3,19,,-0.7,0.2,3,,1,C,-0.5,5,HAR,/players/p/petroro01.html,0,45,0,-10,Robert Petrovicky,7.3,1993,9,0,42,41
4,1,4,24,,0.4,0.8,2,,1,D,1.2,3,HAR,/players/k/keczmda01.html,0,28,2,-3,Dan Keczmer,10.5,1993,8,0,23,38
6,0,2,26,,-0.5,1.5,2,,0,D,1.0,6,HAR,/players/h/houdado01.html,0,167,0,-19,Doug Houda,4.7,1993,8,0,60,43
7,0,1,24,,-0.2,0.1,1,,0,LW,-0.2,7,HAR,/players/d/dayjo01.html,0,47,0,-8,Joe Day,10.0,1993,8,0,24,10
7,0,1,23,,-0.2,0.0,1,,2,RW,-0.2,5,HAR,/players/g/greigma01.html,0,27,0,-11,Mark Greig,6.3,1993,8,0,22,16
2,0,4,25,,0.2,0.0,2,,0,RW,0.3,2,HAR,/players/k/kronro01.html,0,4,2,-5,Robert Kron,10.8,1993,6,0,13,37
4,0,2,32,,-0.7,1.6,2,,0,D,0.9,3,HAR,/players/l/ladoura01.html,1,109,0,-18,Randy Ladouceur,5.4,1993,6,0,62,37
6,0,0,33,,-0.4,0.0,0,,0,RW,-0.4,6,HAR,/players/k/kerrti01.html,0,7,0,-11,Tim Kerr,0.0,1993,6,0,22,48
2,0,3,23,,-0.1,0.1,3,,0,RW,0.0,2,HAR,/players/l/leachja01.html,0,2,0,-5,Jamie Leach,17.6,1993,5,0,19,17
4,0,1,28,,-0.8,2.5,1,,0,D,1.7,4,HAR,/players/p/pederal01.html,0,60,0,0,Allen Pedersen,6.3,1993,5,0,59,16
1,0,1,29,,-0.6,0.2,1,,0,C,-0.4,1,HAR,/players/g/gillipa01.html,0,40,0,-2,Paul Gillis,12.5,1993,2,0,21,8
2,0,0,26,,0.0,0.0,0,,0,G,6.8,0,HAR,/players/b/burkese01.html,0,25,0,0,Sean Burke,,1993,2,0,50,0
0,0,1,22,,-0.1,0.0,1,,0,LW,-0.1,0,HAR,/players/g/govedch01.html,0,0,0,-2,Chris Govedaris,16.7,1993,1,0,7,6
1,0,0,29,,0.0,0.0,0,,0,G,2.7,0,HAR,/players/g/gossema01.html,0,2,0,0,Mario Gosselin,,1993,1,0,16,0
0,0,0,26,,-0.3,0.8,0,,0,D,0.5,0,HAR,/players/a/agnewji01.html,0,68,0,3,Jim Agnew,0.0,1993,0,0,16,3
0,0,0,23,,0.0,0.0,0,,0,G,0.0,0,HAR,/players/d/dalesco01.html,0,0,0,0,Corrie D'Alessio,,1993,0,0,1,0
0,0,0,23,,0.0,0.0,0,,0,LW,0.0,0,HAR,/players/d/daniesc01.html,0,19,0,0,Scott Daniels,,1993,0,0,1,0
0,0,0,20,,0.0,0.0,0,,0,G,0.5,0,HAR,/players/l/lenarmi01.html,0,0,0,0,Mike Lenarduzzi,,1993,0,0,3,0
0,0,0,25,,-0.1,0.0,0,,0,LW,-0.1,0,HAR,/players/n/nieckba01.html,0,2,0,-2,Barry Nieckar,0.0,1993,0,0,2,1
0,0,0,28,,0.0,0.0,0,,0,G,2.5,0,HAR,/players/p/pietrfr01.html,0,4,0,0,Frank Pietrangelo,,1993,0,0,30,0
