offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
5.5,Jason Allison,14,0,2,13.7,26,139,55,C,7.7,74,73,32,2.2,2,5,1591,0,19,23,21:47,68
5.6,Adam Deadmarsh,17,0,8,20.9,26,139,33,LW,7.9,62,76,11,2.3,5,12,1465,0,29,22,19:17,71
6.2,Ziggy Palffy,16,1,5,19.9,29,161,27,RW,8.1,59,63,12,1.9,6,15,1279,0,32,15,20:18,26
3.3,Jaroslav Modry,0,0,-4,3.4,30,119,38,D,7.0,42,80,23,3.8,0,4,1561,0,4,15,19:31,65
1.1,Bryan Smolinski,8,1,7,7.0,30,187,25,C,3.5,38,80,8,2.4,0,4,1551,3,13,14,19:23,56
1.7,Steve Heinze,7,0,-15,12.2,32,123,16,LW,2.6,31,73,9,0.9,4,8,1152,0,15,7,15:47,46
2.1,Philippe Boucher,3,0,0,3.5,28,198,23,D,6.7,30,80,8,4.5,2,4,1727,0,7,15,21:36,94
2.7,Mathieu Schneider,3,0,3,5.7,32,123,23,D,6.1,30,55,16,3.5,0,4,1233,0,7,7,22:25,68
1.4,Craig Johnson,8,1,14,12.7,29,102,14,LW,3.4,27,72,2,1.9,3,4,1026,1,13,11,14:15,24
1.3,Eric Belanger,5,1,2,11.9,24,67,16,C,2.4,24,53,6,1.1,1,2,771,0,8,10,14:33,21
0.1,Ian Laperriere,8,0,5,9.0,28,89,14,C,1.8,22,81,0,1.7,3,0,1113,0,8,14,13:45,125
1.4,Lubomir Visnovsky,3,0,-5,4.2,25,95,17,D,4.1,21,72,5,2.6,2,1,1170,0,4,12,16:15,14
0.6,Mikko Eloranta,8,0,0,7.4,29,121,9,LW,1.7,18,71,0,1.1,2,1,813,0,9,9,11:27,54
0.6,Aaron Miller,4,1,14,6.7,30,75,12,D,6.1,17,74,1,5.5,3,0,1654,2,5,9,22:21,54
0.9,Brad Chartrand,7,0,5,14.3,27,49,9,C,1.9,16,46,0,0.9,1,0,556,0,7,9,12:05,40
-0.1,Kelly Buchberger,6,0,-13,15.4,35,39,7,LW,0.4,13,74,2,0.5,1,0,765,0,6,5,10:21,105
1.3,Glen Murray,2,0,5,17.6,29,34,5,RW,1.8,11,9,2,0.4,2,4,172,0,6,3,19:08,0
-0.5,Mattias Norstrom,2,0,-2,4.8,30,42,9,D,4.1,11,79,0,4.6,0,0,1819,1,2,8,23:01,38
0.2,Nelson Emerson,5,0,-8,12.5,34,40,2,RW,0.4,7,41,1,0.2,1,0,377,0,5,1,9:12,25
0.5,Randy Robitaille,2,0,-9,13.3,26,30,3,RW,0.5,7,18,0,-0.1,0,2,232,0,4,3,12:54,17
0.4,Jaroslav Bednar,3,0,-4,20.0,25,20,2,RW,0.6,6,22,0,0.2,2,1,235,0,4,2,10:42,8
0.3,Andreas Lilja,0,0,3,8.3,26,12,4,D,1.4,5,26,1,1.0,0,1,298,0,1,3,11:27,22
0.0,Cliff Ronning,0,0,0,2.9,36,35,4,LW,0.3,5,14,1,0.3,0,1,236,0,1,3,16:53,8
0.0,Jozef Stumpel,1,0,1,14.3,29,7,3,C,0.3,4,9,1,0.3,0,0,181,0,1,2,20:06,4
-0.1,Ken Belanger,2,0,-5,9.1,27,22,0,LW,0.0,2,43,0,0.0,0,0,188,0,2,0,4:22,85
0.0,Adam Mair,1,0,1,10.0,22,10,1,C,0.2,2,18,0,0.2,0,0,129,0,1,1,7:11,57
-0.1,Rob Valicevic,1,0,-4,11.1,31,9,1,RW,-0.1,2,17,0,0.1,0,0,163,0,1,1,9:34,8
-0.4,Jere Karalahti,0,0,-5,0.0,26,19,1,D,0.5,1,30,1,0.8,0,0,481,0,0,0,16:02,29
0.0,Steve Kelly,0,0,-1,,25,0,1,C,0.0,1,8,0,0.0,0,0,55,0,0,1,6:52,2
0.0,Felix Potvin,0,0,0,,30,0,1,G,10.2,1,71,0,0.0,0,0,4071,0,0,0,57:21,19
-0.1,Kip Brennan,0,0,1,,21,0,0,LW,0.0,0,4,0,0.1,0,0,19,0,0,0,4:40,22
0.0,Ted Donato,0,0,-2,0.0,32,1,0,LW,-0.1,0,2,0,-0.1,0,0,15,0,0,0,7:20,2
-0.1,Ryan Flinn,0,0,0,0.0,21,2,0,LW,-0.1,0,10,0,0.0,0,0,35,0,0,0,3:29,51
0.0,Jason Holland,0,0,-1,0.0,25,1,0,D,0.0,0,3,0,0.0,0,0,48,0,0,0,15:50,0
0.0,Jamie Storr,0,0,0,,26,0,0,G,2.8,0,19,0,0.0,0,0,886,0,0,0,46:39,4
