assists,game_winning_goals,goals,age,average_ice_time,offensive_point_share,defensive_point_share,even_strength_goals,total_ice_time,power_play_assists,positions,overall_point_share,even_strength_assists,team,link,shorthanded_assists,pim,power_play_goals,plus_minus,name,shotsPercentage,year,points,shorthanded_goals,games_played,shots
34,3,33,26,23:02,6.0,1.7,12,1520,16,LW,7.7,18,MDA,/players/k/kariypa01.html,0,20,18,-9,Paul Kariya,14.3,2001,67,3,66,230
33,5,26,30,21:51,5.0,1.5,16,1333,17,RW,6.5,16,MDA,/players/s/selante01.html,0,36,10,-8,Teemu Selanne,12.9,2001,59,0,61,202
39,3,14,24,24:25,4.7,4.2,6,2002,28,D,9.0,11,MDA,/players/t/tverdol01.html,0,32,8,-11,Oleg Tverdovsky,7.4,2001,53,0,82,188
22,1,20,30,18:30,2.5,1.1,10,1387,11,RW,3.5,11,MDA,/players/m/mcinnma01.html,0,40,10,-21,Marty McInnis,14.7,2001,42,0,75,136
30,1,10,24,18:15,0.9,1.1,6,1496,11,C,2.1,19,MDA,/players/c/cullema01.html,0,38,4,-23,Matt Cullen,6.3,2001,40,0,82,159
25,1,13,34,13:46,2.2,1.5,13,1102,10,C,3.6,15,MDA,/players/h/hrkacto01.html,0,29,0,0,Tony Hrkac,14.8,2001,38,0,80,88
20,3,15,24,17:36,2.5,1.2,12,950,8,LW,3.7,12,MDA,/players/l/leclemi01.html,0,26,3,-1,Mike Leclerc,11.5,2001,35,0,54,130
11,0,9,35,15:53,-0.2,0.7,8,1128,4,LW,0.5,7,MDA,/players/t/titovge01.html,0,61,1,-21,German Titov,11.5,2001,20,0,71,78
9,2,5,23,12:48,0.3,0.4,5,589,5,RW,0.7,4,MDA,/players/t/tenkrpe01.html,0,16,0,-11,Petr Tenkrat,6.3,2001,14,0,46,79
10,1,4,27,21:51,0.8,2.1,2,1027,5,D,2.9,5,MDA,/players/h/havelni01.html,0,34,2,-6,Niclas Havelid,5.8,2001,14,0,47,69
10,0,2,24,21:28,0.5,0.4,0,322,3,LW,0.9,6,MDA,/players/f/friesje01.html,1,10,2,-2,Jeff Friesen,6.9,2001,12,0,15,29
6,1,5,30,7:14,0.0,0.3,5,572,0,RW,0.4,6,MDA,/players/c/cummiji01.html,0,167,0,-11,Jim Cummins,11.1,2001,11,0,79,45
10,1,1,25,17:21,0.5,0.5,1,677,2,D,1.0,8,MDA,/players/c/crowlmi01.html,0,20,0,-16,Mike Crowley,2.2,2001,11,0,39,45
10,0,1,20,19:14,-0.3,3.6,1,1462,0,D,3.3,9,MDA,/players/v/vishnvi01.html,1,99,0,-1,Vitaly Vishnevski,2.0,2001,11,0,76,49
4,0,6,27,16:47,0.6,1.5,3,957,1,D,2.1,3,MDA,/players/t/trepapa01.html,0,73,3,-12,Pascal Trepanier,7.0,2001,10,0,57,86
9,0,1,30,11:45,-1.6,0.8,1,963,1,LW,-0.7,8,MDA,/players/b/bylsmda01.html,0,22,0,-12,Dan Bylsma,2.0,2001,10,0,82,50
5,0,3,29,18:47,0.3,0.2,1,301,2,C,0.5,2,MDA,/players/r/rucchst01.html,1,0,2,-5,Steve Rucchin,15.8,2001,8,0,16,19
7,0,1,24,20:07,-0.3,2.1,1,1187,3,D,1.7,4,MDA,/players/t/trnkapa01.html,0,42,0,-12,Pavel Trnka,1.7,2001,8,0,59,59
