offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
3.8,Dany Heatley,16,0,2,10.1,31,238,29,RW,6.3,53,82,11,2.5,3,8,1717,0,24,18,20:57,28
3.0,Kyle Brodziak,17,0,-15,13.8,27,160,22,C,4.6,44,82,6,1.5,0,5,1563,0,22,16,19:04,66
3.0,Mikko Koivu,9,1,10,9.3,28,129,32,C,5.1,44,55,13,2.1,2,2,1174,3,12,16,21:21,28
2.8,Devin Setoguchi,12,0,-17,10.9,25,174,17,RW,3.7,36,69,6,1.0,2,7,1214,0,19,11,17:36,28
1.6,Matt Cullen,10,0,-10,8.5,35,164,21,C,3.1,35,73,5,1.5,0,4,1382,0,14,16,18:56,24
1.3,Cal Clutterbuck,8,4,-4,9.3,24,161,12,RW,2.8,27,74,4,1.5,2,3,1210,0,15,8,16:21,103
0.7,Nick Johnson,8,0,-6,5.5,26,146,18,RW,2.0,26,77,1,1.3,1,0,1113,0,8,17,14:27,45
1.2,Jared Spurgeon,1,0,-4,3.3,22,92,20,D,5.0,23,70,10,3.9,1,2,1512,0,3,10,21:36,6
1.8,Pierre-Marc Bouchard,7,0,-1,10.7,27,84,13,C,2.6,22,37,5,0.8,3,2,604,0,9,8,16:19,18
0.6,Marek Zidlicky,0,0,-6,0.0,34,50,14,D,2.4,14,41,3,1.9,0,0,847,0,0,11,20:40,24
-1.1,Darroll Powe,6,0,-20,5.5,26,109,7,C,-0.4,13,82,0,0.7,1,0,1147,0,6,7,13:59,57
0.1,Marco Scandella,2,0,-22,3.9,21,77,9,D,2.0,12,63,5,1.9,1,1,1372,0,3,4,21:47,19
0.3,Nate Prosser,1,0,-17,3.1,25,32,11,D,1.6,12,51,3,1.3,0,0,982,0,1,8,19:15,57
0.9,Guillaume Latendresse,4,0,6,13.9,24,36,4,RW,1.5,9,16,0,0.6,1,1,243,0,5,4,15:11,20
0.0,Justin Falk,0,0,-13,2.2,23,46,8,D,1.5,9,47,0,1.4,0,1,916,0,1,8,19:30,54
0.5,Erik Christensen,4,0,-13,17.6,28,34,1,C,0.4,7,29,0,-0.1,1,2,347,0,6,1,11:59,6
0.5,Casey Wellman,2,0,-4,8.0,24,25,5,C,0.6,7,14,1,0.1,1,0,178,0,2,4,12:44,0
0.0,Greg Zanon,2,0,-1,7.4,31,27,4,D,2.0,6,39,0,1.9,1,0,726,0,2,4,18:37,14
-1.1,Warren Peters,1,0,-15,1.9,29,54,4,LW,-0.9,5,58,0,0.2,0,0,614,0,1,4,10:35,54
-0.4,Clayton Stoner,1,0,3,2.1,26,47,4,D,2.4,5,51,0,2.8,0,0,897,0,1,4,17:36,62
-0.1,Tom Gilbert,0,0,-5,0.0,29,22,5,D,1.0,5,20,0,1.1,0,0,540,0,0,5,27:01,8
0.3,Steven Kampfer,2,0,-7,16.7,23,12,1,D,0.3,3,13,0,0.1,0,0,238,0,2,1,18:17,2
0.1,Carson McMillan,1,0,1,12.5,23,8,2,RW,0.3,3,11,0,0.2,1,0,122,0,1,2,11:04,11
-1.0,Nick Schultz,0,0,-10,2.6,29,38,2,D,1.5,3,62,0,2.5,0,1,1215,0,1,2,19:36,30
0.1,Brett Bulmer,0,0,1,0.0,19,7,3,RW,0.2,3,9,0,0.2,0,0,99,0,0,3,11:02,6
0.1,Matt Kassian,2,0,-2,15.4,25,13,0,LW,0.2,2,24,0,0.1,0,0,133,0,2,0,5:33,55
0.2,Chad Rau,2,0,-1,28.6,25,7,0,C,0.3,2,9,0,0.1,2,0,98,0,2,0,10:53,0
0.1,David McIntyre,1,0,-1,16.7,24,6,1,C,0.2,2,7,0,0.1,0,0,76,0,1,1,10:55,2
-0.6,Jed Ortmeyer,1,0,-8,2.4,33,41,1,RW,-0.5,2,35,0,0.1,1,0,340,0,1,1,9:43,14
0.0,Niklas Backstrom,0,0,0,,33,0,2,G,8.8,2,46,0,0.0,0,0,2590,0,0,0,56:18,2
-0.7,Colton Gillies,0,0,-5,0.0,22,24,2,C,-0.5,2,37,0,0.3,0,0,339,0,0,2,9:10,10
-0.2,Mike Lundin,0,0,-1,0.0,27,9,2,D,0.7,2,17,0,0.9,0,0,344,0,0,2,20:12,4
0.0,Jeff Taffe,0,0,2,0.0,30,7,2,C,0.2,2,5,0,0.2,0,0,65,0,0,2,12:55,0
-0.4,Stephane Veilleux,0,0,-2,0.0,30,16,2,LW,-0.2,2,21,0,0.2,0,0,211,0,0,2,10:04,15
0.0,Jason Zucker,0,0,-2,0.0,20,10,2,LW,0.0,2,6,0,0.0,0,0,66,0,0,2,11:02,2
-0.1,Cody Almond,1,0,-5,14.3,22,7,0,C,-0.1,1,10,0,-0.1,0,0,102,0,1,0,10:13,15
0.0,Jarod Palmer,1,0,-2,7.1,25,14,0,RW,0.0,1,6,0,0.0,0,0,80,0,1,0,13:20,4
0.1,Chay Genoway,0,0,0,0.0,25,1,1,D,0.1,1,1,0,0.1,0,0,18,0,0,1,18:16,0
0.0,Tyler Cuma,0,0,0,,22,0,0,D,0.0,0,1,0,0.0,0,0,11,0,0,0,11:09,2
0.0,Jon DiSalvatore,0,0,0,0.0,30,2,0,LW,0.0,0,1,0,0.0,0,0,14,0,0,0,14:27,2
-0.2,Kurtis Foster,0,0,1,0.0,30,15,0,D,0.4,0,14,0,0.6,0,0,194,0,0,0,13:52,4
0.0,Kris Foucault,0,0,0,,21,0,0,LW,0.0,0,1,0,0.0,0,0,9,0,0,0,8:50,0
0.0,Kris Fredheim,0,0,-2,,24,0,0,D,-0.1,0,3,0,-0.1,0,0,36,0,0,0,11:59,2
0.0,Matt Hackett,0,0,0,,21,0,0,G,2.0,0,12,0,0.0,0,0,556,0,0,0,46:18,0
0.0,Josh Harding,0,0,0,,27,0,0,G,6.4,0,34,0,0.0,0,0,1855,0,0,0,54:33,0
-0.3,Nick Palmieri,0,0,-3,0.0,22,13,0,RW,-0.3,0,9,0,0.0,0,0,94,0,0,0,10:24,2
-0.8,Brad Staubitz,0,0,-7,0.0,27,17,0,RW,-0.7,0,43,0,0.1,0,0,280,0,0,0,6:30,73
