shorthanded_goals,average_ice_time,positions,shotsPercentage,even_strength_assists,shots,even_strength_goals,shorthanded_assists,age,game_winning_goals,goals,assists,name,overall_point_share,defensive_point_share,points,power_play_goals,pim,total_ice_time,games_played,plus_minus,offensive_point_share,power_play_assists,link
0,19:11,LW,12.7,24,259,22,0,30,3,33,29,Zach Parise,9.4,2.5,62,11,41,1420,74,21,6.9,5,/players/p/parisza01.html
0,18:17,RW,7.1,25,252,15,0,32,4,18,36,Jason Pominville,6.1,2.1,54,3,8,1499,82,9,4.0,11,/players/p/pominja01.html
0,16:13,LW,12.3,19,171,16,0,31,2,21,31,Thomas Vanek,5.9,1.2,52,5,37,1297,80,-6,4.7,12,/players/v/vanekth01.html
0,19:16,C,7.8,23,179,10,0,31,4,14,34,Mikko Koivu,4.6,1.8,48,4,38,1542,80,2,2.8,11,/players/k/koivumi01.html
0,17:54,C,8.1,23,99,8,0,22,2,8,31,Mikael Granlund,4.1,2.1,39,0,20,1217,68,17,2.0,8,/players/g/granlmi01.html
0,29:04,D,1.3,25,150,1,1,30,1,2,36,Ryan Suter,7.4,5.6,38,1,48,2238,77,7,1.8,10,/players/s/suterry01.html
1,14:33,RW,16.1,11,149,17,0,22,5,24,13,Nino Niederreiter,5.1,1.4,37,6,28,1164,80,2,3.7,2,/players/n/niedeni01.html
0,14:33,C,9.2,22,120,10,0,22,4,11,24,Charlie Coyle,3.8,1.9,35,1,39,1193,82,13,1.9,2,/players/c/coylech01.html
0,11:57,RW,8.7,20,104,9,0,27,2,9,22,Justin Fontaine,3.7,1.5,31,0,12,849,71,13,2.2,2,/players/f/fontaju01.html
1,15:04,LW,16.9,5,124,19,0,23,3,21,5,Jason Zucker,3.7,0.5,26,1,18,768,51,-9,3.2,0,/players/z/zuckeja01.html
0,22:37,D,7.0,13,128,6,0,25,2,9,16,Jared Spurgeon,5.6,3.6,25,3,6,1493,66,3,2.0,3,/players/s/spurgja01.html
0,21:43,D,9.8,7,112,10,1,24,4,11,12,Marco Scandella,5.9,3.8,23,1,56,1390,64,8,2.1,4,/players/s/scandma01.html
1,13:03,C,10.5,11,86,8,0,30,0,9,11,Kyle Brodziak,1.5,0.8,20,0,47,952,73,-6,0.6,0,/players/b/brodzky01.html
0,24:10,D,3.2,11,95,3,1,21,1,3,14,Jonas Brodin,5.8,5.7,17,0,8,1716,71,21,0.1,2,/players/b/brodijo01.html
0,15:01,D,9.3,4,86,6,0,20,2,8,8,Mathew Dumba,4.7,3.1,16,2,23,871,58,13,1.6,4,/players/d/dumbama01.html
0,12:09,C,7.6,6,92,6,1,23,1,7,7,Erik Haula,0.6,0.7,14,1,32,875,72,-7,-0.1,0,/players/h/haulaer01.html
1,10:05,C,6.4,10,47,2,0,31,0,3,10,Ryan Carter,1.1,0.7,13,0,55,535,53,3,0.3,0,/players/c/cartery01.html
0,15:31,RW,7.7,8,39,3,0,27,0,3,8,Chris Stewart,1.3,0.5,11,0,25,310,20,4,0.7,0,/players/s/stewach02.html
0,12:36,LW,16.7,6,24,4,0,36,0,4,6,Matt Cooke,1.0,0.4,10,0,13,365,29,0,0.6,0,/players/c/cookema01.html
0,15:12,D,5.1,7,39,2,0,23,0,2,8,Christian Folin,2.2,1.6,10,0,13,608,40,3,0.6,1,/players/f/folinch01.html
0,10:51,C,6.3,5,48,3,0,24,0,3,5,Jordan Schroeder,1.2,0.7,8,0,2,271,25,9,0.5,0,/players/s/schrojo01.html
0,12:48,D,5.3,5,38,2,0,28,1,2,5,Nate Prosser,1.7,1.7,7,0,32,806,63,-1,0.0,0,/players/p/prossna01.html
0,9:19,C,0.0,3,6,0,0,27,0,0,3,Brett Sutter,0.3,0.1,3,0,4,56,6,1,0.2,0,/players/s/suttebr04.html
0,7:42,LW,11.1,1,9,1,0,33,1,1,1,Stephane Veilleux,0.2,0.1,2,0,10,92,12,0,0.1,0,/players/v/veillst01.html
0,58:48,G,,2,0,0,0,28,0,0,2,Devan Dubnyk,9.1,0.0,2,0,2,2293,39,0,0.0,0,/players/d/dubnyde01.html
0,10:45,LW,4.2,0,24,1,0,30,0,1,0,Sean Bergenheim,-0.3,0.0,1,0,6,183,17,-4,-0.3,0,/players/b/bergese01.html
0,12:03,D,0.0,1,5,0,0,32,0,0,1,Keith Ballard,0.0,0.1,1,0,26,169,14,-3,-0.1,0,/players/b/ballake01.html
0,5:26,D,0.0,1,3,0,0,28,0,0,1,Stu Bickel,0.2,0.2,1,0,46,49,9,1,0.1,0,/players/b/bickest01.html
0,9:52,D,0.0,1,3,0,0,26,0,0,1,Jonathon Blum,-0.1,-0.2,1,0,2,39,4,-3,0.1,0,/players/b/blumjo02.html
0,13:19,D,0.0,1,17,0,0,34,0,0,1,Jordan Leopold,0.4,0.6,1,0,8,240,18,1,-0.2,0,/players/l/leopojo01.html
0,52:53,G,,0,0,0,0,36,0,0,0,Niklas Backstrom,1.2,0.0,0,0,2,1005,19,0,0.0,0,/players/b/backsni01.html
0,35:56,G,,0,0,0,0,30,0,0,0,John Curry,-0.2,0.0,0,0,0,72,2,0,0.0,0,/players/c/curryjo01.html
0,9:08,D,0.0,0,10,0,0,26,0,0,0,Justin Falk,-0.4,-0.3,0,0,7,119,13,-6,-0.2,0,/players/f/falkju01.html
0,9:13,C,0.0,0,4,0,0,21,0,0,0,Tyler Graovac,0.0,0.0,0,0,0,28,3,0,-0.1,0,/players/g/graovty01.html
0,50:36,G,,0,0,0,0,24,0,0,0,Darcy Kuemper,3.5,0.0,0,0,0,1569,31,0,0.0,0,/players/k/kuempda01.html
