offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
5.7,Wayne Connelly,21,0,-32,13.6,28,258,21,RW,6.1,56,74,11,0.4,8,14,,0,35,10,,40
5.0,Ray Cullen,17,0,-24,13.8,26,203,25,C,5.5,53,67,7,0.5,6,11,,0,28,18,,18
3.7,Andre Boudrias,14,0,-3,9.8,24,183,35,C,5.1,53,74,5,1.5,3,4,,0,18,30,,42
2.8,Dave Balon,10,1,-10,9.9,29,152,32,LW,4.0,47,73,6,1.2,2,4,,0,15,26,,84
4.8,Mike McMahon,10,0,-13,9.3,26,150,33,D,9.2,47,74,18,4.4,1,4,,0,14,15,,71
2.9,Parker MacDonald,10,0,-18,10.4,34,183,23,LW,3.7,42,69,11,0.8,3,9,,0,19,12,,22
1.5,Bill Goldsworthy,12,0,-8,9.1,23,154,19,RW,2.7,33,68,2,1.1,0,2,,0,14,17,,68
1.8,J.P. Parise,10,0,-10,10.0,26,110,16,LW,2.3,27,43,2,0.5,3,1,,0,11,14,,27
1.3,Bob Woytowich,2,0,-23,4.7,26,86,17,D,4.4,21,66,7,3.1,0,2,,0,4,10,,63
-0.4,Bill Collins,9,0,-16,7.9,24,114,11,RW,0.5,20,71,4,0.9,1,0,,0,9,7,,41
0.4,Milan Marcetta,4,0,-10,9.8,31,41,13,C,0.8,17,36,1,0.4,0,0,,0,4,12,,6
-0.2,Bill Masterton,2,0,-4,4.8,29,83,8,C,0.5,12,38,2,0.7,0,2,,0,4,6,,4
0.2,Bob McCord,3,0,-10,3.1,33,97,9,D,4.5,12,70,1,4.4,0,0,,1,3,7,,39
0.4,Sandy Fitzpatrick,3,0,0,11.5,23,26,6,C,0.7,9,18,2,0.4,0,0,,0,3,4,,6
-0.4,Ted Taylor,2,0,-7,4.5,25,67,5,LW,0.0,8,31,0,0.4,0,1,,0,3,5,,34
0.1,Bronco Horvath,1,0,-6,8.3,37,12,6,C,0.2,7,14,5,0.1,0,0,,0,1,1,,4
-0.5,Moose Vasko,1,0,-36,4.3,32,23,6,D,1.9,7,70,0,2.4,0,0,,0,1,6,,45
-0.4,Duke Harris,1,0,-10,2.3,25,43,4,RW,-0.3,5,22,4,0.1,0,0,,0,1,0,,4
-0.3,Murray Hall,2,0,-7,11.1,27,18,1,C,-0.2,3,17,1,0.1,0,0,,0,2,0,,10
-0.5,Pete Goegan,1,0,-16,2.9,33,35,2,D,1.7,3,46,0,2.2,0,0,,0,1,2,,30
0.0,Ted McCaskill,0,0,-2,0.0,31,2,2,C,0.0,2,4,1,0.0,0,0,,0,0,1,,0
-0.4,Bill Plager,0,0,-16,0.0,22,12,2,D,0.8,2,32,0,1.2,0,0,,0,0,2,,30
-0.1,Bob Charlebois,0,0,-3,12.5,23,8,0,LW,-0.1,1,7,0,0.0,0,1,,0,1,0,,0
-0.2,Len Lunde,0,0,-7,0.0,31,21,1,C,-0.3,1,7,0,-0.1,0,0,,0,0,1,,0
0.1,Lou Nanne,0,0,0,,26,0,1,D,0.2,1,2,0,0.1,0,0,,0,0,1,,0
0.0,Garry Bauman,0,0,0,,27,0,0,G,1.9,0,26,0,0.0,0,0,,0,0,0,,2
-0.1,Don Johns,0,0,-1,0.0,30,4,0,D,0.1,0,4,0,0.2,0,0,,0,0,0,,6
-0.1,Marshall Johnston,0,0,1,0.0,26,5,0,D,0.5,0,7,0,0.6,0,0,,0,0,0,,0
0.0,Cesare Maniago,0,0,0,,29,0,0,G,7.7,0,52,0,0.0,0,0,,0,0,0,,12
-0.2,Walt McKechnie,0,0,-3,0.0,20,9,0,C,-0.2,0,4,0,0.0,0,0,,0,0,0,,0
0.0,Barrie Meissner,0,0,-1,0.0,21,2,0,LW,-0.1,0,1,0,0.0,0,0,,0,0,0,,2
-0.4,Andre Pronovost,0,0,0,0.0,31,6,0,LW,-0.2,0,8,0,0.2,0,0,,0,0,0,,0
-0.1,George Standing,0,0,-1,0.0,26,1,0,RW,-0.1,0,2,0,0.0,0,0,,0,0,0,,0
-0.1,Jean-Guy Talbot,0,0,-6,0.0,35,7,0,D,-0.2,0,4,0,-0.1,0,0,,0,0,0,,4
0.0,Carl Wetzel,0,0,0,,29,0,0,G,0.2,0,5,0,0.0,0,0,,0,0,0,,0
