shorthanded_goals,average_ice_time,positions,shotsPercentage,even_strength_assists,shots,even_strength_goals,shorthanded_assists,age,game_winning_goals,goals,assists,name,overall_point_share,defensive_point_share,points,power_play_goals,pim,total_ice_time,games_played,plus_minus,offensive_point_share,power_play_assists,link
1,,RW,12.3,19,211,17,1,20,3,26,36,Brian Bellows,3.8,0.7,62,8,72,,78,-18,3.1,16,/players/b/bellobr01.html
0,,C,15.1,25,126,14,1,29,3,19,41,Dennis Maruk,3.8,1.0,60,5,56,,71,-2,2.8,15,/players/m/marukde01.html
0,,C,12.0,22,167,16,2,26,3,20,38,Keith Acton,3.5,1.1,58,4,90,,78,-3,2.4,14,/players/a/actonke01.html
1,,C,10.1,25,188,13,0,25,1,19,37,Neal Broten,2.8,0.7,56,5,39,,80,-18,2.1,12,/players/b/brotene01.html
0,,LW,12.9,16,224,15,0,26,4,29,22,Steve Payne,3.4,0.8,51,14,61,,76,-14,2.6,6,/players/p/paynest01.html
0,,D,4.2,22,142,5,0,27,0,6,36,Gordie Roberts,5.3,3.5,42,1,112,,78,-12,1.8,14,/players/r/robergo02.html
0,,LW,20.0,16,80,10,1,24,1,16,21,Tom McCarthy,2.7,0.7,37,6,36,,44,3,2.0,4,/players/m/mccarto02.html
0,,RW,11.3,11,133,10,0,24,0,15,17,Dino Ciccarelli,1.8,0.5,32,5,41,,51,-10,1.3,6,/players/c/ciccadi01.html
0,,D,5.1,18,98,2,0,26,0,5,25,Curt Giles,5.1,4.2,30,3,49,,77,3,0.9,7,/players/g/gilescu01.html
0,,RW,16.9,10,83,13,0,29,1,14,14,Willi Plett,1.9,0.8,28,1,157,,47,4,1.1,4,/players/p/plettwi01.html
1,,C,10.3,10,97,6,0,28,1,10,18,Mark Napier,1.6,0.4,28,3,2,,39,-6,1.1,8,/players/n/napiema01.html
0,,LW,13.6,12,81,9,0,26,1,11,13,Tony McKegney,2.0,0.6,24,2,4,,27,9,1.4,1,/players/m/mckegto01.html
0,,RW,14.8,10,81,9,0,25,1,12,11,Dirk Graham,1.2,0.1,23,3,23,,36,-15,1.0,1,/players/g/grahadi01.html
0,,LW,9.2,3,87,4,0,23,1,8,10,Ken Solheim,0.1,0.4,18,4,19,,55,-15,-0.3,7,/players/s/solheke01.html
1,,D,7.5,6,93,5,0,25,1,7,11,Craig Hartsburg,2.5,1.4,18,1,54,,32,-5,1.1,5,/players/h/hartscr01.html
0,,C,10.2,3,108,10,0,23,1,11,4,Scott Bjugstad,-0.5,0.5,15,1,32,,72,-21,-1.0,1,/players/b/bjugssc01.html
0,,LW,15.8,8,38,5,0,29,1,6,9,Bo Berglund,0.6,0.4,15,1,8,,33,-3,0.2,1,/players/b/berglbo01.html
0,,RW,4.1,12,49,2,0,21,1,2,12,Gord Sherven,0.4,0.6,14,0,8,,32,3,-0.1,0,/players/s/shervgo01.html
0,,D,12.1,9,33,4,0,22,0,4,9,Randy Velischek,3.3,3.1,13,0,26,,52,7,0.1,0,/players/v/velisra01.html
0,,D,14.8,6,27,4,0,29,0,4,8,Ron Wilson,1.5,0.6,12,0,2,,13,-1,0.9,2,/players/w/wilsoro02.html
0,,LW,12.5,6,40,4,0,19,1,5,6,Brian Lawton,0.1,0.5,11,1,24,,40,-2,-0.4,0,/players/l/lawtobr01.html
0,,LW,13.3,7,30,4,0,24,0,4,7,Brent Ashton,0.4,0.5,11,0,15,,29,1,-0.1,0,/players/a/ashtobr01.html
0,,D,2.5,9,80,2,0,20,0,2,9,Bob Rouse,2.2,2.6,11,0,113,,63,-14,-0.4,0,/players/r/rousebo01.html
0,,D,10.3,3,29,2,0,27,0,3,7,Brad Maxwell,1.1,0.5,10,1,53,,18,-8,0.5,4,/players/m/maxwebr02.html
0,,D,6.9,8,29,2,0,24,0,2,8,Dave Richter,2.8,3.1,10,0,221,,55,3,-0.3,0,/players/r/richtda01.html
0,,RW,30.8,3,13,2,0,29,0,4,3,Paul Holmgren,0.3,0.1,7,2,38,,16,-4,0.1,0,/players/h/holmgpa01.html
0,,D,0.0,7,50,0,0,30,0,0,7,Harold Snepsts,1.8,2.8,7,0,232,,71,-19,-1.0,0,/players/s/snepsha01.html
0,,LW,3.6,4,28,1,0,25,0,1,4,Tim Trimper,-0.3,0.1,5,0,15,,20,-9,-0.4,0,/players/t/trimpti01.html
0,,D,0.0,3,14,0,0,22,0,0,4,Tom Hirsch,0.1,0.1,4,0,10,,15,-13,0.0,1,/players/h/hirscto01.html
0,,RW,8.3,2,12,1,0,23,0,1,2,Jim Archibald,0.2,0.1,3,0,11,,4,0,0.1,0,/players/a/archiji01.html
0,,LW,10.0,1,10,1,0,26,0,1,1,Tim Coulis,0.0,0.1,2,0,34,,7,-1,-0.1,0,/players/c/couliti01.html
0,,LW,20.0,1,5,1,0,29,0,1,1,Terry Martin,0.0,0.1,2,0,0,,7,0,-0.1,0,/players/m/martite01.html
0,,D,0.0,1,3,0,0,23,0,0,1,David Jensen,0.0,0.0,1,0,4,,5,-5,0.0,0,/players/j/jenseda02.html
0,,G,,0,0,0,0,23,0,0,0,Don Beaupre,5.6,0.0,0,0,4,,31,0,0.0,0,/players/b/beaupdo01.html
