shorthanded_goals,average_ice_time,positions,shotsPercentage,even_strength_assists,shots,even_strength_goals,shorthanded_assists,age,game_winning_goals,goals,assists,name,overall_point_share,defensive_point_share,points,power_play_goals,pim,total_ice_time,games_played,plus_minus,offensive_point_share,power_play_assists,link
0,,C,,0,0,0,0,23,0,23,3,Howie Morenz,7.1,0.3,26,0,39,,31,0,6.8,0,/players/m/morenho01.html
0,,LW,,0,0,0,0,24,0,17,9,Aurele Joliat,5.8,0.4,26,0,52,,35,0,5.4,0,/players/j/joliaau01.html
0,,D,,0,0,0,0,23,0,10,3,Albert Leduc,4.4,1.4,13,0,62,,32,0,3.0,0,/players/l/leducal01.html
0,,RW,,0,0,0,0,26,0,8,5,Billy Boucher,1.8,0.4,13,0,112,,34,0,1.4,0,/players/b/bouchbi01.html
0,,C,,0,0,0,0,24,0,9,1,Pit Lepine,1.9,0.3,10,0,18,,27,0,1.6,0,/players/l/lepinpi01.html
0,,F,,0,0,0,0,28,0,5,2,Hec Lepine,0.2,0.4,7,0,2,,33,0,-0.1,0,/players/l/lepinhe01.html
0,,D,,0,0,0,0,33,0,2,4,Billy Coutu,1.6,1.4,6,0,95,,33,0,0.2,0,/players/c/coutubi01.html
0,,RW,,0,0,0,0,19,0,2,1,Wildor Larochelle,-1.1,0.4,3,0,10,,33,0,-1.4,0,/players/l/larocwi01.html
0,,D,,0,0,0,0,23,0,2,1,Sylvio Mantha,1.1,1.5,3,0,66,,34,0,-0.4,0,/players/m/manthsy01.html
0,,F,,0,0,0,0,26,0,1,0,Bill Holmes,-0.2,0.1,1,0,2,,9,0,-0.3,0,/players/h/holmebi01.html
0,,F,,0,0,0,0,20,0,0,0,Roger Cormier,-0.1,0.0,0,0,0,,1,0,-0.1,0,/players/c/cormiro01.html
0,,G,,0,0,0,0,28,0,0,0,Frenchy Lacroix,0.1,0.0,0,0,0,,5,0,0.0,0,/players/l/lacrofr01.html
0,,RW/D,,0,0,0,0,32,0,0,0,Joe Matte,-0.4,0.1,0,0,0,,6,0,-0.4,0,/players/m/mattejo01.html
0,,D,,0,0,0,0,23,0,0,0,John McKinnon,0.0,0.1,0,0,0,,2,0,-0.1,0,/players/m/mckinjo01.html
0,,D,,0,0,0,0,23,0,0,0,Rollie Paulhus,0.2,1.4,0,0,0,,33,0,-1.2,0,/players/p/paulhro01.html
0,,G,,0,0,0,0,26,0,0,0,Herb Rheaume,2.3,0.0,0,0,0,,31,0,0.0,0,/players/r/rheauhe01.html
0,,F,,0,0,0,0,34,0,0,0,Dave Ritchie,-0.1,0.0,0,0,0,,2,0,-0.1,0,/players/r/ritchda01.html
0,,G,,0,0,0,0,39,0,0,0,Georges Vezina,0.1,0.0,0,0,0,,1,0,0.0,0,/players/v/vezinge01.html
