offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
5.4,Mats Naslund,31,2,19,23.5,25,179,37,LW,7.1,79,80,14,1.7,8,9,,0,42,23,,14
3.9,Mario Tremblay,17,0,21,16.1,28,193,35,RW,5.6,66,75,3,1.7,6,14,,0,31,32,,120
3.7,Chris Chelios,6,1,11,4.5,23,199,55,D,8.9,64,74,30,5.2,0,2,,3,9,22,,87
2.6,Guy Carbonneau,19,4,28,14.1,24,163,34,C,4.5,57,79,0,1.9,2,0,,1,23,33,,43
2.7,Pierre Mondou,16,0,15,14.1,29,128,39,C,4.1,57,67,10,1.4,2,2,,3,18,26,,21
2.6,Bobby Smith,8,0,-9,11.0,26,146,40,C,3.3,56,65,19,0.7,1,8,,0,16,21,,59
2.8,Larry Robinson,8,0,33,11.7,33,120,33,D,9.3,47,76,13,6.5,3,6,,1,14,19,,44
2.4,Tom Kurvers,3,1,-3,7.4,22,136,35,D,6.9,45,75,22,4.6,3,6,,1,10,12,,30
1.2,Mike McPhee,17,0,1,12.6,24,135,22,LW,2.3,39,70,0,1.1,2,0,,1,17,21,,120
1.2,Ryan Walter,8,0,-18,15.8,26,120,19,LW,1.8,38,72,2,0.6,0,11,,0,19,17,,59
1.1,Chris Nilan,20,0,3,21.4,26,98,16,RW,2.3,37,77,0,1.2,2,1,,0,21,16,,358
1.0,Mark Hunter,15,0,-13,19.4,22,108,12,RW,1.8,33,72,1,0.7,3,6,,0,21,11,,123
0.5,Bob Gainey,16,3,13,11.4,31,166,13,LW,2.1,32,79,1,1.5,3,0,,2,19,10,,40
1.0,Petr Svoboda,4,0,16,5.0,18,80,27,D,6.4,31,73,6,5.4,1,0,,0,4,21,,65
0.2,Alfie Turcotte,5,0,-1,13.6,19,59,16,C,1.0,24,53,6,0.8,1,3,,0,8,10,,35
0.5,Lucien DeBlois,7,1,9,14.1,27,85,11,RW,1.5,23,51,2,1.0,2,4,,0,12,9,,20
0.6,Ron Flockhart,9,0,3,17.2,24,58,12,RW,1.3,22,42,4,0.7,2,1,,0,10,8,,14
0.2,Craig Ludwig,4,0,5,6.8,23,73,14,D,5.0,19,72,1,4.8,0,1,,1,5,12,,90
-0.2,Rick Green,0,0,-11,1.6,28,63,18,D,4.1,19,77,5,4.3,0,1,,0,1,13,,30
0.2,John Chabot,1,0,3,12.5,22,8,6,C,0.4,7,10,3,0.2,0,0,,0,1,3,,2
-0.2,Guy Lafleur,2,0,-3,5.7,33,35,3,RW,0.0,5,19,2,0.2,0,0,,0,2,1,,10
-0.1,Serge Boisvert,2,0,-3,11.1,25,18,2,RW,0.0,4,14,1,0.1,0,0,,0,2,1,,0
-0.3,John Newberry,0,0,3,0.0,22,12,4,C,0.0,4,16,0,0.3,0,0,,0,0,4,,6
-0.1,Steve Shutt,1,0,2,11.8,32,17,0,LW,0.1,2,10,0,0.2,0,1,,0,2,0,,9
-0.2,Kent Carlson,1,0,1,20.0,23,5,1,D,1.0,2,18,0,1.2,0,0,,0,1,1,,33
0.0,Steve Rooney,0,0,-1,33.3,22,3,0,LW,0.0,1,3,0,0.0,0,1,,0,1,0,,7
0.0,Claude Lemieux,0,0,1,,19,0,1,RW,0.1,1,1,0,0.0,0,0,,0,0,1,,7
0.0,Ric Nattress,0,0,-2,0.0,22,3,1,D,0.2,1,5,0,0.2,0,0,,0,0,1,,2
0.0,Steve Penney,0,0,0,,23,0,1,G,7.3,1,54,0,0.0,0,0,,0,0,0,,10
0.0,Thomas Rundqvist,0,0,1,0.0,24,1,1,C,0.0,1,2,0,0.1,0,0,,0,0,1,,0
-0.2,Jeff Teal,0,0,0,0.0,24,4,1,RW,-0.1,1,6,0,0.1,0,0,,0,0,1,,0
0.0,Stephane Richer,0,0,0,,18,0,0,RW,0.0,0,1,0,0.0,0,0,,0,0,0,,0
0.0,Patrick Roy,0,0,0,,19,0,0,G,0.0,0,1,0,0.0,0,0,,0,0,0,,0
0.0,Doug Soetaert,0,0,0,,29,0,0,G,2.4,0,28,0,0.0,0,0,,0,0,0,,4
