offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
4.7,Bobby Holik,18,0,24,12.0,26,192,39,C,6.7,62,82,8,2.1,6,5,,0,23,31,,54
5.0,Dave Andreychuk,22,1,38,11.6,33,233,34,LW,7.5,61,82,5,2.5,2,4,,0,27,29,,48
4.6,John MacLean,24,0,11,11.4,32,254,25,RW,6.2,54,80,3,1.6,6,5,,0,29,22,,49
3.9,Bill Guerin,22,0,-2,16.4,26,177,18,RW,5.0,47,82,4,1.1,9,7,,0,29,14,,95
2.7,Brian Rolston,14,2,6,7.6,23,237,27,LW,4.1,45,81,7,1.4,3,2,,0,18,20,,20
2.1,Valeri Zelepukin,11,0,-10,12.6,28,111,24,LW,2.8,38,71,3,0.7,2,3,,0,14,21,,36
2.1,Scott Niedermayer,2,0,-4,3.1,23,159,30,D,6.9,35,81,15,4.8,3,3,,0,5,15,,64
2.3,Steve Thomas,14,0,9,12.1,33,124,19,RW,3.5,34,57,2,1.2,2,1,,0,15,17,,46
1.4,Denis Pederson,9,0,7,11.3,21,106,20,C,2.6,32,70,1,1.3,3,3,,0,12,19,,62
0.3,Randy McKay,9,0,15,9.8,30,92,18,RW,2.0,27,77,2,1.7,2,0,,0,9,16,,109
1.1,Scott Stevens,5,0,26,3.0,32,166,19,D,7.9,24,79,6,6.8,1,0,,0,5,13,,70
1.5,Steve Sullivan,6,0,9,12.7,22,63,14,C,2.3,22,33,3,0.8,2,2,,0,8,11,,14
1.9,Doug Gilmour,5,0,7,17.5,33,40,15,C,2.5,22,20,3,0.5,0,2,,0,7,12,,22
0.9,Shawn Chambers,3,0,17,3.5,30,114,17,D,6.6,21,73,5,5.8,0,1,,1,4,11,,19
-0.3,Bob Carpenter,3,1,6,5.3,33,76,15,LW,0.9,19,62,0,1.1,0,0,,0,4,15,,14
0.2,Lyle Odelein,2,0,16,3.2,28,93,13,D,6.3,16,79,4,6.1,2,1,,0,3,9,,110
0.1,Jay Pandolfo,6,0,-1,9.8,22,61,8,LW,0.7,14,46,0,0.6,1,0,,0,6,8,,6
-0.5,Ken Daneyko,2,0,24,3.2,32,63,7,D,6.0,9,77,0,6.5,0,0,,1,2,6,,70
0.4,Dave Ellett,1,0,2,9.1,32,22,5,D,1.8,7,20,5,1.4,1,1,,0,2,0,,6
0.2,Kevin Dean,2,0,2,9.5,27,21,4,D,2.1,6,28,1,1.9,0,0,,0,2,3,,6
0.0,Patrik Elias,2,0,-4,8.7,20,23,3,RW,0.1,5,17,0,0.1,0,0,,0,2,3,,2
-0.6,Sergei Brylin,2,0,-13,5.9,23,34,2,C,-0.6,4,29,0,0.0,0,0,,0,2,2,,20
0.0,Martin Brodeur,0,0,0,,24,0,4,G,12.4,4,67,0,0.0,0,0,,0,0,0,,8
-0.7,Reid Simpson,0,0,0,0.0,27,17,4,LW,-0.3,4,27,0,0.4,0,0,,0,0,4,,60
-0.8,Jason Smith,1,0,-8,2.1,23,48,2,D,2.3,3,57,0,3.0,0,0,,0,1,2,,38
-0.4,Petr Sykora,1,0,-8,3.8,20,26,2,C,-0.4,3,19,1,0.0,0,0,,0,1,1,,4
-0.4,Peter Zezel,0,0,4,0.0,31,13,3,C,0.0,3,18,0,0.4,0,0,,0,0,3,,4
-0.6,Mike Peluso,0,0,0,0.0,31,14,2,RW,-0.3,2,20,0,0.3,0,0,,0,0,2,,68
0.1,Pascal Rheaume,1,0,1,20.0,23,5,0,C,0.2,1,2,0,0.1,0,0,,0,1,0,,0
0.0,Neal Broten,0,0,-1,0.0,37,3,1,C,0.0,1,3,0,0.0,0,0,,1,0,0,,0
0.0,Mike Dunham,0,0,0,,24,0,0,G,2.5,0,26,0,0.0,0,0,,0,0,0,,2
0.0,Krzysztof Oliwa,0,0,-1,,23,0,0,LW,-0.1,0,1,0,0.0,0,0,,0,0,0,,5
0.0,Ricard Persson,0,0,0,0.0,27,2,0,D,0.0,0,1,0,0.1,0,0,,0,0,0,,0
0.0,Jeff Reese,0,0,0,,30,0,0,G,-0.3,0,3,0,0.0,0,0,,0,0,0,,0
-0.1,Vadim Sharifijanov,0,0,0,0.0,21,4,0,RW,0.0,0,2,0,0.0,0,0,,0,0,0,,0
