assists,game_winning_goals,goals,age,average_ice_time,offensive_point_share,defensive_point_share,even_strength_goals,total_ice_time,power_play_assists,positions,overall_point_share,even_strength_assists,team,link,shorthanded_assists,pim,power_play_goals,plus_minus,name,shotsPercentage,year,points,shorthanded_goals,games_played,shots
33,8,32,23,18:04,6.3,2.5,21,1463,13,LW,8.9,20,NJD,/players/p/parisza01.html,0,25,10,13,Zach Parise,12.0,2008,65,1,81,266
35,8,20,31,18:28,4.2,2.3,13,1367,12,LW,6.5,21,NJD,/players/e/eliaspa01.html,2,38,7,10,Patrik Elias,7.6,2008,55,0,74,263
31,4,22,29,18:16,3.8,2.1,13,1498,13,RW,5.9,18,NJD,/players/g/giontbr01.html,0,46,8,1,Brian Gionta,8.6,2008,53,1,82,257
23,3,20,34,19:27,2.4,2.2,14,1556,0,C,4.5,22,NJD,/players/m/maddejo01.html,1,26,3,1,John Madden,10.8,2008,43,3,80,185
28,2,13,32,18:18,2.5,1.5,7,1171,11,RW,4.0,16,NJD,/players/l/langeja01.html,1,30,5,-1,Jamie Langenbrunner,8.6,2008,41,1,64,152
25,2,13,29,15:42,1.8,1.8,9,1287,4,C,3.7,21,NJD,/players/z/zubruda01.html,0,38,4,2,Dainius Zubrus,10.2,2008,38,0,82,128
20,1,14,22,16:44,1.3,1.4,9,1372,9,C,2.7,11,NJD,/players/z/zajactr01.html,0,31,5,-11,Travis Zajac,9.0,2008,34,0,82,155
27,2,5,26,23:53,2.0,6.1,3,1743,12,D,8.1,14,NJD,/players/m/martipa01.html,1,22,2,20,Paul Martin,5.4,2008,32,0,73,93
20,0,6,26,19:02,1.8,5.9,4,1427,6,D,7.7,14,NJD,/players/o/oduyajo01.html,0,46,2,27,Johnny Oduya,9.5,2008,26,0,75,63
12,1,12,33,17:17,1.2,1.7,12,933,0,LW,2.9,12,NJD,/players/p/pandoja01.html,0,22,0,10,Jay Pandolfo,15.4,2008,24,0,54,78
13,1,9,23,12:02,0.6,1.4,9,975,2,RW,1.9,11,NJD,/players/c/clarkda03.html,0,183,0,1,David Clarkson,6.0,2008,22,0,81,151
13,1,4,29,20:39,0.5,3.1,3,1570,5,D,3.5,8,NJD,/players/m/mottami01.html,0,48,1,-11,Mike Mottau,5.9,2008,17,0,76,68
10,1,6,34,13:33,-0.8,1.3,6,1111,1,C,0.5,8,NJD,/players/b/brylise01.html,1,20,0,-5,Sergei Brylin,9.2,2008,16,0,82,65
9,0,4,28,19:23,0.8,2.6,4,911,2,D,3.4,7,NJD,/players/r/rachuka01.html,0,40,0,3,Karel Rachunek,5.9,2008,13,0,47,68
4,2,6,29,8:33,-0.2,0.6,6,659,1,RW,0.5,3,NJD,/players/a/ashamar01.html,0,84,0,-6,Arron Asham,8.8,2008,10,0,77,68
8,0,2,25,19:30,0.0,2.9,0,1151,3,D,2.9,4,NJD,/players/g/greenan01.html,1,22,2,0,Andy Greene,4.0,2008,10,0,59,50
8,1,2,30,19:40,0.0,2.4,2,1121,0,D,2.4,8,NJD,/players/w/whiteco01.html,0,26,0,-5,Colin White,7.4,2008,10,0,57,27
6,0,3,28,8:04,-0.2,0.4,2,516,1,C,0.2,5,NJD,/players/r/ruppmi01.html,0,58,1,-8,Mike Rupp,4.3,2008,9,0,64,69
8,0,0,27,15:08,0.1,1.7,0,666,1,D,1.8,7,NJD,/players/b/brooksh01.html,0,63,0,0,Sheldon Brookbank,0.0,2008,8,0,44,43
5,0,2,27,15:32,-0.3,1.7,2,1072,0,D,1.5,4,NJD,/players/v/vishnvi01.html,1,50,0,-12,Vitaly Vishnevski,4.2,2008,7,0,69,48
4,1,2,23,9:19,-0.7,0.6,2,540,0,C,-0.1,4,NJD,/players/p/pellero02.html,0,19,0,-3,Rod Pelley,3.4,2008,6,0,58,59
4,0,0,35,60:12,0.0,0.0,0,4635,0,G,15.5,0,NJD,/players/b/brodema01.html,0,6,0,0,Martin Brodeur,,2008,4,0,77,0
0,0,1,28,10:39,0.2,0.0,1,11,0,LW,0.2,0,NJD,/players/c/clarkno02.html,0,0,0,0,Noah Clarke,33.3,2008,1,0,1,3
0,0,0,20,11:17,0.0,0.0,0,11,0,RW,-0.1,0,NJD,/players/b/bergfni01.html,0,0,0,-1,Niclas Bergfors,0.0,2008,0,0,1,3
0,0,0,25,8:48,0.0,0.2,0,18,0,D,0.2,0,NJD,/players/m/malmiol01.html,0,0,0,2,Olli Malmivaara,,2008,0,0,2,0
0,0,0,31,20:54,-0.2,0.4,0,167,0,D,0.2,0,NJD,/players/s/salvabr01.html,0,11,0,0,Bryce Salvador,,2008,0,0,8,0
0,0,0,24,7:03,-0.1,0.0,0,21,0,RW,0.0,0,NJD,/players/t/tallaba01.html,0,0,0,0,Barry Tallackson,,2008,0,0,3,0
0,0,0,32,38:09,0.0,0.0,0,343,0,G,0.7,0,NJD,/players/w/weekeke01.html,0,2,0,0,Kevin Weekes,,2008,0,0,9,0
